"zone","state","lga","sector","ea","hhid","plotid","qa_type_plot","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,115,1,670,10005,1,1,0.5,4.9,142,15
4,1,104,2,1364,10011,1,1,1.7,17.4,99,12
4,1,104,2,1364,10011,2,1,1.7,5.3,89,14
4,1,104,2,1364,10012,1,1,0.5,7,110,13
4,1,104,2,1364,10013,1,1,1.2,7.9,77,12
4,1,104,2,1364,10013,2,1,1.2,8,72,13
4,1,104,2,1364,10013,3,1,1.1,17.2,82,13
4,1,104,2,1364,10013,4,1,1.5,13.6,87,13
4,1,104,2,1364,10014,1,1,0.2,12.3,132,12
4,1,104,2,1364,10015,1,1,0.4,9.3,137,12
4,1,104,2,1364,10015,2,1,1.5,9.9,102,12
4,1,104,2,1364,10016,1,1,0.9,12.3,120,12
4,1,104,2,1364,10016,2,1,1,15,109,12
4,1,104,2,1364,10017,1,1,0.4,5.5,122,13
4,1,104,2,1364,10017,2,1,0.4,5.8,122,13
4,1,104,2,1364,10018,1,1,0.8,5.1,71,15
4,1,104,2,1364,10018,2,1,0.8,4.3,71,15
4,1,104,2,1364,10019,1,1,0.8,7.4,73,13
4,1,104,2,1364,10019,2,1,0.8,6.4,72,14
4,1,106,2,880,10021,1,1,1.2,2.5,122,14
4,1,106,2,880,10021,2,2,0.1,0.4,113,18
4,1,106,2,880,10021,3,1,0.1,1.7,113,17
4,1,106,2,880,10021,4,1,0,2,113,17
4,1,106,2,880,10022,1,1,0.6,1.3,113,17
4,1,106,2,880,10022,2,2,0.3,0.4,113,18
4,1,106,2,880,10022,3,1,0,2,115,13
4,1,106,2,880,10023,1,1,0.5,0.1,113,34
4,1,106,2,880,10023,2,1,1,2.6,119,13
4,1,106,2,880,10023,3,1,0,2.5,114,14
4,1,106,2,880,10024,1,1,1.2,1.3,120,15
4,1,106,2,880,10024,2,1,1.2,1.5,120,14
4,1,106,2,880,10024,3,1,1.2,1.5,121,14
4,1,106,2,880,10025,1,1,0.4,1.5,114,15
