"zone","state","lga","sector","ea","hhid","network_cd","sa10q2a","sa10q2b","sa10q3","trackingobs"
4,1,104,2,1364,10011,"N1",9,,1,0
4,1,104,2,1364,10012,"N1",9,,1,0
4,1,104,2,1364,10013,"N1",9,,1,0
4,1,104,2,1364,10015,"N1",9,,1,0
4,1,104,2,1364,10016,"N1",12,,1,0
4,1,104,2,1364,10017,"N1",12,,3,0
4,1,104,2,1364,10018,"N1",12,,3,0
4,1,104,2,1364,10019,"N1",12,,3,0
4,1,104,2,1364,10019,"N2",2,,1,0
4,1,106,2,880,10021,"N1",9,,1,0
4,1,106,2,880,10021,"N2",2,,2,0
4,1,106,2,880,10021,"N3",9,,1,0
4,1,106,2,880,10021,"N4",9,,1,0
4,1,106,2,880,10022,"N1",9,,2,0
4,1,106,2,880,10022,"N2",9,,1,0
4,1,106,2,880,10022,"N3",9,,3,0
4,1,106,2,880,10022,"N4",2,,1,0
4,1,106,2,880,10023,"N1",9,,2,0
4,1,106,2,880,10023,"N2",2,,1,0
4,1,106,2,880,10025,"N1",10,,2,0
4,1,106,2,880,10026,"N1",10,,5,0
4,1,106,2,880,10027,"N1",13,,2,0
4,1,106,2,880,10027,"N2",13,,1,0
4,1,106,2,880,10029,"N1",9,,2,0
4,1,111,1,1146,10034,"N1",2,,3,0
4,1,111,1,1146,10034,"N2",9,,3,0
4,1,107,2,1044,10061,"N1",9,,2,0
4,1,107,2,1044,10061,"N2",1,,1,0
4,1,107,2,1044,10062,"N1",9,,2,0
4,1,107,2,1044,10063,"N1",9,,2,0
4,1,107,2,1044,10063,"N2",10,,2,0
4,1,107,2,1044,10066,"N1",12,,5,0
4,1,107,2,1044,10066,"N2",9,,2,0
4,1,107,2,1044,10067,"N1",9,,2,0
4,1,107,2,1044,10068,"N1",9,,2,0
4,1,107,2,1044,10069,"N1",9,,1,0
4,1,107,2,1044,10069,"N2",12,,4,0
4,1,107,2,1044,10070,"N1",9,,2,0
4,1,107,2,1044,10070,"N2",9,,1,0
4,1,117,2,560,10073,"N1",9,,2,0
4,1,117,2,560,10073,"N2",2,,1,0
4,1,117,2,560,10074,"N1",9,,2,0
4,1,117,2,560,10075,"N1",7,,1,0
4,1,117,2,560,10075,"N2",9,,2,0
4,1,117,2,560,10076,"N1",9,,1,0
4,1,117,2,560,10077,"N1",9,,1,0
4,1,117,2,560,10078,"N1",9,,1,0
4,1,117,2,560,10079,"N1",9,,1,0
4,1,117,2,560,10080,"N1",9,,1,0
4,1,110,2,76,10082,"N1",13,,2,0
4,1,110,2,76,10084,"N1",9,,2,0
4,1,110,2,76,10085,"N1",9,,2,0
4,1,110,2,76,10086,"N1",9,,1,0
4,1,110,2,76,10087,"N1",9,,1,0
4,1,110,2,76,10088,"N1",9,,1,0
4,1,105,2,638,10091,"N1",9,,1,0
4,1,105,2,638,10092,"N1",9,,2,0
4,1,105,2,638,10094,"N1",10,,2,0
4,1,105,2,638,10096,"N1",11,,1,0
4,1,105,2,638,10097,"N1",12,,2,0
4,1,105,2,638,10100,"N1",2,,1,0
4,1,105,2,638,10100,"N2",9,,2,0
4,1,108,2,904,10102,"N1",9,,2,0
4,1,108,2,904,10103,"N1",9,,2,0
4,1,108,2,904,10106,"N1",9,,2,0
