"zone","state","lga","sector","ea","hhid","plotid","sa1q2","sa1q3","sa1q4","sa1q5a","sa1q5b","sa1q6","sa1q7a","sa1q7b","sa1q8","sa1q9a","sa1q9b","sa1q9c","sa1q9d","sa1q10c","sa1q11","sa1q12","sa1q13","sa1q14","sa1q15","sa1q16a","sa1q16b","sa1q16c","sa1q16d","sa1q17","sa1q18","sa1q19","sa1q20","sa1q21","sa1q22a","sa1q22b","sa1q22c","sa1q23","sa1q24a","sa1q24b","sa1q24c","sa1q25a","sa1q25b","sa1q26","sa1q27","sa1q28a","sa1q28b","sa1q28c","sa1q29a","sa1q29b","sa1q30","sa1q31a","sa1q31b","sa1q31c","sa1q32","sa1q33","sa1q34a","sa1q34b","sa1q34c","sa1q35a","sa1q35b","sa1q36","sa1q37a","sa1q37b","sa1q37c","sa1q38a","sa1q38b","sa1q38c","sa1q38d","sa1q38e","trackingobs"
4,1,104,2,1364,10011,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
