"zone","state","lga","sector","ea","hhid","plotid","sa2q1a1","sa2q1a2","sa2q1a3","sa2q1a4","sa2q1b1","sa2q1b2","sa2q1b3","sa2q1b4","sa2q1c1","sa2q1c2","sa2q1c3","sa2q1c4","sa2q1d1","sa2q1d2","sa2q1d3","sa2q1d4","sa2q2","sa2q3","sa2q4","sa2q5","sa2q6","sa2q7","sa2q8","sa2q9","sa2q10","sa2q11a","sa2q11b","sa2q11c","sa2q12a","sa2q12b","sa2q12c","sa2q13a","sa2q13b","sa2q13c"
4,1,104,2,1364,10011,1,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,1,,,,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,1,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10013,1,1,36,5,8,2,36,4,6,3,36,4,6,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10013,2,1,36,5,8,2,36,4,6,3,36,4,6,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10013,3,1,36,5,8,2,36,4,6,3,36,4,6,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10013,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10014,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10015,1,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10015,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,1,1,10,5,8,2,10,5,8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10016,2,1,10,5,8,2,10,5,8,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10017,1,2,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10017,2,2,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10018,1,1,3,1,3,2,3,3,3,3,2,1,2,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,104,2,1364,10018,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,1,1,3,0,3,2,3,3,3,3,1,1,2,6,2,1,2,,,,3,3,600,,,,1122,1,11,0,2,0,,,
4,1,104,2,1364,10019,2,1,3,3,3,2,3,3,2,3,1,1,2,6,2,1,2,,,,2,2,600,,,,1122,,,0,2,0,,,
4,1,106,2,880,10021,1,1,5,4,4,,,,,,,,,,,,,1,3,500,0,0,0,0,0,0,1080,1,22,0,0,0,,,
4,1,106,2,880,10021,2,1,,,,2,6,5,4,,,,,,,,,1,3,500,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10021,3,1,,,,,,,,,,,,,,,,1,3,500,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10021,4,1,,,,,,,,,,,,,,,,1,3,500,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10022,1,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10022,2,1,,,,1,4,5,3,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10022,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10023,1,1,4,5,4,,,,,,,,,,,,,,,,1,3,500,0,0,0,1080,1,31,0,0,0,,,
4,1,106,2,880,10023,2,1,,,,2,5,6,4,,,,,,,,,,,,1,3,500,0,0,0,,,,0,0,0,,,
4,1,106,2,880,10023,3,1,,,,,,,,,,,,,,,,,,,1,3,500,0,0,0,,,,0,0,0,,,
4,1,106,2,880,10024,1,1,42,3,5,2,40,3,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10024,2,1,42,3,5,2,40,3,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10024,3,1,42,3,5,2,40,3,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10025,1,1,42,4,5,2,42,4,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10025,2,1,42,4,5,2,42,4,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10025,3,1,42,4,5,2,42,4,5,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10025,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10026,1,1,34,3,4,2,34,3,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10026,2,1,34,3,4,2,34,3,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10026,3,1,34,3,4,2,34,3,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10027,1,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10027,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10027,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10027,4,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10027,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,1,1,2,1,3,2,3,1,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10029,2,1,2,1,2,2,4,1,2,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10029,3,1,2,2,2,2,1,2,4,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10030,1,1,2,1,2,2,3,2,1,1,3,2,1,4,2,1,2,,,,,,,,,,,,,0,0,0,,,
4,1,106,2,880,10030,2,1,3,1,3,2,2,3,3,3,2,1,2,4,2,1,2,,,,,,,,,,,,,0,0,0,,,
4,1,111,1,1146,10034,1,2,1,1,3,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,
4,1,111,1,1146,10039,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,107,2,1044,10061,1,1,10,2,5,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,1,6,3,6,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,1,6,3,6,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,1,1,2,6,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,1,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,1,,,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
