"zone","state","lga","sector","ea","hhid","plotid","cropid","sa3q1","sa3q2","sa3q3","sa3q4","sa3q4b","sa3q5a","sa3q5b","sa3q6a","sa3q6b","sa3q7","sa3q8a","sa3q8b","sa3q9","sa3q10","sa3q11a","sa3q11b","sa3q12","sa3q13","sa3q14","sa3q15a","sa3q15b","sa3q15c","sa3q16a","sa3q16b","sa3q17","sa3q18","sa3q19a","sa3q19b","sa3q20a","sa3q20b","sa3q21a","sa3q21b","sa3q22a","sa3q22b","sa3q23a","sa3q23b","trackingobs"
4,1,104,2,1364,10011,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,1,2,"MAIZE",1080,1,,,500,3,8,31,2,,,1,"N1",8,31,2800,1,2,,,,,,,2800,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10011,1,3,"MELON",1090,1,,,500,3,5,31,2,,,1,"N1",5,31,4000,1,2,,,,,,,4000,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10011,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,2,2,"MAIZE",1080,1,,,550,3,9,31,2,,,1,"N1",6,31,2100,1,2,,,,,,,3150,0,,3,31,0,,0,,0,,0
4,1,104,2,1364,10011,2,3,"MELON",1090,1,,,550,3,6,31,2,,,1,"N1",5,31,4800,1,2,,,,,,,4800,0,,1,31,0,,0,,0,,0
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1,,,2000,3,10,31,2,,,1,"N1",8,31,2800,1,2,,,,,,,3500,0,,2,31,0,,0,,0,,0
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,1,2,"MAIZE",1080,1,,,400,3,1,21,2,,,1,"N1",1,21,1500,1,2,,,,,,,1500,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10013,1,3,"PUMKIN",2190,1,,,80,1,12,61,2,,,1,"N1",8,61,2400,1,2,,,,,,,3600,2,61,1,61,0,,1,61,0,,0
4,1,104,2,1364,10013,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,2,2,"MAIZE",1080,1,,,500,3,2,21,2,,,2,,,,,,,,,,,,,3000,1,21,0,,0,,1,21,0,,0
4,1,104,2,1364,10013,3,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,3,2,"MAIZE",1080,1,,,300,3,1,21,2,,,2,,,,,,,,,,,,,1500,1,21,0,,0,,0,,0,,0
4,1,104,2,1364,10013,4,1,"FALLOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,1,"FALLOW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,"MAIZE",1080,1,,,480,3,3,31,2,,,1,"N1",2,31,680,1,2,,,,,,,1020,0,,1,31,0,,0,,0,,0
4,1,104,2,1364,10015,1,3,"PLAINTAIN",2170,1,,,200,3,6,41,2,,,1,"N1",5,41,2000,1,2,,,,,,,2400,0,,0,,0,,0,,0,,0
4,1,104,2,1364,10015,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,1,2,"MAIZE",1080,1,,,80,3,80,3,2,,,1,"N1",8,21,1600,1,2,,,,,,,1600,0,,0,,0,,0,,0,,0
