"zone","state","lga","sector","ea","hhid","item_cd","item_seq","specify","sa4q1","trackingobs"
4,1,104,2,1364,10011,319,1,,2,0
4,1,104,2,1364,10011,320,1,,3,0
4,1,104,2,1364,10012,319,1,,2,0
4,1,104,2,1364,10012,320,1,,3,0
4,1,104,2,1364,10013,319,1,,1,0
4,1,104,2,1364,10013,320,1,,1,0
4,1,104,2,1364,10014,319,1,,1,0
4,1,104,2,1364,10014,320,1,,1,0
4,1,104,2,1364,10015,319,1,,4,0
4,1,104,2,1364,10015,320,1,,4,0
4,1,104,2,1364,10016,319,1,,2,0
4,1,104,2,1364,10016,320,1,,4,0
4,1,104,2,1364,10017,319,1,,3,0
4,1,104,2,1364,10017,320,1,,5,0
4,1,104,2,1364,10018,319,1,,2,0
4,1,104,2,1364,10018,320,1,,2,0
4,1,104,2,1364,10018,321,1,,2,0
4,1,104,2,1364,10019,319,1,,2,0
4,1,104,2,1364,10019,320,1,,3,0
4,1,106,2,880,10021,319,1,,3,0
4,1,106,2,880,10021,320,1,,3,0
4,1,106,2,880,10021,321,1,,1,0
4,1,106,2,880,10022,319,1,,1,0
4,1,106,2,880,10022,320,1,,2,0
4,1,106,2,880,10023,319,1,,2,0
4,1,106,2,880,10023,320,1,,3,0
4,1,106,2,880,10024,319,1,,1,0
4,1,106,2,880,10024,320,1,,1,0
4,1,106,2,880,10025,319,1,,1,0
4,1,106,2,880,10025,320,1,,1,0
4,1,106,2,880,10026,319,1,,1,0
4,1,106,2,880,10026,320,1,,1,0
4,1,106,2,880,10027,319,1,,2,0
4,1,106,2,880,10027,320,1,,2,0
4,1,106,2,880,10027,321,1,,1,0
4,1,106,2,880,10029,319,1,,1,0
4,1,106,2,880,10029,320,1,,1,0
4,1,106,2,880,10030,318,1,,1,0
4,1,106,2,880,10030,319,1,,3,0
4,1,106,2,880,10030,320,1,,4,0
4,1,111,1,1146,10034,319,1,,2,0
4,1,111,1,1146,10034,320,1,,2,0
4,1,111,1,1146,10039,319,1,,1,0
4,1,111,1,1146,10039,320,1,,1,0
4,1,107,2,1044,10061,319,1,,1,0
4,1,107,2,1044,10061,320,1,,1,0
4,1,107,2,1044,10061,321,1,,1,0
4,1,107,2,1044,10061,321,2,,1,0
4,1,107,2,1044,10062,319,1,,2,0
4,1,107,2,1044,10062,320,1,,4,0
4,1,107,2,1044,10063,319,1,,3,0
4,1,107,2,1044,10063,320,1,,4,0
4,1,107,2,1044,10064,319,1,,5,0
4,1,107,2,1044,10064,320,1,,5,0
4,1,107,2,1044,10065,319,1,,2,0
4,1,107,2,1044,10065,320,1,,2,0
4,1,107,2,1044,10066,319,1,,2,0
4,1,107,2,1044,10066,320,1,,4,0
4,1,107,2,1044,10067,319,1,,1,0
4,1,107,2,1044,10067,320,1,,1,0
4,1,107,2,1044,10068,319,1,,1,0
4,1,107,2,1044,10068,320,1,,1,0
4,1,107,2,1044,10069,319,1,,2,0
4,1,107,2,1044,10069,320,1,,2,0
4,1,107,2,1044,10070,319,1,,3,0
4,1,107,2,1044,10070,320,1,,3,0
4,1,117,2,560,10071,319,1,,1,0
4,1,117,2,560,10071,320,1,,1,0
4,1,117,2,560,10072,319,1,,1,0
4,1,117,2,560,10072,320,1,,1,0
4,1,117,2,560,10073,319,1,,1,0
4,1,117,2,560,10073,320,1,,2,0
4,1,117,2,560,10074,319,1,,2,0
4,1,117,2,560,10074,320,1,,6,0
4,1,117,2,560,10075,319,1,,1,0
4,1,117,2,560,10075,320,1,,1,0
4,1,117,2,560,10076,319,1,,2,0
4,1,117,2,560,10076,320,1,,4,0
4,1,117,2,560,10077,319,1,,2,0
4,1,117,2,560,10077,320,1,,3,0
4,1,117,2,560,10078,318,1,,2,0
4,1,117,2,560,10078,319,1,,2,0
4,1,117,2,560,10078,320,1,,2,0
4,1,117,2,560,10079,318,1,,1,0
4,1,117,2,560,10079,319,1,,2,0
4,1,117,2,560,10079,320,1,,2,0
4,1,117,2,560,10080,319,1,,2,0
4,1,117,2,560,10080,320,1,,4,0
4,1,110,2,76,10084,319,1,,1,0
4,1,110,2,76,10084,320,1,,2,0
4,1,110,2,76,10085,319,1,,3,0
4,1,110,2,76,10085,320,1,,3,0
4,1,110,2,76,10086,319,1,,1,0
4,1,110,2,76,10086,320,1,,1,0
4,1,110,2,76,10087,319,1,,1,0
4,1,110,2,76,10087,320,1,,1,0
4,1,110,2,76,10088,319,1,,1,0
4,1,110,2,76,10088,320,1,,1,0
4,1,105,2,638,10091,318,1,,1,0
4,1,105,2,638,10091,319,1,,3,0
4,1,105,2,638,10091,320,1,,4,0
4,1,105,2,638,10092,319,1,,2,0
4,1,105,2,638,10092,320,1,,2,0
4,1,105,2,638,10093,319,1,,1,0
4,1,105,2,638,10093,320,1,,1,0
4,1,105,2,638,10094,319,1,,1,0
4,1,105,2,638,10094,320,1,,1,0
4,1,105,2,638,10095,319,1,,2,0
4,1,105,2,638,10095,320,1,,2,0
4,1,105,2,638,10096,319,1,,3,0
4,1,105,2,638,10096,320,1,,5,0
4,1,105,2,638,10096,321,1,,1,0
4,1,105,2,638,10097,318,1,,1,0
4,1,105,2,638,10097,319,1,,3,0
4,1,105,2,638,10097,320,1,,5,0
4,1,105,2,638,10097,321,1,,1,0
4,1,105,2,638,10099,319,1,,1,0
4,1,105,2,638,10099,320,1,,2,0
4,1,105,2,638,10100,319,1,,4,0
4,1,105,2,638,10100,320,1,,6,0
4,1,108,2,904,10102,319,1,,1,0
4,1,108,2,904,10102,320,1,,1,0
4,1,108,2,904,10103,318,1,,1,0
4,1,108,2,904,10103,319,1,,2,0
4,1,108,2,904,10103,320,1,,1,0
4,1,108,2,904,10105,319,1,,2,0
4,1,108,2,904,10105,320,1,,2,0
4,1,108,2,904,10106,319,1,,3,0
4,1,108,2,904,10106,320,1,,3,0
4,1,108,2,904,10107,319,1,,3,0
4,1,108,2,904,10107,320,1,,4,0
4,1,108,2,904,10108,319,1,,1,0
4,1,108,2,904,10108,320,1,,1,0
4,1,108,2,904,10109,319,1,,3,0
4,1,108,2,904,10109,320,1,,5,0
4,1,108,2,904,10110,319,1,,3,0
4,1,108,2,904,10110,320,1,,3,0
2,2,209,2,1040,20003,319,1,,1,0
2,2,209,2,1040,20004,319,1,,3,0
2,2,209,2,1040,20004,320,1,,4,0
2,2,209,2,1040,20005,319,1,,2,0
2,2,209,2,1040,20005,320,1,,4,0
2,2,209,2,1040,20006,312,1,,1,0
2,2,209,2,1040,20007,319,1,,1,0
2,2,209,2,1040,20007,320,1,,5,0
2,2,209,2,1040,20008,319,1,,1,0
2,2,209,2,1040,20008,320,1,,5,0
2,2,209,2,1040,20009,319,1,,2,0
2,2,209,2,1040,20009,320,1,,5,0
2,2,209,2,1040,20010,320,1,,1,0
2,2,201,2,60,20021,319,1,,1,0
2,2,201,2,60,20021,319,2,,1,0
2,2,201,2,60,20021,320,1,,4,0
2,2,201,2,60,20021,320,2,,1,0
2,2,201,2,60,20022,302,1,,2,0
2,2,201,2,60,20022,312,1,,1,0
2,2,201,2,60,20022,318,1,,1,0
2,2,201,2,60,20022,319,1,,2,0
2,2,201,2,60,20022,320,1,,3,0
2,2,201,2,60,20022,321,1,,2,0
2,2,201,2,60,20023,319,1,,2,0
2,2,201,2,60,20023,320,1,,4,0
2,2,201,2,60,20025,318,1,,1,0
2,2,201,2,60,20025,319,1,,5,0
2,2,201,2,60,20025,320,1,,10,0
2,2,201,2,60,20026,320,1,,4,0
2,2,201,2,60,20027,319,1,,2,0
2,2,201,2,60,20027,320,1,,5,0
2,2,201,2,60,20028,302,1,,1,0
2,2,201,2,60,20028,318,1,,1,0
2,2,201,2,60,20028,319,1,,3,0
2,2,201,2,60,20028,320,1,,6,0
2,2,201,2,60,20029,319,1,,1,0
2,2,201,2,60,20029,320,1,,1,0
2,2,201,2,60,20029,321,1,,2,0
2,2,201,2,60,20029,321,2,,2,0
2,2,201,2,60,20029,321,3,,2,0
2,2,201,2,60,20029,321,4,,2,0
2,2,201,2,60,20030,319,1,,3,0
2,2,201,2,60,20030,320,1,,6,0
2,2,216,2,200,20031,320,1,,5,0
2,2,216,2,200,20032,319,1,,1,0
2,2,216,2,200,20032,320,1,,6,0
2,2,216,2,200,20033,319,1,,1,0
2,2,216,2,200,20033,320,1,,6,0
2,2,216,2,200,20034,302,1,,1,0
2,2,216,2,200,20034,312,1,,1,0
2,2,216,2,200,20034,318,1,,1,0
2,2,216,2,200,20034,319,1,,4,0
2,2,216,2,200,20034,320,1,,12,0
2,2,216,2,200,20035,320,1,,4,0
2,2,216,2,200,20036,320,1,,4,0
2,2,216,2,200,20037,319,1,,1,0
2,2,216,2,200,20037,320,1,,5,0
2,2,216,2,200,20038,319,1,,1,0
2,2,216,2,200,20038,320,1,,3,0
2,2,216,2,200,20039,319,1,,2,0
2,2,216,2,200,20039,320,1,,3,0
2,2,216,2,200,20040,310,1,,1,0
2,2,216,2,200,20040,319,1,,2,0
2,2,216,2,200,20040,320,1,,7,0
2,2,203,2,1224,20041,319,1,,2,0
2,2,203,2,1224,20041,320,1,,3,0
2,2,203,2,1224,20041,321,1,,1,0
2,2,203,2,1224,20042,319,1,,1,0
2,2,203,2,1224,20042,320,1,,4,0
2,2,203,2,1224,20043,301,1,,2,0
2,2,203,2,1224,20043,302,1,,2,0
2,2,203,2,1224,20043,303,1,,2,0
2,2,203,2,1224,20043,304,1,,2,0
2,2,203,2,1224,20043,305,1,,2,0
2,2,203,2,1224,20043,306,1,,2,0
2,2,203,2,1224,20043,307,1,,2,0
2,2,203,2,1224,20043,308,1,,2,0
2,2,203,2,1224,20043,309,1,,2,0
2,2,203,2,1224,20043,310,1,,2,0
2,2,203,2,1224,20043,311,1,,2,0
2,2,203,2,1224,20043,312,1,,2,0
2,2,203,2,1224,20043,313,1,,2,0
2,2,203,2,1224,20043,314,1,,2,0
2,2,203,2,1224,20043,315,1,,2,0
2,2,203,2,1224,20043,316,1,,2,0
2,2,203,2,1224,20043,317,1,,2,0
2,2,203,2,1224,20043,318,1,,2,0
2,2,203,2,1224,20043,319,1,,1,0
2,2,203,2,1224,20043,320,1,,3,0
2,2,203,2,1224,20044,302,1,,1,0
2,2,203,2,1224,20044,319,1,,3,0
2,2,203,2,1224,20044,320,1,,12,0
2,2,203,2,1224,20045,310,1,,1,0
2,2,203,2,1224,20045,319,1,,1,0
2,2,203,2,1224,20045,320,1,,3,0
2,2,203,2,1224,20046,302,1,,1,0
2,2,203,2,1224,20046,319,1,,4,0
2,2,203,2,1224,20046,320,1,,6,0
2,2,203,2,1224,20047,302,1,,1,0
2,2,203,2,1224,20047,319,1,,1,0
2,2,203,2,1224,20047,320,1,,7,0
2,2,203,2,1224,20048,312,1,,2,0
2,2,203,2,1224,20048,318,1,,1,0
2,2,203,2,1224,20048,319,1,,2,0
2,2,203,2,1224,20048,320,1,,4,0
