"zone","state","lga","sector","ea","hhid","item_cd","item_seq","sa4q2","sa4q3","sa4q4","sa4q5a","sa4q5b","sa4q5c","sa4q6","sa4q7","sa4q8","trackingobs"
4,1,104,2,1364,10011,319,1,1,2,400,1,4,2,2,,,0
4,1,104,2,1364,10011,319,2,1,3,500,1,4,2,2,,,0
4,1,104,2,1364,10011,320,1,1,2,150,1,4,2,2,,,0
4,1,104,2,1364,10011,320,2,1,3,300,1,4,2,2,,,0
4,1,104,2,1364,10012,319,1,2,3,300,2,4,5,2,,,0
4,1,104,2,1364,10012,319,2,2,4,500,2,4,5,2,,,0
4,1,104,2,1364,10012,320,1,2,2,150,2,4,5,2,,,0
4,1,104,2,1364,10012,320,2,2,2,200,2,4,5,2,,,0
4,1,104,2,1364,10012,320,3,4,4,350,2,4,5,2,,,0
4,1,104,2,1364,10013,319,1,1,2,500,1,2,3,2,,,0
4,1,104,2,1364,10013,320,1,1,2,300,1,2,3,2,,,0
4,1,104,2,1364,10014,319,1,1,3,500,1,2,,2,,,0
4,1,104,2,1364,10014,320,1,1,3,400,1,2,,2,,,0
4,1,104,2,1364,10015,319,1,1,3,500,1,2,,2,,,0
4,1,104,2,1364,10015,319,2,1,4,300,1,2,,2,,,0
4,1,104,2,1364,10015,320,1,1,3,400,1,2,,2,,,0
4,1,104,2,1364,10015,320,2,2,4,200,2,1,,2,,,0
4,1,104,2,1364,10016,319,1,2,4,300,,,,2,,,0
4,1,104,2,1364,10016,320,1,2,2,250,,,,2,,,0
4,1,104,2,1364,10017,319,1,1,5,200,1,2,3,2,,,0
4,1,104,2,1364,10017,320,1,2,3,200,2,,,2,,,0
4,1,104,2,1364,10018,319,1,1,0,2000,1,2,,2,,,0
4,1,104,2,1364,10018,320,1,2,0,1400,2,3,,2,,,0
4,1,104,2,1364,10018,321,1,2,0,600,2,3,,2,,,0
4,1,104,2,1364,10019,319,1,1,1,1000,2,3,6,2,,,0
4,1,104,2,1364,10019,320,1,1,1,300,2,3,6,2,,,0
4,1,106,2,880,10021,319,1,1,3,150,1,2,,2,,,0
4,1,106,2,880,10021,319,2,1,3,300,1,2,,2,,,0
4,1,106,2,880,10021,319,3,1,4,150,1,2,,2,,,0
4,1,106,2,880,10021,320,1,1,2,80,1,20,,2,,,0
4,1,106,2,880,10021,320,2,1,4,200,1,2,,2,,,0
4,1,106,2,880,10021,320,3,2,2,80,1,2,,2,,,0
4,1,106,2,880,10021,321,1,1,3,500,1,2,,2,,,0
4,1,106,2,880,10022,319,1,1,4,300,1,2,,2,,,0
4,1,106,2,880,10022,320,1,2,2,150,2,,,2,,,0
4,1,106,2,880,10022,320,2,2,3,200,2,,,2,,,0
4,1,106,2,880,10023,319,1,1,2,300,1,2,,2,,,0
4,1,106,2,880,10023,319,2,1,3,400,1,2,,2,,,0
4,1,106,2,880,10023,320,1,1,3,250,1,2,,2,,,0
4,1,106,2,880,10023,320,2,2,2,100,2,,,2,,,0
4,1,106,2,880,10024,319,1,1,3,500,1,2,,2,,,0
4,1,106,2,880,10024,320,1,1,2,200,1,2,,2,,,0
4,1,106,2,880,10025,319,1,1,2,500,1,,,2,,,0
4,1,106,2,880,10025,320,1,2,3,300,2,,,2,,,0
4,1,106,2,880,10026,319,1,1,3,400,1,2,,2,,,0
4,1,106,2,880,10026,320,1,1,2,200,1,2,,2,,,0
4,1,106,2,880,10027,319,1,1,4,400,1,2,3,2,,,0
4,1,106,2,880,10027,320,1,2,3,250,2,3,4,2,,,0
4,1,106,2,880,10027,321,1,1,4,600,1,3,4,2,,,0
4,1,106,2,880,10029,319,1,1,2,400,2,,,2,,,0
4,1,106,2,880,10029,320,1,2,2,250,1,,,2,,,0
4,1,106,2,880,10030,318,1,1,0,4000,2,3,4,2,,,0
4,1,106,2,880,10030,319,1,1,0,600,2,3,4,2,,,0
4,1,106,2,880,10030,320,1,2,2,350,3,4,5,2,,,0
4,1,111,1,1146,10034,319,1,1,2,120,3,5,7,2,,,0
4,1,111,1,1146,10034,319,2,1,5,100,2,3,4,2,,,0
4,1,111,1,1146,10034,320,1,2,2,80,4,5,6,2,,,0
4,1,111,1,1146,10034,320,2,2,3,60,3,4,5,2,,,0
4,1,111,1,1146,10039,319,1,1,4,550,,,,2,,,0
4,1,111,1,1146,10039,320,1,1,41,200,,,,2,,,0
4,1,107,2,1044,10061,319,1,1,0,1500,1,2,3,2,,,0
4,1,107,2,1044,10061,320,1,1,0,800,1,2,3,2,,,0
4,1,107,2,1044,10061,321,1,1,0,500,1,2,,2,,,0
4,1,107,2,1044,10061,321,2,1,0,2000,1,2,,2,,,0
4,1,107,2,1044,10062,319,1,1,4,300,1,2,,2,,,0
4,1,107,2,1044,10062,320,1,1,3,250,1,2,,2,,,0
4,1,107,2,1044,10063,319,1,3,2,300,4,5,,2,,,0
4,1,107,2,1044,10063,319,2,4,2,150,3,5,,2,,,0
4,1,107,2,1044,10063,319,3,5,1,150,4,3,,2,,,0
4,1,107,2,1044,10063,320,1,2,3,100,2,,,2,,,0
4,1,107,2,1044,10063,320,2,3,3,250,3,4,5,2,,,0
4,1,107,2,1044,10063,320,3,4,2,250,3,4,5,2,,,0
