"zone","state","lga","sector","ea","hhid","source_cd","sa5bq1b","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9"
2,2,201,2,60,20022,11,,1,2,,2,0,,0,,2,,1
4,4,414,1,2176,40034,11,,1,2,1,0,,,,2,2,,1
4,4,405,2,722,40064,1,,2,,,,0,,0,,2,,1
2,5,508,2,984,50092,1,,1,,,,3,1,2,,1,500,1
2,8,811,2,390,80066,1,,1,1,,,2,0,0,0,2,,1
2,8,811,2,390,80070,1,,1,,,,5,,,5,2,,1
5,9,903,2,48,90020,11,,1,2,,,2,0,1,,2,,1
5,10,1007,1,1166,100025,2,,1,,,,0,,0,,2,,2
5,12,1216,2,618,120052,11,,1,2,,,7,0,3,2,2,,
4,14,1401,2,1116,140006,12,,1,2,3,,,,,,2,,2
4,14,1401,2,1116,140008,12,,1,2,3,,,,,,2,,2
4,14,1407,2,68,140015,12,,1,2,,,,,,,2,,4
4,14,1407,2,68,140016,12,"X",1,,,,,,,,,,4
4,14,1408,2,1996,140027,12,,1,2,3,4,,,,,2,,4
4,14,1408,2,1996,140028,12,,1,2,,,,,,,2,,4
4,14,1413,1,2578,140039,12,,1,2,3,4,,,,,2,,4
4,14,1413,1,2578,140040,12,,1,2,3,,,,,,2,,4
4,14,1415,2,952,140043,2,,1,,,,7,7,0,0,2,,1
4,14,1415,2,952,140044,12,,1,2,3,,,,,,2,,4
4,14,1415,2,952,140045,12,,1,2,3,,,,,,2,,4
4,14,1406,2,694,140067,1,,1,2,,,,,,,2,,4
4,14,1406,2,694,140068,12,,1,2,,,,,,,2,,2
4,14,1413,2,670,140071,11,,1,,,,,,,,2,,4
4,14,1413,2,670,140073,12,,1,2,3,,,,,,2,,4
4,14,1410,2,236,140087,12,,1,2,,,,,,,2,,4
4,14,1410,2,236,140088,12,,1,2,,,,,,,2,,3
4,14,1408,2,968,140104,12,,1,2,,,,,,,2,,1
4,14,1408,2,968,140105,12,,1,2,,,,,,,2,,4
4,14,1408,2,968,140106,12,,1,2,3,4,,,,,2,,4
4,14,1411,2,1066,140117,12,,2,3,1,0,,,,,2,,1
4,14,1411,2,1066,140118,12,,1,,,,,,,,2,,2
4,14,1416,2,2314,140121,12,,1,2,0,0,0,,0,0,2,,2
4,14,1416,2,2314,140122,12,,1,2,0,0,0,,0,0,2,,1
4,14,1416,2,2314,140123,12,,1,1,,,,,,,2,,3
2,15,1506,1,398,150002,2,,3,,,,3,2,2,,2,,
2,15,1506,1,398,150003,1,,1,,,,1,1,0,,2,,1
2,15,1508,2,1682,150016,5,,1,,,,3,3,0,,2,,1
2,15,1508,2,1682,150019,5,,1,,,,3,3,0,,2,,1
2,15,1503,2,634,150069,1,,1,,,,1,0,0,,2,,
2,15,1506,1,148,150077,1,,1,3,,,0,,6,,1,10000,1
4,16,1626,2,1546,160008,14,"PROFESSIONAL ADVICE",2,,,,3,0,0,0,2,,1
4,16,1624,1,136,160024,14,"TRADITIONAL",0,0,0,0,0,,0,,,,
4,16,1624,1,136,160025,14,"TRADITIONAL",0,0,0,0,0,,0,0,,,
4,16,1602,2,1576,160026,14,"TRADITIONAL",0,0,,,0,,0,0,2,,
4,16,1624,1,136,160033,14,"TRADITIONAL",0,0,0,0,0,,0,,,,
4,16,1624,1,136,160041,14,"TRADITIONAL",0,0,0,,0,,0,,,,
4,16,1622,2,18,160044,14,"TRADITIONAL",0,0,0,,0,,0,0,2,,
4,16,1612,2,414,160046,11,"PEER FARMER{NEIGHBOR/RELATIVE}",0,0,0,,0,,0,,,,
4,16,1612,2,414,160047,14,"TRADITIONAL",0,0,0,,0,,0,,,,
4,16,1602,2,1576,160048,14,"TRADITIONAL",0,0,0,,0,,0,0,2,,
4,16,1602,2,1576,160049,14,"TRADITIONAL",0,0,,0,0,,0,0,2,,
4,16,1602,2,1576,160050,14,"TRADITIONAL",0,0,,,0,,0,0,2,,
4,16,1616,2,296,160061,1,"GOVERNMENT AGRICULTURE",1,,,,4,4,2,0,1,2000,1
4,16,1616,2,296,160061,2,"ELECTRONIC MEDIA",1,,,,0,,0,0,2,,1
4,16,1616,2,296,160067,1,"GOVERNMENT AGRICULTURAL SERVIC",1,2,,,6,6,2,5,1,3000,1
4,16,1601,2,954,160092,1,"GOVERNMENT AGRICULTURE",1,,,,4,,2,0,1,2000,1
4,16,1601,2,954,160092,8,"VILLAGE AGRICULTURAL MEETING",1,,,,,,,,2,,1
4,16,1606,2,590,160107,14,"TRADITIONAL",0,0,0,,0,,0,,,,
4,16,1606,2,590,160108,14,"TRADITIONAL",0,0,0,,0,,0,,,,
4,16,1606,2,590,160109,14,"TRADITIONAL",0,0,0,,0,,0,,,,
4,16,1624,1,286,160110,1,,,0,,,,,0,0,2,,
4,16,1624,1,286,160113,11,"PEER FARMER {NEIGHBOR/RELATIVE",0,0,0,0,0,,0,0,2,,
4,16,1610,2,1006,160115,11,"PEER FARMER {NEIGHBOR/RELATIVE",0,0,,,0,,0,0,2,,
4,16,1624,1,286,160132,11,"PEER FARMER{NEIGHBOR/RELATIVE}",0,0,0,0,0,,0,0,2,,
4,16,1624,1,286,160133,11,"PEER FARMER NEIGHBOR/RELATIVE.",1,0,0,0,0,,0,0,2,,2
4,16,1608,2,1104,160164,14,"TRADITIONAL",0,0,0,0,0,,0,,,,
4,16,1608,2,1104,160167,14,"TRADITIONAL",0,0,0,,0,,0,0,2,,
4,16,1609,2,738,160169,14,"TRADITIONAL",0,0,,,0,,0,0,2,,
3,17,1719,2,1354,170016,8,,1,,,,0,,0,0,2,,2
3,17,1719,2,1354,170017,8,,1,,,,0,,0,0,2,,2
3,17,1719,2,1354,170018,8,,1,,,,2,0,0,3,2,,1
3,17,1722,2,96,170048,8,,1,,,,2,0,2,0,2,,1
3,17,1722,2,96,170049,1,,1,,,,0,,2,1,2,,1
3,17,1715,2,2244,170052,8,,1,,,,0,,2,2,2,,1
3,17,1715,2,2244,170053,8,,1,,,,0,,2,2,2,,1
3,17,1715,2,2244,170056,8,,1,,,,0,,2,2,2,,1
3,17,1715,2,2244,170059,2,,1,,,,2,0,0,0,2,,2
3,17,1710,2,546,170063,8,,,,,,0,,2,2,2,,1
3,17,1710,2,546,170064,8,,1,,,,0,,2,0,2,,1
3,17,1710,2,546,170067,8,,1,,,,0,,2,2,2,,1
3,17,1713,1,226,170076,8,,1,,,,0,,2,0,2,,1
3,17,1713,1,226,170077,8,,1,,,,0,,0,0,2,,1
3,17,1716,2,1452,170082,8,,1,,,,0,,2,2,2,,1
3,17,1716,2,1452,170089,8,,1,,,,0,,2,2,2,,1
3,17,1716,2,1452,170090,2,,1,,,,3,1,0,0,1,1000,1
3,17,1702,2,510,170096,8,,1,,,,0,,2,0,2,,1
3,17,1702,2,510,170097,8,,1,,,,0,,2,0,2,,1
3,17,1702,2,510,170099,8,,1,,,,0,,1,0,2,,1
3,17,1712,2,794,170117,11,,1,,,,1,1,0,0,1,1200,1
3,18,1804,1,2690,180003,11,,1,,,,2,0,0,,2,,2
3,18,1823,1,1822,180027,10,,1,,,,6,0,10,,2,,1
3,18,1803,2,840,180032,5,,1,,,,0,,0,0,2,,1
3,18,1816,1,378,180047,11,,1,,,,0,,5,,2,,4
3,18,1816,1,378,180047,12,,1,,,,,,,,,,4
3,18,1805,2,534,180052,11,,1,,,,2,0,0,,2,,3
3,18,1805,2,534,180056,11,,1,,,,0,,6,,2,,2
3,18,1805,2,534,180059,11,,1,,,,0,,3,,2,,1
3,18,1817,2,370,180062,11,,1,,,,2,,0,,2,,3
3,18,1817,2,370,180062,12,,1,,,,,,,,2,,3
3,18,1817,2,370,180065,11,,1,,,,4,,0,,2,,3
3,18,1808,2,1726,180076,10,,1,,,,2,0,2,,2,,1
3,18,1808,2,1726,180076,11,,1,2,,,3,0,0,,2,,1
3,18,1808,2,1726,180076,12,,1,2,,,,,,,2,,
3,18,1822,2,1654,180106,11,,1,6,,,4,0,0,,2,,2
3,18,1822,2,1654,180109,10,,1,,,,0,,2,,2,,3
3,18,1822,2,1654,180109,11,,1,,,,0,,2,,2,,3
3,18,1822,2,1654,180109,12,,1,,,,,,,,,,3
3,18,1814,2,678,180111,11,,1,,,,4,0,0,,2,,1
3,18,1814,2,678,180112,12,,1,3,,,,,,,,,3
3,18,1814,2,678,180113,12,,1,,,,,,,,,,
3,18,1814,2,678,180117,12,,1,,,,,,,,2,,2
3,20,2018,2,1134,200016,12,,1,3,,,,,,,,,1
3,20,2018,2,1134,200017,12,,1,,,,,,,,,,
3,20,2018,2,1134,200018,12,,1,3,4,5,,,,,,,1
3,20,2005,2,970,200022,11,,,,,,,,2,,2,,3
3,20,2005,2,970,200028,5,,1,,,,0,,2,,2,,1
3,20,2005,2,970,200029,12,,,,,,,,,,,,1
3,20,2005,2,970,200030,12,,1,,,,,,,,,,2
3,20,2003,2,784,200037,11,,1,,,,0,,2,,2,,2
3,20,2003,2,784,200038,12,,1,,,,,,,,,,2
3,20,2003,2,784,200039,12,,1,,,,,,,,,,3
3,20,2003,2,784,200040,12,,1,,,,,,,,,,3
3,20,2030,2,1050,200043,11,,2,,,,0,,2,,2,,1
3,20,2030,2,1050,200049,12,,1,4,5,,,,,,,,2
3,20,2032,1,1390,200051,12,,1,,,,,,,,,,1
3,20,2032,1,1390,200052,1,,1,,,,,,,,,,1
3,20,2015,2,1746,200071,11,,1,,,,0,,3,,2,,1
3,20,2015,2,1746,200072,11,,1,,,,3,0,2,,2,,1
3,21,2106,2,2822,210002,11,,1,,,,2,2,0,,2,,1
3,21,2106,2,236,210011,1,,1,,,,3,3,0,,2,,1
3,21,2106,2,236,210013,1,,1,,,,2,0,0,0,2,,1
3,21,2106,2,236,210016,11,,1,,,,0,,2,,2,,1
3,21,2106,2,236,210018,1,,1,,,,1,0,0,,2,,1
3,21,2109,2,38,210021,1,,1,,,,2,0,0,,2,,1
3,21,2109,2,38,210024,11,,1,,,,2,0,0,,2,,1
3,21,2109,2,38,210029,11,,1,,,,2,0,0,,2,,1
3,21,2119,2,3956,210032,2,,1,,,,5,5,0,,1,5000,1
3,21,2119,2,3956,210033,2,,1,,,,2,2,0,,1,3500,1
3,21,2119,2,3956,210037,11,,1,,,,2,0,0,,2,,1
3,21,2119,2,2146,210041,11,,1,,,,4,2,0,,2,,1
3,21,2119,2,2146,210043,11,,1,,,,1,0,1,,2,,3
3,21,2119,2,2146,210046,11,,1,,,,2,0,3,,2,,1
3,21,2119,2,2146,210048,1,,1,,,,2,2,0,,2,,1
3,21,2119,2,2146,210049,11,,1,,,,3,0,0,,2,,1
3,21,2115,2,926,210053,11,,1,,,,2,0,0,,2,,1
3,21,2115,2,926,210054,2,,1,3,11,,0,,3,,1,1000,1
3,21,2115,2,926,210057,11,,1,3,,,2,0,0,,2,,1
3,21,2115,2,926,210060,11,,1,,,,2,0,0,,2,,1
3,21,2117,2,554,210062,11,,1,,,,3,2,0,,2,,1
3,21,2117,2,554,210064,11,,1,,,,6,6,6,,2,,1
3,21,2117,2,554,210066,14,,1,,,,2,0,0,,2,,1
3,21,2117,2,554,210070,1,,1,,,,1,0,0,,2,,2
3,21,2108,1,520,210076,11,,1,,,,2,0,0,,2,,2
3,21,2102,2,1124,210082,11,,1,,,,2,1,0,,2,,1
3,21,2102,2,1124,210087,11,,1,,,,4,0,3,,2,,1
3,21,2102,2,1124,210088,11,,1,,,,1,0,0,,2,,1
3,21,2102,2,1124,210090,11,,1,,,,2,0,0,,2,,1
3,21,2111,2,180,210093,11,,1,3,,,1,0,0,,1,0,1
3,21,2111,2,180,210094,11,,1,,,,1,1,0,,2,,1
3,21,2111,2,180,210098,11,,1,,,,3,3,0,,2,,1
1,23,2308,1,5180,230003,12,,1,2,3,,,,,,,,1
1,23,2308,1,5180,230008,12,,1,2,,,,,,,,,1
1,23,2307,1,78,230024,12,,1,2,,,,,,,,,1
1,23,2304,2,322,230071,12,,1,2,,,,,,,,,1
1,23,2311,2,516,230089,12,,1,2,,,,,,,,,1
1,23,2316,1,140,230102,12,,1,,,,,,,,,,1
1,23,2316,1,140,230106,12,,1,,,,,,,,,,1
1,23,2316,1,140,230110,12,,1,2,,,,,,,,,1
1,23,2303,2,2348,230112,12,,1,2,,,,,,,,,1
1,23,2303,2,2348,230116,12,,1,,,,,,,,,,1
1,23,2303,2,2348,230120,12,,1,,,,,,,,,,1
6,24,2407,2,396,240165,1,,1,,,,0,,0,,,,
6,24,2407,2,396,240165,5,,1,,,,0,,0,,,,
1,26,2615,2,2178,260070,1,,1,,,,,,,,,,2
1,26,2605,2,594,260091,2,,1,,,,1,0,0,,2,,1
1,26,2605,2,594,260092,2,,1,,,,3,3,0,,2,,1
