"zone","state","lga","sector","ea","hhid","animal_cd","sa6q1a","sa6q1b","sa6q2","sa6q3","sa6q4a","sa6q4b","sa6q5a","sa6q5b","sa6q6","sa6q7","sa6q8a","sa6q8b","sa6q9","sa6q10","sa6q11","sa6q12","sa6q13","sa6q14a","sa6q14b","sa6q15","sa6q16","sa6q17","sa6q18","sa6q19","sa6q20a","sa6q20b","sa6q21","sa6q22","sa6q23","sa6q24a1","sa6q24a2","sa6q24a3","sa6q25a1","sa6q25a2","sa6q25a3","sa6q26","sa6q27a","sa6q27b","sa6q28a","sa6q28b","sa6q28c","sa6q28d","trackingobs"
4,1,104,2,1364,10011,115,1,,13,1000,1,4,1,4,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,104,2,1364,10013,114,1,,10,900,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,2,2,,,,,,,0,,,,,,,0
4,1,104,2,1364,10015,110,1,,4,4500,1,2,1,2,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,104,2,1364,10019,110,1,,2,4000,1,,1,2,2,,,,0,0,0,0,,,,0,0,1,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10021,114,1,,10,2500,1,,1,,2,,,,0,0,0,0,,,,0,0,0,10,25000,"N4",,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10022,110,1,,8,6000,1,,1,,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10022,111,1,,2,4500,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10022,114,1,,21,700,2,,2,,2,,,,8,0,0,0,,,,0,0,3,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10022,115,1,,15,1500,2,,2,,2,,,,0,0,0,2,400,"N4",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10023,110,1,,8,6000,1,2,1,2,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10023,113,1,,15,1200,1,2,1,2,2,,,,10,0,0,0,,,,0,0,0,2,2400,"N1",,0,1,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10024,114,1,,5,800,1,2,1,2,2,,,,0,0,0,0,,,,0,0,2,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10025,114,1,,4,700,1,2,2,,2,,,,0,0,0,0,,,,0,0,3,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10026,114,1,,6,800,1,,1,,2,,,,10,0,0,0,,,,0,0,3,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10029,114,1,,8,800,1,2,1,2,2,,,,2,2,0,0,,,,0,0,4,0,,,,0,2,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10030,110,1,,6,7000,1,2,1,2,2,,,,3,0,0,0,,,,0,0,1,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,106,2,880,10030,114,1,,20,700,1,2,1,2,2,,,,10,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10061,114,1,,6,2850,2,,2,,2,,,,5,0,0,1,600,"N1",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10062,114,1,,6,650,1,,1,2,2,,,,4,0,0,1,500,"N1",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10063,114,1,,20,600,1,2,1,2,2,,,,8,0,0,0,,,,0,0,0,2,1200,"N1",,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10064,110,1,,4,5000,1,,1,,1,24,1,,0,0,0,0,,,,7,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10066,110,1,,3,5000,2,,2,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10066,114,1,,7,800,2,,2,,2,,,,0,0,0,0,,,,0,0,3,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10067,115,1,,10,800,2,1,2,1,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,2,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10068,110,1,,2,5000,2,,2,,2,,,,0,0,0,0,,,,0,0,0,1,7000,"N1",,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10069,114,1,,10,600,1,,1,5,2,,,,0,3,0,0,,,,0,0,0,3,2100,"N2",,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10070,114,1,,28,600,2,,2,,2,,,,13,0,0,13,3900,"N2",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,107,2,1044,10070,115,1,,6,800,2,,2,,2,,,,0,0,0,6,2100,"N2",,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10071,114,1,,6,700,1,,2,,2,,,,0,0,0,0,,,,0,0,2,0,,,,0,2,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10072,114,1,,5,900,1,,2,1,2,,,,0,0,0,0,,,,0,0,2,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10073,110,1,,3,3500,1,,1,,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10073,114,1,,17,750,1,,1,,2,,,,10,0,0,0,,,,0,0,2,1,750,"N2",,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10074,110,1,,2,5000,1,2,1,,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10074,114,1,,36,750,1,2,1,,2,,,,18,0,0,0,,,,0,0,15,0,,,,0,1,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10075,110,1,,2,5000,1,,1,,2,,,,2,0,0,0,,,,0,0,0,5,25000,"N2",,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10075,114,1,,6,500,1,,1,,2,,,,16,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10075,115,1,,6,400,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10076,110,1,,2,4500,2,,2,,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10076,114,1,,7,500,2,,2,,2,,,,4,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10078,110,1,,2,5500,1,,1,2,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10078,113,1,,1,500,1,,1,2,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10079,110,1,,2,5000,2,,2,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10080,110,1,,4,4000,1,,3,,2,,,,0,0,0,0,,,,0,0,1,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,117,2,560,10080,114,1,,10,600,1,,4,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,110,2,76,10084,110,1,,4,4000,1,,1,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,110,2,76,10085,110,1,,3,5000,1,,1,,2,,,,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
4,1,110,2,76,10086,110,1,,1,7000,2,,2,,2,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,,,0,,,,,,,0
