"zone","state","lga","sector","ea","hhid","item_cd","sa7q1","sa7q2","sa7q3","sa7q4a","sa7q4b","sa7q5"
2,2,209,2,1040,20002,2,1,600,,"N5",,2
2,2,209,2,1040,20006,2,1,8000,,"N2","N3",
2,2,209,2,1040,20006,3,1,9500,,"N4",,
2,2,209,2,1040,20006,6,1,1500,,"N5",,
2,2,209,2,1040,20006,7,1,2000,,,,
2,2,209,2,1040,20006,9,1,500,,,,
2,2,209,2,1040,20007,1,1,5000,,"N4",,2
2,2,209,2,1040,20009,2,1,700,,"N2",,2
2,2,201,2,60,20022,1,1,4500,,"N2",,2
2,2,201,2,60,20022,2,1,6000,,"N2",,2
2,2,201,2,60,20022,3,1,8500,,"N4",,2
2,2,201,2,60,20022,4,1,2500,,"N2",,2
2,2,201,2,60,20022,6,1,600,,,,
2,2,201,2,60,20022,7,1,3000,,,,
2,2,201,2,60,20022,8,1,5000,,,,
2,2,201,2,60,20022,9,1,2000,,,,
2,2,201,2,60,20025,1,1,10000,,"N1",,2
2,2,201,2,60,20025,3,1,2000,,"N4",,2
2,2,201,2,60,20028,2,1,1500,,"N4",,2
2,2,201,2,60,20028,3,1,,,"N4",,2
2,2,203,2,1224,20041,3,1,200,,"N2",,2
2,2,203,2,1224,20044,2,1,2000,,"N6",,2
2,2,203,2,1224,20047,2,1,2000,,"N5",,1
2,2,203,2,1224,20049,2,1,1600,,"N2",,1
2,2,212,2,956,20051,2,1,2500,0,"N6",,2
2,2,212,2,956,20051,3,1,5000,0,"N6",,2
2,2,212,2,956,20051,6,1,500,0,"N6",,
2,2,212,2,956,20051,7,1,1000,0,,,
2,2,212,2,956,20052,2,1,3000,0,"N5",,1
2,2,212,2,956,20053,1,1,40000,,"N4",,2
2,2,212,2,956,20054,1,1,4000,,"N2",,2
2,2,212,2,956,20054,2,1,2400,0,"N3",,2
2,2,212,2,956,20054,4,1,2000,0,"N4",,2
2,2,212,2,956,20054,6,1,1400,0,"N5",,2
2,2,212,2,956,20055,1,1,2000,,"N3",,2
2,2,212,2,956,20055,2,1,1000,0,"N1",,2
2,2,212,2,956,20055,3,1,2000,0,"N1",,2
2,2,212,2,956,20055,4,1,10000,0,"N3",,2
2,2,212,2,956,20055,5,1,1500,0,"N3",,2
2,2,212,2,956,20055,6,1,400,0,,,2
2,2,212,2,956,20055,7,1,1300,0,,,
2,2,212,2,956,20056,2,1,4000,0,"N5",,2
2,2,212,2,956,20056,3,1,3500,0,"N5",,2
2,2,212,2,956,20056,6,1,600,0,"N5",,2
2,2,212,2,956,20059,2,1,2000,0,"N4",,1
2,2,210,2,1300,20063,2,1,3000,,"N3",,1
2,2,210,2,1300,20063,4,1,4000,,"N4",,1
2,2,210,2,1300,20064,2,1,2000,,"N1",,2
2,2,210,2,1300,20070,2,1,3400,,"N4",,2
2,2,210,2,1300,20070,3,1,1200,,"N3",,2
2,2,214,2,898,20072,2,1,5000,,"N2",,2
2,2,214,2,898,20072,3,1,6000,,"N1",,2
2,2,214,2,898,20072,4,1,10000,,"N3",,2
2,2,214,2,898,20074,2,1,20000,,"N2",,
2,2,214,2,898,20074,3,1,15000,5000,"N3","N3",
2,2,214,2,898,20074,4,1,,40000,"N4",,
2,2,214,2,898,20075,2,1,34500,,"N3",,2
2,2,214,2,898,20075,3,1,10000,,"N2",,2
2,2,214,2,898,20075,4,1,30000,,"N4",,2
2,2,214,2,898,20078,2,1,3000,,"N1",,2
2,2,215,1,8,20085,2,1,1800,,"N2",,2
2,2,215,1,8,20085,6,1,200,,"N2",,
2,2,215,1,8,20088,2,1,3000,1000,"N4","N4",2
2,2,207,2,1302,20096,3,1,2500,,"N9",,1
2,2,205,2,712,20102,7,1,3000,,"N2","N3",
2,2,218,2,1592,20114,2,1,48000,,"N7",,2
2,2,218,2,1592,20117,2,1,2000,,"N3",,1
2,2,218,2,1592,20117,3,1,3000,,"N4",,1
2,2,218,2,1592,20118,2,1,3000,,"N3","N1",
2,2,218,2,1592,20119,4,1,,40000,"N3",,2
5,3,307,1,634,30045,3,1,800,,"N2",,2
5,3,307,1,634,30049,2,1,6000,,"N2",,2
5,3,321,2,364,30056,2,1,52000,,"N2",,2
5,3,321,2,364,30056,3,1,6000,,"N2",,2
5,3,321,2,364,30056,6,1,15000,,"N3",,2
5,3,301,1,1198,30105,1,1,6000,,"N1",,2
5,3,326,2,74,30113,2,1,6400,,"N3",,2
5,3,326,2,74,30113,5,1,1500,,"N3",,2
5,3,326,2,74,30113,6,1,300,,"N5",,2
5,3,305,2,1542,30121,2,1,44800,,"N4",,2
5,3,305,2,1542,30121,6,1,3200,,"N5",,2
5,3,305,2,1542,30121,9,1,1500,,"N4",,2
5,3,305,2,1542,30122,2,1,24000,,"N5",,2
5,3,305,2,1542,30122,3,1,1500,,"N4",,2
5,3,305,2,1542,30122,6,1,1200,,"N1",,2
5,3,305,2,1542,30128,1,1,,2000,,,
5,3,305,2,1542,30128,2,1,5000,500,"N2",,2
5,3,305,2,1542,30128,3,1,1000,,"N1",,2
5,3,312,2,20,30134,2,1,4800,,"N5",,2
5,3,312,2,20,30134,6,1,400,,"N6",,
4,4,415,1,2108,40046,2,1,,100,"N1",,2
4,4,419,2,296,40085,2,1,6000,,"N2",,2
4,4,419,2,296,40085,6,1,800,,"N3",,2
4,4,419,2,296,40086,2,1,5000,,"N1",,2
4,4,401,1,1460,40095,2,1,25000,,"N1",,2
4,4,401,1,1460,40095,3,1,10000,,"N2",,2
4,4,410,1,3414,40151,2,1,5000,,"N2",,2
4,4,410,1,3414,40151,3,1,1200,,"N3",,2
4,4,410,1,3414,40151,6,1,300,,"N4",,2
4,4,401,2,2106,40197,2,1,200000,,"N4",,2
4,4,401,2,2106,40197,3,1,10000,,"N4",,2
4,4,401,2,2106,40197,9,1,50000,,"N5",,
4,4,403,2,836,40214,2,1,3800,,,,2
4,4,403,2,836,40214,3,1,350,,,,2
4,4,403,2,836,40214,6,1,450,,,,2
2,5,502,1,2194,50011,2,1,4500,,"N1",,2
2,5,502,1,2194,50011,6,1,500,,"N2",,2
2,5,502,1,2194,50013,2,1,1000,,"N1",,2
2,5,515,2,18,50023,2,1,6000,,"N2",,2
2,5,515,2,18,50023,3,1,900,,"N4",,2
2,5,515,2,18,50024,2,1,10000,,"N1",,2
2,5,515,2,18,50024,3,1,1350,,"N3",,2
2,5,515,2,18,50024,7,1,1200,,,,
2,5,515,2,18,50026,2,1,1400,,"N2",,2
2,5,515,2,18,50027,2,1,8700,,"N2",,2
2,5,515,2,18,50027,3,1,1100,,"N3",,2
2,5,515,2,18,50029,2,1,1500,,"N1",,2
2,5,502,2,3878,50034,1,1,5000,,"N5",,2
2,5,502,2,3878,50034,3,1,2000,,"N4",,2
2,5,502,2,3878,50035,1,1,3000,,"N2",,2
2,5,502,2,3878,50035,2,1,9000,,"N3",,2
2,5,502,2,3878,50036,1,1,1000,,"N1",,2
2,5,502,2,3878,50036,2,1,1000,,"N2",,2
2,5,502,2,3878,50039,2,1,2000,,"N2",,
2,5,502,2,3878,50039,4,1,3000,,"N3",,
2,5,502,2,3878,50040,1,1,,,"N4",,2
2,5,502,2,3878,50040,2,1,,,"N3",,2
2,5,502,2,3878,50040,3,1,,,"N3",,2
2,5,504,2,708,50043,2,1,11000,,"N2",,2
2,5,504,2,708,50043,3,1,1200,,"N3",,2
2,5,504,2,708,50044,2,1,5100,,"N1",,2
2,5,504,2,708,50044,3,1,500,,"N2",,2
2,5,504,2,708,50046,2,1,1900,,"N2",,2
2,5,504,2,708,50047,2,1,6000,,"N1",,2
2,5,504,2,708,50050,2,1,7000,,"N1",,2
2,5,513,2,348,50051,2,1,900,,"N1",,2
2,5,513,2,348,50051,3,1,,,"N2",,2
2,5,513,2,348,50052,3,1,2000,,"N3",,2
2,5,513,2,348,50052,7,1,2000,,"N4",,2
2,5,513,2,348,50053,2,1,3000,,"N1",,2
2,5,513,2,348,50054,2,1,2000,,"N1",,2
2,5,513,2,348,50054,3,1,1000,,"N2",,2
2,5,513,2,348,50054,6,1,2000,,"N1",,2
2,5,513,2,348,50055,3,1,700,,"N5",,2
2,5,513,2,348,50056,3,1,1300,,"N6",,2
2,5,513,2,348,50057,2,1,800,,"N2",,2
2,5,513,2,348,50058,2,1,3000,,"N2",,2
2,5,513,2,348,50058,7,1,250,,"N3",,2
2,5,513,2,348,50059,2,1,1500,,"N1",,2
2,5,513,2,348,50059,3,1,2000,,"N2",,2
2,5,513,2,348,50060,2,1,2000,,"N1",,2
2,5,513,2,348,50060,3,1,,,"N2",,2
2,5,514,2,710,50061,2,1,2300,,"N2",,2
2,5,514,2,710,50062,2,1,8000,,"N1",,2
2,5,514,2,710,50064,2,1,2000,,"N2",,2
2,5,514,2,710,50065,2,1,5000,,"N4","N5",2
2,5,514,2,710,50065,3,1,1350,,"N3",,2
2,5,514,2,710,50066,2,1,1200,,"N3",,2
2,5,514,2,710,50070,2,1,10000,,"N3",,2
2,5,514,2,710,50070,3,1,2400,,"N2",,2
2,5,501,2,60,50072,2,1,4000,,"N2",,2
2,5,501,2,60,50073,2,1,17000,,"N9",,2
2,5,501,2,60,50073,3,1,2400,,"N15",,2
2,5,501,2,60,50076,2,1,600,,"N1",,2
2,5,501,2,60,50080,1,1,12000,,"N3",,2
2,5,501,2,60,50080,2,1,8500,,"N1",,2
2,5,501,2,60,50080,3,1,5000,,"N2",,2
2,5,516,2,942,50082,2,1,2100,,"N3",,2
2,5,516,2,942,50082,3,1,1800,,"N3",,2
2,5,516,2,942,50083,2,1,16650,,"N3",,2
2,5,516,2,942,50083,6,1,1550,,"N4",,2
2,5,516,2,942,50084,2,1,3500,,"N1",,2
2,5,516,2,942,50085,2,1,3500,,"N2","N3",2
2,5,516,2,942,50086,2,1,4800,,"N2",,2
2,5,516,2,942,50087,2,1,4700,,"N2",,2
2,5,516,2,942,50088,2,1,2900,,"N5",,2
2,5,516,2,942,50088,3,1,3800,,"N5",,2
2,5,516,2,942,50089,2,1,13000,,"N7",,2
2,5,516,2,942,50089,3,1,780,,"N6",,2
2,5,516,2,942,50089,6,1,300,,"N8",,2
2,5,516,2,942,50090,2,1,7500,,"N3",,2
2,5,516,2,942,50090,3,1,2000,,"N4",,2
2,5,516,2,942,50090,6,1,250,,,,
2,5,516,2,942,50090,7,1,300,,"N5",,
2,5,508,2,984,50091,7,1,1000,,"N4",,
2,5,508,2,984,50092,2,1,2000,,"N4",,2
2,5,508,2,984,50092,3,1,500,,"N3",,2
2,5,508,2,984,50093,2,1,600,,"N1",,2
2,5,508,2,984,50094,2,1,5000,,"N2",,2
2,5,508,2,984,50097,2,1,12000,,"N1",,2
2,5,508,2,984,50098,3,1,600,,"N4",,
2,5,508,2,984,50098,7,1,300,,"N5",,
2,5,508,2,718,50118,2,1,2500,,"N1",,2
2,5,508,2,718,50119,2,1,2000,,"N3",,2
2,5,510,1,872,50125,2,1,5400,,"N1",,2
2,5,510,1,872,50126,3,1,8200,,"N3",,2
2,5,510,1,872,50127,2,1,500,,"N2",,2
2,5,510,1,872,50127,3,1,450,,"N1",,2
2,5,518,2,1588,50134,2,1,1000,,"N1",,2
2,5,518,2,1588,50137,2,1,3000,,"N1",,2
2,5,518,2,1588,50137,3,1,2000,,"N2",,2
2,5,518,2,1588,50137,6,1,500,,"N3",,
2,5,518,2,1588,50138,3,1,,,"N1",,2
2,5,518,2,1588,50138,7,1,1000,,"N4",,
2,5,510,2,1516,50142,2,1,15000,,"N2",,2
2,5,510,2,1516,50142,6,1,1500,,"N3",,2
2,5,510,2,1516,50143,2,1,5000,,"N5",,2
2,5,510,2,1516,50145,2,1,1000,,"N4",,2
2,5,510,2,1516,50145,3,1,3500,,"N4",,2
2,5,510,2,1516,50146,2,1,5300,,"N5",,2
2,5,510,2,1516,50147,2,1,800,,"N5",,2
2,5,510,2,1516,50149,2,1,22000,,"N2",,2
2,5,510,2,1516,50149,6,1,3000,,"N3",,2
2,5,510,2,1516,50150,2,1,14000,,"N2",,2
2,5,510,2,1516,50150,6,1,1000,,"N4",,2
2,5,518,2,1304,50153,2,1,11000,,"N1",,2
2,5,518,2,1304,50153,3,1,1200,,"N2",,2
2,5,518,2,1304,50153,6,1,600,,"N3",,2
2,5,518,2,1304,50154,2,1,600,,"N1",,2
2,5,518,2,1304,50155,2,1,4000,,"N1",,2
2,5,518,2,1304,50155,3,1,1000,,"N2",,2
2,5,518,2,1304,50156,7,1,500,,"N5",,2
2,5,518,2,1304,50157,7,1,1000,,"N6",,
2,5,518,2,1304,50159,2,1,10000,,"N3",,2
2,5,518,2,1304,50159,3,1,400,,"N4",,2
2,5,518,2,1304,50159,6,1,750,,"N5",,2
2,5,520,2,1756,50161,2,1,4500,,"N3",,2
2,5,520,2,1756,50163,2,1,7500,,"N1",,2
2,5,520,2,1756,50166,2,1,1300,,"N4",,2
2,5,520,2,1756,50167,2,1,40000,,"N2",,2
2,5,520,2,1756,50167,3,1,300,,"N1",,2
2,5,520,2,1756,50169,2,1,900,,"N3",,
2,5,520,2,1756,50170,2,1,650,,"N2",,
5,6,601,2,640,60048,5,1,4000,1800,"N3",,2
1,7,713,2,304,70156,5,1,4000,,"N2",,2
2,8,821,1,5062,80025,2,1,10000,,"N1",,2
2,8,821,1,5062,80026,2,1,3000,2000,"N2","N1",2
2,8,821,1,5062,80026,6,1,100,,"N2",,2
2,8,821,1,5062,80026,8,1,100,,,,
2,8,816,2,1270,80033,9,1,300,500,"N1",,
2,8,816,2,1270,80035,2,1,1000,1000,"N1",,
2,8,816,2,1270,80035,4,1,200,,,,
2,8,816,2,1270,80037,1,1,1600,4500,"N3",,2
