"zone","state","lga","sector","ea","hhid","byprod_cd","sa8q1a","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6"
4,1,104,2,1364,10019,8,1,4,4,3,2,,,
4,1,106,2,880,10026,2,1,1,10,4,2,,,
4,1,106,2,880,10029,2,1,1,20,3,2,,,
4,1,106,2,880,10030,2,1,2,2,3,2,,,
4,1,117,2,560,10078,8,1,3,3,3,2,,,
4,1,105,2,638,10091,8,1,4,2,3,2,,,
4,1,105,2,638,10092,8,1,2,20,1,2,,,
4,1,105,2,638,10100,8,1,1,1,3,2,,,
2,2,209,2,1040,20002,2,1,4,8,4,2,,,
2,2,209,2,1040,20006,1,1,5,160,1,1,100,1,15000
2,2,209,2,1040,20006,2,1,2,6,5,1,4,5,2400
2,2,209,2,1040,20010,2,1,2,4,5,2,,,
2,2,201,2,60,20022,1,1,3,900,1,2,,,
2,2,201,2,60,20024,2,1,1,3,5,1,2,5,1800
2,2,201,2,60,20026,2,1,3,3,5,2,,,
5,3,318,2,1136,30090,5,1,2,10,3,2,,,
5,3,318,2,1136,30090,7,1,3,1000,1,1,500,1,25000
5,3,301,1,1198,30104,5,1,2,20,1,1,10,3,3000
5,3,326,2,74,30111,2,1,2,30,4,2,,,
5,3,305,2,1542,30124,2,1,1,4,4,2,,,
5,3,305,2,4,30145,5,1,2,6,3,2,,,
4,4,401,2,2106,40197,2,1,,30,5,1,28,5,21000
2,5,515,2,18,50026,2,1,4,3,5,2,,,
2,5,515,2,18,50028,2,1,1,5,,2,,,
2,5,515,2,18,50029,2,1,2,30,4,2,,,
2,5,515,2,18,50030,2,1,3,2,5,2,,,
2,5,504,2,708,50041,2,1,4,3,5,2,,,
2,5,504,2,708,50046,2,1,2,20,4,2,,,
2,5,513,2,348,50051,1,1,5,5,1,2,,,
2,5,513,2,348,50054,1,1,6,7,1,2,,,
2,5,513,2,348,50059,1,1,3,4,1,2,,,
2,5,513,2,348,50060,1,1,5,8,1,2,,,
2,5,514,2,710,50066,2,1,1,14,4,2,,,
2,5,516,2,942,50088,1,1,,300,1,1,250,1,10000
2,5,516,2,942,50088,2,1,5,4,5,1,1,5,300
2,5,508,2,984,50092,1,1,3,250,1,2,,,
2,5,510,1,872,50126,2,1,6,7,5,2,,,
2,5,510,2,1516,50145,2,1,6,10,5,2,,,
2,5,510,2,1516,50147,2,1,5,3,5,2,,,
2,5,520,2,1756,50169,2,1,3,25,4,2,,,
5,6,601,2,640,60048,2,1,6,24,5,1,22,5,36000
1,7,722,2,234,70037,2,1,1,2,1,2,,,
2,8,802,2,1152,80074,2,1,2,3,5,2,,,
2,8,812,2,866,80084,2,1,3,3,5,2,,,
2,8,827,2,804,80105,2,1,6,2,5,2,,,
5,10,1014,2,80,100002,2,1,2,1,3,2,,,
5,10,1014,2,80,100003,2,1,2,17,3,2,,,
5,10,1014,2,80,100007,2,1,1,4,4,1,4,4,200
5,10,1008,2,1718,100043,2,1,1,,3,2,,,
5,10,1018,2,898,100101,2,1,4,400,2,2,,,
5,10,1018,2,898,100104,2,1,2,1500,2,2,,,
4,11,1112,2,1952,110012,2,1,2,16,4,2,,,
4,11,1112,2,1952,110013,2,1,2,10,4,2,,,
4,11,1112,2,1952,110014,2,1,2,14,4,2,,,
4,11,1112,2,1952,110015,2,1,2,16,4,2,,,
4,11,1112,2,1952,110016,2,1,,15,4,2,,,
4,11,1112,2,1952,110017,2,1,2,10,4,1,3,4,90
4,11,1112,2,1952,110018,2,1,2,26,4,2,,,
4,11,1112,2,1952,110020,2,1,2,6,4,2,,,
4,11,1112,2,78,110021,2,1,2,7,4,2,,,
4,11,1112,2,78,110022,2,1,2,12,4,2,,,
4,11,1112,2,78,110023,2,1,2,20,4,2,,,
4,11,1112,2,78,110024,2,1,2,31,4,2,,,
4,11,1112,2,78,110025,2,1,2,8,4,1,2,4,60
4,11,1112,2,78,110026,2,1,,4,,2,,,
4,11,1112,2,78,110027,2,1,,4,,2,,,
4,11,1112,2,78,110028,2,1,2,10,4,2,,,
4,11,1112,2,78,110029,2,1,,4,,2,,,
4,11,1112,2,78,110030,2,1,,4,,2,,,
4,11,1110,2,714,110031,2,1,2,14,4,2,,,
4,11,1110,2,714,110032,2,1,2,16,4,2,,,
4,11,1110,2,714,110033,2,1,2,15,4,2,,,
4,11,1110,2,714,110034,2,1,2,12,4,2,,,
4,11,1110,2,714,110035,2,1,2,10,4,2,,,
4,11,1110,2,714,110036,2,1,2,8,4,2,,,
4,11,1110,2,714,110037,2,1,2,15,4,2,,,
4,11,1110,2,714,110039,2,1,2,7,4,2,,,
4,11,1110,2,2752,110041,2,1,2,12,4,2,,,
4,11,1110,2,2752,110043,2,1,2,16,4,2,,,
4,11,1110,2,2752,110045,2,1,2,14,4,2,,,
4,11,1110,2,2752,110047,2,1,2,9,4,2,,,
4,11,1110,2,2752,110049,2,1,2,32,4,2,,,
4,11,1110,2,2752,110050,2,1,3,34,4,2,,,
4,11,1108,2,492,110059,2,1,2,540,4,1,450,4,448000
4,11,1105,2,100,110061,2,1,2,10,4,2,,,
4,11,1105,2,100,110062,2,1,2,10,4,2,,,
4,11,1105,2,100,110064,2,1,2,12,4,2,,,
4,11,1105,2,100,110066,2,1,2,30,4,2,,,
4,11,1105,2,100,110067,2,1,2,15,4,2,,,
4,11,1105,2,100,110068,2,1,2,9,4,2,,,
4,11,1106,2,446,110072,2,1,2,10,4,2,,,
4,11,1106,2,446,110073,2,1,2,10,4,2,,,
4,11,1106,2,446,110074,2,1,2,10,4,2,,,
