"zone","state","lga","sector","ea","hhid","sa9a1q1","trackingobs"
2,2,216,2,200,20031,1,0
2,2,216,2,200,20032,1,0
2,2,216,2,200,20033,2,0
2,2,216,2,200,20034,2,0
2,2,216,2,200,20035,2,0
2,2,216,2,200,20036,2,0
2,2,216,2,200,20037,2,0
2,2,216,2,200,20038,2,0
2,2,216,2,200,20040,2,0
5,3,316,2,874,30026,2,0
5,3,323,2,580,30078,2,0
5,3,323,2,580,30080,1,0
2,5,506,2,830,50001,2,0
2,5,506,2,830,50002,2,0
2,5,506,2,830,50003,2,0
2,5,506,2,830,50004,2,0
2,5,506,2,830,50005,2,0
2,5,506,2,830,50006,2,0
2,5,506,2,830,50007,2,0
2,5,506,2,830,50008,2,0
2,5,506,2,830,50009,2,0
2,5,506,2,830,50010,2,0
2,5,502,2,3878,50036,1,0
2,5,514,2,710,50062,1,0
2,5,514,2,710,50063,1,0
2,5,514,2,710,50067,1,0
2,5,514,2,710,50068,1,0
2,5,514,2,710,50070,1,0
2,5,501,2,60,50071,2,1
5,6,602,2,1356,60007,1,0
5,6,608,1,3978,60022,1,0
5,6,608,1,3978,60026,1,0
1,7,701,2,606,70101,2,0
1,7,701,2,606,70102,2,0
1,7,701,2,606,70103,2,0
1,7,701,2,606,70104,2,0
1,7,701,2,606,70105,2,0
1,7,701,2,606,70106,2,0
1,7,701,2,606,70107,2,0
1,7,701,2,606,70108,2,0
1,7,701,2,606,70109,2,0
1,7,701,2,606,70110,2,0
2,8,802,2,1152,80074,1,0
2,8,826,2,926,80191,2,0
5,10,1012,2,936,100069,2,1
5,10,1018,2,898,100106,2,1
5,10,1020,1,38,100128,2,1
5,12,1216,2,618,120052,2,0
6,13,1310,1,1300,130003,2,1
6,13,1314,1,6,130019,2,1
6,13,1307,1,268,130023,2,1
6,13,1301,1,1206,130080,2,1
4,14,1407,2,68,140016,2,0
2,15,1508,2,1682,150012,1,0
4,16,1624,1,136,160032,2,0
3,17,1722,2,96,170043,1,0
3,17,1722,2,96,170047,1,0
3,17,1722,2,96,170048,1,0
3,17,1722,2,96,170049,1,0
3,18,1809,1,1272,180016,2,1
3,18,1811,2,364,180082,2,1
3,18,1814,2,678,180118,2,1
3,18,1814,2,678,180119,2,1
3,18,1814,2,678,180120,2,1
3,19,1916,2,1516,190034,1,0
3,20,2032,2,1772,200067,2,0
3,21,2117,2,554,210063,1,0
3,21,2117,2,554,210064,1,0
3,21,2117,2,554,210065,1,0
3,21,2117,2,554,210068,1,0
1,23,2308,1,5180,230010,2,1
1,23,2315,2,924,230057,2,1
1,23,2309,2,998,230069,2,1
1,23,2304,2,322,230073,2,1
1,23,2304,2,322,230079,2,1
1,23,2316,1,140,230101,1,0
1,23,2303,2,2348,230115,2,1
6,24,2415,1,696,240006,2,1
6,24,2403,1,1588,240019,2,1
6,24,2403,1,674,240036,2,1
6,24,2401,1,766,240043,2,1
6,24,2418,1,1770,240073,1,1
6,24,2419,1,330,240090,2,1
6,24,2412,1,2798,240095,2,1
6,24,2405,1,134,240118,2,1
6,24,2417,1,1108,240140,2,1
6,24,2411,1,788,240153,2,1
6,24,2407,2,396,240163,1,0
1,25,2504,2,222,250017,1,0
1,25,2504,2,222,250018,1,0
1,26,2606,1,516,260008,2,0
6,27,2701,1,506,270007,2,1
6,27,2701,1,506,270010,2,1
6,27,2704,2,204,270014,2,1
6,27,2709,1,1646,270036,2,1
6,27,2707,1,1410,270073,2,1
6,27,2703,1,1076,270098,2,1
6,28,2806,1,802,280002,2,1
6,28,2811,2,588,280052,2,1
6,28,2815,2,1164,280064,2,1
6,28,2815,2,1164,280067,2,1
6,28,2815,2,1164,280069,2,1
6,28,2816,2,3944,280073,2,1
6,28,2814,1,1876,280082,2,1
6,28,2814,1,1876,280089,2,1
6,28,2810,2,2394,280091,1,0
6,28,2810,2,2394,280096,1,0
6,28,2810,2,2394,280097,1,0
6,28,2810,2,2394,280100,1,0
6,28,2810,1,3722,280102,1,0
6,28,2810,1,3722,280103,1,0
6,28,2810,1,3722,280108,1,0
6,28,2810,1,3722,280109,1,0
6,28,2807,2,1266,280122,1,0
6,28,2807,2,1266,280123,1,0
6,28,2807,2,1266,280124,1,0
6,28,2807,2,1266,280125,1,0
6,28,2807,2,1266,280126,1,0
6,28,2807,2,1266,280128,1,0
6,28,2807,2,1266,280129,1,0
6,28,2807,2,1266,280130,1,0
6,29,2930,1,1418,290021,2,0
6,29,2930,1,1418,290023,2,0
6,29,2930,1,1300,290039,2,0
6,29,2909,2,220,290042,2,0
6,29,2909,2,220,290043,2,0
6,29,2909,2,220,290046,2,0
6,29,2909,2,220,290047,2,0
6,29,2909,2,220,290050,2,0
6,29,2905,1,384,290065,2,0
6,29,2905,1,384,290066,2,0
6,29,2905,1,384,290067,2,0
6,29,2905,1,1096,290071,2,0
6,29,2923,2,1126,290111,2,0
6,29,2923,2,1126,290113,2,0
6,29,2923,2,1126,290118,2,0
6,29,2923,2,1126,290120,2,0
6,29,2923,1,396,290126,2,0
6,29,2920,2,1628,290174,2,1
6,29,2920,2,1628,290180,1,0
6,30,3007,1,1624,300020,2,1
6,30,3005,1,2870,300086,2,1
6,30,3009,1,1642,300115,2,1
6,30,3020,1,322,300123,2,1
6,30,3002,1,1310,300133,2,1
6,30,3002,1,1310,300134,2,1
6,30,3016,1,390,300163,2,1
5,32,3215,1,1896,320065,2,1
5,32,3206,2,276,320078,2,1
5,32,3204,1,346,320099,2,1
5,32,3204,1,346,320100,2,1
5,32,3204,1,346,320101,2,1
5,32,3204,1,346,320102,2,1
5,32,3201,2,2034,320104,1,0
5,32,3203,2,2644,320124,1,0
5,32,3203,2,2644,320126,1,0
5,32,3210,2,1692,320177,1,0
5,32,3207,2,1464,320198,2,1
5,32,3207,2,1464,320199,2,1
5,32,3207,2,1464,320203,2,1
5,32,3207,2,1464,320204,2,1
3,33,3323,2,92,330031,1,0
3,33,3323,2,92,330035,1,0
3,33,3323,2,92,330039,1,0
2,34,3405,2,1706,340026,1,0
1,37,3706,2,6,370035,1,0
