"zone","state","lga","sector","ea","hhid","fish_cd","sa9a2q2","sa9a2q2b","sa9a2q3","sa9a2q4a1","sa9a2q4a2","sa9a2q4b1","sa9a2q4b2","sa9a2q5a","sa9a2q5b","sa9a2q6","sa9a2q7a","sa9a2q7b","sa9a2q8","sa9a2q9","sa9a2q10a1","sa9a2q10a2","sa9a2q10b1","sa9a2q10b2","sa9a2q11","sa9a2q12a1","sa9a2q12a2","sa9a2q12a3","sa9a2q12a4","sa9a2q12b1","sa9a2q12b2","sa9a2q12b3","sa9a2q12b4","sa9a2q13a","sa9a2q13b","sa9a2q14","sa9a2q15a","sa9a2q15b","sa9a2q16","sa9a2q17","sa9a2q18a1","sa9a2q18a2","sa9a2q18a3","sa9a2q18a4","sa9a2q18b1","sa9a2q18b2","sa9a2q18b3","sa9a2q18b4","trackingobs"
2,2,216,2,200,20031,1,1,,24,3,2,,,2,,17000,,,24,1,2,,24,2,2,3,,,,1,2,2,,2,2,17000,2,2,17000,20,1,2,3,,1,2,2,,0
2,2,216,2,200,20031,2,1,,24,3,2,,,2,,10000,,,24,1,2,,24,2,2,3,,,,1,2,2,,2,2,10000,2,2,10000,20,1,2,3,,1,2,2,,0
2,2,216,2,200,20032,2,1,,20,2,3,,,3,,3000,,,10,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,3,323,2,580,30080,4,1,,14,25,4,,,25,4,33000,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,0
4,4,419,2,296,40089,1,1,,40,10,3,,,8,2,12000,,,,20,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,502,2,3878,50036,1,1,,,1,3,,,100,1,100,400,,,,3,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,3,1,,12,7,1,,,6,1,500,,,,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,3,1,,24,10,2,,,9,2,700,9,2,700,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,3,1,,24,10,2,,,9,2,700,,,,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50068,3,1,,24,5,2,,,4,2,700,,,,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,3,1,,24,15,2,,,14,2,500,,,,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,602,2,1356,60007,5,1,,6,,1,,,,1,6000,,,,20,,1,,,15,1,3,3,,,,,,1,3,5000,,,,15,2,1,3,,3,1,1,,0
5,6,602,2,1356,60010,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,6,608,1,3978,60022,1,1,,16,2,3,,,1,2,15000,,,,10,1,2,,,2,1,2,3,,,,,,1,3,15000,,,,,1,2,1,,1,2,3,,0
5,6,608,1,3978,60026,3,1,,14,,,,2,,,,2,3,10000,1,,,1,3,14,1,3,3,,,,,,2,2,3000,,,,14,1,2,3,,,,,,0
2,8,802,2,1152,80074,1,1,,,18,,,,4,2,300,2,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0
2,15,1508,2,1682,150012,1,1,,20,4,4,,,2,4,7000,1,4,7000,20,1,4,,,10,1,4,3,,,,,,2,4,7000,,,,10,1,2,3,,,,,,0
3,17,1722,2,96,170043,2,1,,52,200,1,,,200,1,3000,,,,30,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,17,1722,2,96,170047,2,1,,7,50,1,,,5,1,1000,,,,7,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,17,1722,2,96,170048,3,1,,18,1,2,,,1,2,1500,25,2,7500,5,10,2,10,2,1,10,2,1,,,,,,35,2,1500,35,2,10500,2,10,2,1,,,,,,0
3,17,1722,2,96,170049,3,1,,18,5,2,,,5,2,1500,25,2,7500,5,10,2,10,2,2,10,2,1,,,,,,35,2,1500,35,2,10500,2,10,2,1,,,,,,0
3,19,1916,2,1516,190034,1,1,,1,1000,,,,3,3,,,,3,,20,,,,5,400,,,,,,,,57,1,,,,15000,20,,,,,,,,,0
3,21,2117,2,554,210063,1,1,,8,,,,,3,3,36000,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,21,2117,2,554,210064,2,1,,3,10,3,,,8,3,50000,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,21,2117,2,554,210065,3,1,,2,40,3,,,30,3,4500,,,1500,2,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,21,2117,2,554,210067,2,1,,4,2,3,,,2,3,9000,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,21,2117,2,554,210068,2,1,,4,5,3,,,4,3,6000,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,21,2117,2,554,210070,2,1,,3,21,3,,,20,3,1000,,,,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,23,2316,1,140,230101,2,1,,,1,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,24,2418,1,1770,240073,,1,,8,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,24,2407,2,396,240163,1,1,,28,10,3,25,3,10,3,400,25,4,12000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,25,2504,2,222,250017,1,1,,,1,3,10,1,10,1,2000,,,3000,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,0
1,25,2504,2,222,250018,1,1,,,1,1,10,2,10,2,2000,,,3000,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,0
6,28,2810,2,2394,280091,5,1,,14,7,3,,,6,3,6500,,,,24,1,3,,,10,6,3,3,,,,,,6,3,6800,,,,,2,1,3,,,,,,0
6,28,2810,2,2394,280096,3,1,,10,12,3,,,9,3,6000,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2810,2,2394,280097,3,1,,10,16,3,,,12,3,6000,,,,8,2,3,,,8,2,3,3,,,,,,2,3,3,,,,,,,,,,,,,0
6,28,2810,2,2394,280100,3,1,,10,12,3,,,10,3,6000,,,,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2810,1,3722,280102,5,1,,5,2,3,,,2,3,6500,,,,,5,,,1,10,5,2,3,,3,2,3,,2,3,6500,,,,5,3,1,3,,,,,,0
6,28,2810,1,3722,280103,5,1,,24,5,3,,,5,3,6500,,,,24,5,1,,,24,5,3,3,,,,,,5,3,6500,,,,24,2,1,3,,,,,,0
6,28,2810,1,3722,280108,5,1,,20,4,3,,,4,3,6500,,,,20,15,1,,,20,4,3,3,,,,,,2,3,6500,,,,20,2,1,1,,,,,,0
6,28,2810,1,3722,280109,3,1,,16,15,3,,,12,3,15000,,,,13,3,3,,,7,,,,,,,,,0,,0,,,,,,,,,,,,,0
6,28,2807,2,1266,280121,2,1,,15,20,3,,,15,3,3000,,,,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2807,2,1266,280122,2,1,,10,12,3,,,8,3,3200,,,,8,1,2,,,8,3,4,3,,,,,,4,3,3200,,,,,,,,,,,,,0
6,28,2807,2,1266,280123,2,1,,14,12,3,,,8,3,3000,,,,10,1,2,,,10,35,3,3,,,,,,2,2,1620,,,,,6,1,,,,,,,0
6,28,2807,2,1266,280124,2,1,,12,10,3,,,9,3,3000,,,,11,1,3,,,5,9,3,3,,,,,,2,3,3000,,,,,2,1,3,,,,,,0
6,28,2807,2,1266,280125,2,1,,14,13,3,,,8,3,3000,,,,8,1,2,,,8,5,3,3,,,,,,4,3,3200,,,,,1,2,3,,,,,,0
6,28,2807,2,1266,280126,2,1,,3,5,3,,,3,3,3000,,,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2807,2,1266,280128,3,1,,8,40,2,,,25,2,2500,,,,8,15,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2807,2,1266,280129,2,1,,3,2,3,,,7,3,3000,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,28,2807,2,1266,280130,2,1,,10,18,3,,,13,3,3000,,,,10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,29,2920,2,1628,290180,2,1,,1,12,,,,5,3,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,0
5,32,3201,2,2034,320104,2,1,,,24,,,,75,1,20000,20000,,,,24,,,,,,,,,,,,,0,,0,,,,0,,,,,,,,,0
5,32,3203,2,2644,320124,2,1,,1,24,,,,75,1,,,,,,24,,,,35,,,,,,,,,,,,,,,,,,,,,,,,0
5,32,3203,2,2644,320126,3,1,,3,48,1,,,75,1,,1000,,,,24,,,,35,,,,,,,,,,,,,,,,,,,,,,,,0
3,33,3323,2,92,330031,2,1,,1,24,,,,1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
3,33,3323,2,92,330035,2,1,,3,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
3,33,3323,2,92,330036,2,1,,1,12,1,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
3,33,3323,2,92,330039,2,1,,24,,,,,1,3,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,0
2,34,3405,2,1706,340026,3,1,,30,130,4,,,,,9000,9000,4,120,5,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,34,3405,2,1706,340027,2,1,,10,140,4,,,,,,4,1,15000,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,37,3706,2,6,370035,2,1,,,5,3,2,,,,,2,,1200,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0
