"zone","state","lga","sector","ea","hhid","boat_cd","sa9b1q3","sa9b1q4","sa9b1q5","sa9b1q6","sa9b1q7","sa9b1q8"
2,2,216,2,200,20031,1,2,10000,0,,0,3500
5,3,323,2,580,30080,1,1,100000,0,,0,10000
5,6,602,2,1356,60007,1,1,6000,0,,,
3,17,1722,2,96,170048,1,2,200,0,,0,2000
3,17,1722,2,96,170049,1,3,200,0,,0,2000
1,23,2316,1,140,230101,4,2,900,,,,
6,28,2810,2,2394,280091,2,1,550000,0,,14000,3500
6,28,2810,2,2394,280096,2,1,480000,0,,5000,4000
6,28,2810,2,2394,280097,3,2,1200000,0,,25000,10000
6,28,2810,2,2394,280098,3,1,520000,0,,10000,5000
6,28,2810,2,2394,280100,2,1,300000,0,,7000,10000
6,28,2810,1,3722,280102,2,1,550000,0,,,15500
6,28,2810,1,3722,280103,2,1,550000,0,,,17000
6,28,2810,1,3722,280108,2,1,500000,0,,,18000
6,28,2810,1,3722,280109,2,1,650000,0,0,30000,15000
6,28,2807,2,1266,280121,1,3,35000,,0,0,0
6,28,2807,2,1266,280122,1,2,18000,0,,,0
6,28,2807,2,1266,280123,1,3,32000,0,0,,0
6,28,2807,2,1266,280124,1,2,25000,0,0,,1500
6,28,2807,2,1266,280125,1,2,20000,0,,0,2000
6,28,2807,2,1266,280126,1,1,9000,,0,0,3000
6,28,2807,2,1266,280127,6,2,19000,,0,0,3000
6,28,2807,2,1266,280128,1,3,32000,,0,0,4000
6,28,2807,2,1266,280129,1,1,8000,,0,0,2000
6,28,2807,2,1266,280130,1,2,18000,,0,0,2500
2,34,3405,2,1706,340026,4,2,7000,0,,,
2,34,3405,2,1706,340026,5,3,4000,0,,,
