"zone","state","lga","sector","ea","pid","sc1q2","sc1q3","sc1q5","sc1q6"
4,1,102,1,536,1,1,47,47,26
4,1,102,1,536,2,2,40,20,42
4,1,102,1,536,3,1,70,20,42
4,1,102,1,536,4,1,60,60,16
4,1,102,1,536,5,1,38,38,26
4,1,102,1,1690,1,1,53,53,41
4,1,102,1,1690,2,1,52,52,42
4,1,102,1,1690,3,1,60,60,42
4,1,102,1,1690,4,2,49,49,16
4,1,102,1,1690,5,1,42,42,41
4,1,104,2,1364,1,1,108,55,12
4,1,104,2,1364,2,1,75,40,16
4,1,104,2,1364,3,1,71,25,26
4,1,104,2,1364,4,2,65,65,12
4,1,104,2,1364,5,1,35,10,16
4,1,105,2,638,1,1,81,81,24
4,1,105,2,638,2,1,72,72,42
4,1,105,2,638,3,2,40,30,42
4,1,105,2,638,4,1,75,45,16
4,1,105,2,638,5,1,70,70,16
4,1,106,2,880,1,1,50,50,16
4,1,106,2,880,2,1,50,50,26
4,1,106,2,880,3,2,53,40,16
4,1,106,2,880,4,1,64,64,16
4,1,106,2,880,5,1,47,42,26
4,1,107,2,1044,1,1,65,25,16
4,1,107,2,1044,2,1,72,72,42
4,1,107,2,1044,3,1,30,30,26
4,1,107,2,1044,4,2,30,30,26
4,1,107,2,1044,5,1,36,36,16
4,1,108,2,904,1,1,77,17,26
4,1,108,2,904,2,1,80,20,16
4,1,108,2,904,3,1,35,20,16
4,1,108,2,904,4,2,60,15,0
4,1,108,2,904,5,1,60,15,26
4,1,110,2,76,1,1,95,54,0
4,1,110,2,76,2,1,70,40,13
4,1,110,2,76,3,2,83,83,0
4,1,110,2,76,4,1,50,25,26
4,1,110,2,76,5,1,38,30,31
4,1,111,1,1146,1,1,75,75,16
4,1,111,1,1146,2,2,40,40,26
4,1,111,1,1146,3,1,50,50,16
4,1,111,1,1146,4,1,45,45,16
4,1,111,1,1146,5,1,60,60,16
4,1,115,1,670,1,1,61,8,43
4,1,115,1,670,2,1,52,8,42
4,1,115,1,670,3,2,49,6,43
4,1,115,1,670,4,1,52,6,43
4,1,115,1,670,5,1,52,11,42
4,1,117,2,560,1,1,68,68,16
4,1,117,2,560,2,1,45,45,16
4,1,117,2,560,3,2,42,42,16
4,1,117,2,560,4,1,53,53,16
4,1,117,2,560,5,1,46,46,16
2,2,201,2,60,1,1,66,66,0
2,2,201,2,60,2,1,63,63,13
2,2,201,2,60,3,2,36,36,0
2,2,201,2,60,4,1,55,55,0
2,2,201,2,60,5,1,62,62,34
2,2,201,2,60,6,1,35,35,43
2,2,201,2,60,7,1,65,65,0
2,2,201,2,60,8,1,45,45,34
2,2,201,2,60,9,1,70,70,34
2,2,203,2,1224,1,1,72,30,52
2,2,203,2,1224,2,1,70,30,0
2,2,203,2,1224,3,1,30,30,26
2,2,203,2,1224,4,1,30,30,51
2,2,203,2,1224,5,2,45,30,0
2,2,203,2,1224,6,2,45,30,0
2,2,203,2,1224,7,1,70,40,0
2,2,203,2,1224,8,1,50,30,0
2,2,203,2,1224,9,1,58,30,51
2,2,205,2,712,1,1,41,41,26
2,2,205,2,712,2,1,59,59,16
2,2,205,2,712,3,1,78,40,42
2,2,205,2,712,4,1,62,1,26
2,2,205,2,712,5,1,48,18,26
2,2,205,2,712,6,2,42,25,16
2,2,205,2,712,7,2,46,40,16
2,2,205,2,712,8,2,30,30,16
2,2,205,2,712,9,1,82,30,26
2,2,207,2,1302,1,1,71,71,0
2,2,207,2,1302,2,1,53,36,26
2,2,207,2,1302,3,1,56,56,0
2,2,207,2,1302,4,1,48,29,26
2,2,207,2,1302,5,1,42,31,26
2,2,207,2,1302,6,1,39,21,26
2,2,207,2,1302,7,2,41,19,26
2,2,207,2,1302,8,1,37,37,0
2,2,207,2,1302,9,1,38,38,34
