"zone","state","lga","sector","ea","group_cd","groupspecify","sc3q1","sc3q2","sc3q3a","sc3q3b","sc3q4","sc3q5","sc3q6"
4,1,102,1,536,301,,2,,,,,,
4,1,102,1,536,302,,2,,,,,,
4,1,102,1,536,303,,2,,,,,,
4,1,102,1,536,304,,2,,,,,,
4,1,102,1,536,305,,1,10,1,,50,50,23
4,1,102,1,536,306,,1,10,1,,65,0,
4,1,102,1,536,307,,1,6,1,,47,20,10
4,1,102,1,536,308,,1,10,2,,35,15,7
4,1,102,1,536,310,,2,,,,,,
4,1,102,1,536,311,,1,12,2,,65,20,8
4,1,102,1,536,312,,2,,,,,,
4,1,102,1,536,313,,1,10,6,"DAILY",15,0,5
4,1,102,1,536,314,,2,,,,,,
4,1,102,1,536,315,,2,,,,,,
4,1,102,1,1690,301,,1,1,2,,7,2,0
4,1,102,1,1690,302,,2,,,,,,
4,1,102,1,1690,303,,2,,,,,,
4,1,102,1,1690,304,,2,,,,,,
4,1,102,1,1690,305,,1,5,2,,150,150,50
4,1,102,1,1690,306,,1,5,2,,100,40,55
4,1,102,1,1690,307,,1,4,2,,55,15,10
4,1,102,1,1690,308,,1,1,2,,150,100,25
4,1,102,1,1690,309,,1,1,2,,10,3,0
4,1,102,1,1690,310,,2,,,,,,
4,1,102,1,1690,311,,1,7,2,,100,35,12
4,1,102,1,1690,312,,2,,,,,,
4,1,102,1,1690,313,,2,,,,,,
4,1,102,1,1690,314,,2,,,,,,
4,1,102,1,1690,315,,2,,,,,,
4,1,104,2,1364,301,,1,1,6,"OCCASSIONALLY",8,0,0
4,1,104,2,1364,302,,2,,,,,,
4,1,104,2,1364,303,,2,,,,,,
4,1,104,2,1364,304,,2,,,,,,
4,1,104,2,1364,305,,1,1,1,,110,110,0
4,1,104,2,1364,306,,1,1,6,"ANY TIME",120,0,65
4,1,104,2,1364,307,,1,4,1,,155,80,25
4,1,104,2,1364,308,,1,1,5,,48,0,0
4,1,104,2,1364,309,,2,,,,,,
4,1,104,2,1364,310,,2,,,,,,
4,1,104,2,1364,311,,2,,,,,,
4,1,104,2,1364,312,,2,,,,,,
4,1,104,2,1364,313,,1,1,6,"DAILY",48,0,0
4,1,104,2,1364,314,,2,,,,,,
4,1,104,2,1364,315,,2,,,,,,
4,1,105,2,638,301,,1,4,2,,8,3,0
4,1,105,2,638,302,,1,1,2,,15,15,6
4,1,105,2,638,303,,2,,,,,,
4,1,105,2,638,304,,2,,,,,,
4,1,105,2,638,305,,1,4,2,,35,35,16
4,1,105,2,638,306,,1,4,2,,25,7,25
4,1,105,2,638,307,,1,4,1,,510,250,75
