"zone","state","lga","sector","ea","resource_cd","resourcespec","sc4q1","sc4q2","sc4q3","sc4q4a","sc4q4b","sc4q4c","sc4q4d","sc4q5a","sc4q5b","sc4q5c","sc4q5d"
4,1,102,1,536,401,,2,,,,,,,,,,
4,1,102,1,536,402,,2,,,,,,,,,,
4,1,102,1,536,403,,2,,,,,,,,,,
4,1,102,1,536,404,,2,,,,,,,,,,
4,1,102,1,536,405,,2,,,,,,,,,,
4,1,102,1,1690,401,,2,,,,,,,,,,
4,1,102,1,1690,402,,2,,,,,,,,,,
4,1,102,1,1690,403,,2,,,,,,,,,,
4,1,102,1,1690,404,,2,,,,,,,,,,
4,1,102,1,1690,405,,2,,,,,,,,,,
4,1,104,2,1364,401,,1,1,1,4,,,,1,2,,
4,1,104,2,1364,402,,1,1,1,4,,,,1,2,,
4,1,104,2,1364,403,,2,,,,,,,,,,
4,1,104,2,1364,404,,2,,,,,,,,,,
4,1,104,2,1364,405,,2,,,,,,,,,,
4,1,105,2,638,401,,1,1,1,1,,,,1,,,
4,1,105,2,638,402,,1,1,1,1,,,,1,,,
4,1,105,2,638,403,,2,,,,,,,,,,
4,1,105,2,638,404,,2,,,,,,,,,,
4,1,105,2,638,405,,2,,,,,,,,,,
4,1,106,2,880,401,,2,,,,,,,,,,
4,1,106,2,880,402,,2,,,,,,,,,,
4,1,106,2,880,403,,2,,,,,,,,,,
4,1,106,2,880,404,,2,,,,,,,,,,
4,1,106,2,880,405,,2,,,,,,,,,,
4,1,107,2,1044,401,,2,,,,,,,,,,
4,1,107,2,1044,402,,2,,,,,,,,,,
4,1,107,2,1044,403,,2,,,,,,,,,,
4,1,107,2,1044,404,,2,,,,,,,,,,
4,1,107,2,1044,405,,2,,,,,,,,,,
4,1,108,2,904,401,,1,1,1,1,5,,,1,3,2,
4,1,108,2,904,402,,1,1,1,1,5,,,1,3,2,
4,1,108,2,904,403,,2,,,,,,,,,,
4,1,108,2,904,404,,2,,,,,,,,,,
4,1,108,2,904,405,,2,,,,,,,,,,
4,1,110,2,76,401,,2,,,,,,,,,,
4,1,110,2,76,402,,1,1,1,1,,,,1,2,3,
4,1,110,2,76,403,,2,,,,,,,,,,
4,1,110,2,76,404,,2,,,,,,,,,,
4,1,110,2,76,405,,2,,,,,,,,,,
4,1,111,1,1146,401,,2,,,,,,,,,,
4,1,111,1,1146,402,,2,,,,,,,,,,
4,1,111,1,1146,403,,2,,,,,,,,,,
4,1,111,1,1146,404,,2,,,,,,,,,,
4,1,111,1,1146,405,,2,,,,,,,,,,
4,1,115,1,670,401,,2,,,,,,,,,,
4,1,115,1,670,402,,2,,,,,,,,,,
4,1,115,1,670,403,,2,,,,,,,,,,
4,1,115,1,670,404,,2,,,,,,,,,,
4,1,115,1,670,405,,2,,,,,,,,,,
4,1,117,2,560,401,,1,1,1,4,,,,8,,,
4,1,117,2,560,402,,1,1,1,5,,,"DEATH",9,,,"DEATH"
4,1,117,2,560,403,,2,,,,,,,,,,
4,1,117,2,560,404,,2,,,,,,,,,,
4,1,117,2,560,405,,2,,,,,,,,,,
2,2,201,2,60,401,,2,,,,,,,,,,
2,2,201,2,60,402,,2,,,,,,,,,,
2,2,201,2,60,403,,2,,,,,,,,,,
2,2,201,2,60,404,,2,,,,,,,,,,
2,2,201,2,60,405,,2,,,,,,,,,,
2,2,203,2,1224,401,,2,,,,,,,,,,
2,2,203,2,1224,402,,2,,,,,,,,,,
2,2,203,2,1224,403,,2,,,,,,,,,,
2,2,203,2,1224,404,,1,1,1,4,,,,8,,,
