"zone","state","lga","sector","ea","amenities_cd","amenities_seq","sc5q1"
4,1,102,1,536,501,1,4
4,1,102,1,536,502,2,4
4,1,102,1,536,503,3,4
4,1,102,1,536,504,4,4
4,1,102,1,536,505,5,4
4,1,102,1,536,506,6,4
4,1,102,1,536,507,7,3
4,1,102,1,536,508,8,3
4,1,102,1,536,509,9,3
4,1,102,1,536,510,10,4
4,1,102,1,536,511,11,4
4,1,102,1,536,512,12,4
4,1,102,1,536,513,13,4
4,1,102,1,536,514,14,5
4,1,102,1,536,515,15,3
4,1,102,1,536,516,16,5
4,1,102,1,536,517,17,5
4,1,102,1,536,518,18,5
4,1,102,1,536,519,19,4
4,1,102,1,536,520,20,5
4,1,102,1,536,521,21,5
4,1,102,1,536,522,22,4
4,1,102,1,536,523,23,4
4,1,102,1,536,524,24,2
4,1,102,1,536,525,25,2
4,1,102,1,536,526,26,4
4,1,102,1,536,527,27,2
4,1,102,1,536,528,28,2
4,1,102,1,536,529,29,2
4,1,102,1,536,530,30,3
4,1,102,1,536,531,31,2
4,1,102,1,536,532,32,2
4,1,102,1,536,533,33,3
4,1,102,1,536,534,34,3
4,1,102,1,1690,501,1,4
4,1,102,1,1690,502,2,5
4,1,102,1,1690,503,3,5
4,1,102,1,1690,504,4,5
4,1,102,1,1690,505,5,4
4,1,102,1,1690,506,6,3
4,1,102,1,1690,507,7,2
4,1,102,1,1690,508,8,2
4,1,102,1,1690,509,9,6
4,1,102,1,1690,510,10,5
4,1,102,1,1690,511,11,5
4,1,102,1,1690,512,12,5
4,1,102,1,1690,513,13,5
4,1,102,1,1690,514,14,5
4,1,102,1,1690,515,15,4
4,1,102,1,1690,516,16,5
4,1,102,1,1690,517,17,5
4,1,102,1,1690,518,18,5
4,1,102,1,1690,519,19,5
4,1,102,1,1690,520,20,5
4,1,102,1,1690,521,21,5
4,1,102,1,1690,522,22,5
4,1,102,1,1690,523,23,5
4,1,102,1,1690,524,24,2
4,1,102,1,1690,525,25,2
4,1,102,1,1690,526,26,4
4,1,102,1,1690,527,27,3
4,1,102,1,1690,528,28,4
4,1,102,1,1690,529,29,3
4,1,102,1,1690,530,30,3
4,1,102,1,1690,531,31,6
4,1,102,1,1690,532,32,6
4,1,102,1,1690,533,33,2
4,1,102,1,1690,534,34,3
4,1,104,2,1364,501,1,4
4,1,104,2,1364,502,2,4
4,1,104,2,1364,503,3,4
4,1,104,2,1364,504,4,4
4,1,104,2,1364,505,5,3
4,1,104,2,1364,506,6,3
4,1,104,2,1364,507,7,2
4,1,104,2,1364,508,8,3
4,1,104,2,1364,509,9,3
4,1,104,2,1364,510,10,4
4,1,104,2,1364,511,11,4
4,1,104,2,1364,512,12,4
4,1,104,2,1364,513,13,4
4,1,104,2,1364,514,14,4
4,1,104,2,1364,515,15,5
4,1,104,2,1364,516,16,5
4,1,104,2,1364,517,17,4
4,1,104,2,1364,518,18,4
4,1,104,2,1364,519,19,3
4,1,104,2,1364,520,20,5
4,1,104,2,1364,521,21,3
4,1,104,2,1364,522,22,3
4,1,104,2,1364,523,23,3
4,1,104,2,1364,524,24,2
4,1,104,2,1364,525,25,2
4,1,104,2,1364,526,26,3
4,1,104,2,1364,527,27,4
4,1,104,2,1364,528,28,5
4,1,104,2,1364,529,29,4
4,1,104,2,1364,530,30,3
4,1,104,2,1364,531,31,3
4,1,104,2,1364,532,32,4
4,1,104,2,1364,533,33,3
4,1,104,2,1364,534,34,4
4,1,105,2,638,501,1,4
4,1,105,2,638,502,2,4
4,1,105,2,638,503,3,3
4,1,105,2,638,504,4,4
4,1,105,2,638,505,5,4
4,1,105,2,638,506,6,4
4,1,105,2,638,507,7,5
4,1,105,2,638,508,8,5
4,1,105,2,638,509,9,5
4,1,105,2,638,510,10,4
