"zone","state","lga","sector","ea","event_type","event_seq","event_cd","event_desc","sc6q2","sc6q3"
4,1,102,1,536,1,1,7,"MASSIVE JOB LOSS",2007,100
4,1,102,1,536,1,2,8,"LOSS OF KEY SOC SERV",2008,100
4,1,102,1,536,1,3,9,"POWER OUTAGE",2010,100
4,1,102,1,536,1,4,10,"VERY BAD ROAD",2009,100
4,1,102,1,536,2,1,12,"NEW EMPLYMT OPPORTUN",2010,10
4,1,102,1,536,2,2,19,"GUD TRADI. RULER",2009,100
4,1,102,1,1690,1,1,2,"FLOOD",2010,100
4,1,102,1,1690,1,2,8,"LOSS OK KEY SOC SERV",2009,100
4,1,102,1,1690,1,3,9,"POWER OUTAGE",2010,100
4,1,102,1,1690,1,4,10,"ARMED ROBBERY/KIDNAP",2010,100
4,1,102,1,1690,2,1,16,"IMPROVED TRANSP SERV",2010,100
4,1,104,2,1364,1,1,2,"FLOOD(SERIOUS EROSIO",2007,100
4,1,104,2,1364,1,2,7,"MASSIVE JOB LAY-OFF",2009,70
4,1,104,2,1364,1,3,8,"LOSS OF KEY SOC SERV",2009,100
4,1,104,2,1364,1,4,9,"POWER OUTAGE",2008,100
4,1,104,2,1364,2,1,19,"PEACE/SECURITY",2010,100
4,1,105,2,638,1,1,6,"SHARP CHANGES IN PRI",2010,100
4,1,105,2,638,1,2,8,"LOSS OF KEY SOC SERV",2008,100
4,1,105,2,638,1,3,9,"POWER OUTAGE",2010,100
4,1,105,2,638,1,4,10,"NO GOOD ROADS",2009,100
4,1,105,2,638,2,1,17,"ON-GRID ELECTRICITY",2009,
4,1,105,2,638,2,2,19,"GOOD SECURITY",2008,100
4,1,106,2,880,1,1,5,"HUMAN EPIDEMIC DIESE",2008,70
4,1,106,2,880,1,2,6,"SHARP CHANGES IN PRI",2010,100
4,1,106,2,880,1,3,7,"MASSIVE JOB LAY-OFF",2008,85
4,1,106,2,880,1,4,8,"LOSS OF KEY SOC SERV",2009,100
4,1,106,2,880,2,1,16,"IMPROVED TRANS SERVI",2009,70
4,1,106,2,880,2,2,17,"ON-GRID ELECTRICITY",2010,60
4,1,107,2,1044,1,1,5,"HUMAN EPIDEMIC DIESE",2009,100
4,1,107,2,1044,1,2,6,"SHARP CHANGE IN PRIC",2010,100
4,1,107,2,1044,1,3,8,"LOSS OF KEY SOC SERV",2009,100
4,1,107,2,1044,1,4,10,"ARMED ROBBERY/KIDNAP",2010,100
4,1,107,2,1044,2,1,17,"ON GRID ELECTRICITY",2010,50
4,1,107,2,1044,2,2,19,"RELATIVE PEACE IN CO",2010,100
4,1,108,2,904,1,1,6,"SHARP CHANGES IN PRI",2010,100
4,1,108,2,904,1,2,7,"MASSIVE JOB LAY-OFF",2009,60
4,1,108,2,904,1,3,8,"LOSS OF KEY SOC SERV",2008,100
4,1,108,2,904,1,4,10,"NO ELECTRIC 4 PAST 4",2008,100
4,1,108,2,904,2,1,16,"IMPROVED TRANS SERVI",2009,100
