"zone","state","lga","sector","ea","item_cd","itemspecify","sc7q1","sc7q2a","sc7q2b","sc7q3","sc7q4a","sc7q4b","sc7q4c","sc7q4d","sc7q4e","sc7q4f","sc7q5","sc7q6a","sc7q6b","sc7q6c","sc7q6d","sc7q6e","sc7q6f","sc7q7","sc7q8a","sc7q8b","sc7q8c","sc7q8d","sc7q8e","sc7q8f"
4,1,102,1,536,701,,1,2,,1,1,10,,,,,2,,,,,,,,,,,,,
4,1,102,1,536,702,,1,1,,1,1,10,,,,,2,,,,,,,,,,,,,
4,1,102,1,536,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,706,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,708,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,710,,1,1,,1,1,10,,,,,2,,,,,,,,,,,,,
4,1,102,1,536,711,,1,1,,1,1,10,,,,,2,,,,,,,,,,,,,
4,1,102,1,536,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,701,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,702,,1,1,,1,1,2,10,,,,1,2,1,1,1,2,,3,2,2,2,2,2,2
4,1,102,1,1690,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,706,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,708,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,710,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,711,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,701,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,702,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,703,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,704,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,705,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,706,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,708,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,710,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,711,,1,1,,1,1,2,10,,,,1,2,2,2,2,2,,2,1,1,1,1,1,1
4,1,104,2,1364,712,,1,1,,1,1,2,10,,,,1,2,2,2,2,2,,2,1,1,1,1,1,1
4,1,104,2,1364,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,701,,1,3,,1,1,2,10,,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,702,,1,3,,1,1,2,10,,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,703,,1,3,,1,1,2,10,,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,704,,1,3,,1,1,2,10,,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,706,,1,3,,1,1,2,3,10,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,707,,1,3,,1,1,2,3,10,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,708,,1,3,,1,1,2,3,10,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,710,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,711,,1,3,,1,1,2,10,,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,712,,1,3,,1,1,2,10,,,,1,2,1,1,1,2,,3,1,1,1,1,2,1
4,1,105,2,638,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,701,,1,1,,1,2,10,,,,,2,,,,,,,,,,,,,
4,1,106,2,880,702,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,705,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,706,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,707,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,708,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,709,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,710,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,711,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,106,2,880,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,714,,1,1,,1,1,10,,,,,2,,,,,,,,,,,,,
4,1,106,2,880,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,701,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,702,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,706,,1,4,,1,3,1,2,10,,,2,,,,,,,,,,,,,
4,1,107,2,1044,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,708,,1,4,,1,3,1,2,10,,,2,,,,,,,,,,,,,
4,1,107,2,1044,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,710,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,711,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,712,,1,3,,1,,2,1,10,,,2,,,,,,,,,,,,,
4,1,107,2,1044,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,701,,1,2,,1,1,2,10,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,702,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,703,,1,2,,1,1,2,10,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,706,,1,1,,1,1,2,3,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,708,,1,2,,1,1,2,3,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,710,,1,1,,1,1,2,4,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,711,,1,1,,1,1,2,10,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,714,,1,11,"FARMERS",1,1,2,10,,,,1,1,2,1,1,2,,3,1,1,1,1,1,1
4,1,108,2,904,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,701,,1,1,,1,1,2,10,,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,702,,1,1,,1,1,2,10,,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,705,,1,1,,1,1,2,3,10,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,706,,1,1,,1,1,2,3,10,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,707,,1,1,,1,1,2,3,10,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,708,,1,1,,1,1,2,3,10,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,710,,1,1,,1,1,2,4,10,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,711,,1,1,,1,1,2,10,,,,1,2,1,1,1,1,,3,1,1,1,1,1,1
4,1,110,2,76,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,110,2,76,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,701,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,111,1,1146,702,,1,1,,1,1,2,10,,,,2,,,,,,,,,,,,,
4,1,111,1,1146,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,706,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,708,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,710,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,711,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,701,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,702,,1,1,,1,10,,,,,,2,,,,,,,,,,,,,
4,1,115,1,670,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,704,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,705,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,706,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,707,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,708,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,709,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,710,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,711,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,712,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,713,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,714,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,715,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,701,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,702,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,703,,2,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,704,,2,,,,,,,,,,,,,,,,,,,,,,,
