"zone","state","lga","sector","ea","item_cd","sc8q1","sc8q2"
4,1,102,1,536,1,1,180
4,1,102,1,536,2,1,180
4,1,102,1,536,3,1,200
4,1,102,1,536,4,1,200
4,1,102,1,536,5,1,120
4,1,102,1,536,7,1,200
4,1,102,1,536,8,1,50
4,1,102,1,536,9,1,10
4,1,102,1,536,10,1,10
4,1,102,1,536,11,1,200
4,1,102,1,536,20,2,0
4,1,102,1,536,21,1,200
4,1,102,1,536,22,2,0
4,1,102,1,536,23,2,0
4,1,102,1,536,24,1,250
4,1,102,1,536,30,2,0
4,1,102,1,536,31,1,150
4,1,102,1,536,32,1,100
4,1,102,1,536,33,1,100
4,1,102,1,536,34,1,10
4,1,102,1,536,35,1,30
4,1,102,1,536,36,1,20
4,1,102,1,536,37,2,0
4,1,102,1,536,38,1,70
4,1,102,1,536,50,1,120
4,1,102,1,536,51,1,100
4,1,102,1,536,52,1,20
4,1,102,1,536,53,1,10
4,1,102,1,536,54,1,250
4,1,102,1,536,55,1,1000
4,1,102,1,536,60,2,0
4,1,102,1,536,61,1,200
4,1,102,1,536,62,1,250
4,1,102,1,536,63,1,200
4,1,102,1,536,64,2,0
4,1,102,1,536,65,1,50
4,1,102,1,536,70,1,150
4,1,102,1,536,71,2,0
4,1,102,1,536,72,2,0
4,1,102,1,536,73,1,280
4,1,102,1,536,74,2,0
4,1,102,1,536,75,2,0
4,1,102,1,536,76,2,220
4,1,102,1,536,78,1,250
4,1,102,1,536,80,1,850
4,1,102,1,536,81,1,50
4,1,102,1,536,82,1,10
4,1,102,1,536,83,1,5
4,1,102,1,536,84,1,50
4,1,102,1,536,85,1,10
4,1,102,1,536,86,1,120
4,1,102,1,536,87,1,250
4,1,102,1,536,88,1,250
4,1,102,1,536,90,2,0
4,1,102,1,536,91,1,100
4,1,102,1,536,101,1,250
4,1,102,1,536,102,1,20
4,1,102,1,536,103,1,5
4,1,102,1,536,104,1,300
4,1,102,1,536,105,2,0
4,1,102,1,536,106,1,350
4,1,102,1,536,107,1,100
4,1,102,1,536,108,1,30
4,1,102,1,536,109,2,0
4,1,102,1,536,111,1,25
4,1,102,1,536,120,1,650
4,1,102,1,536,121,2,0
4,1,102,1,536,122,2,0
4,1,102,1,536,123,2,0
4,1,102,1,536,125,1,650
4,1,102,1,536,126,1,30
4,1,102,1,536,130,1,550
4,1,102,1,536,131,2,0
4,1,102,1,536,132,2,0
4,1,102,1,536,133,1,550
4,1,102,1,536,134,2,0
4,1,102,1,536,136,1,450
4,1,102,1,536,140,1,700
4,1,102,1,536,141,1,350
4,1,102,1,536,142,1,400
4,1,102,1,536,143,1,450
4,1,102,1,536,144,1,400
4,1,102,1,536,145,1,600
4,1,102,1,536,146,2,0
4,1,102,1,536,147,1,80
4,1,102,1,536,150,2,0
4,1,102,1,536,152,1,1050
4,1,102,1,536,154,1,50
4,1,102,1,536,170,1,150
4,1,102,1,536,171,1,150
4,1,102,1,536,172,2,0
4,1,102,1,536,173,2,0
4,1,102,1,536,174,1,150
