"zone","state","lga","sector","ea","ric","hhid","item_cd","s10bq1","s10bq2a","s10bq2b","s10bq3a","s10bq3b","s10bq4","s10bq5a","s10bq5b","s10bq6a","s10bq6b"
4,1,115,1,670,1309,10001,14,1,50,1,50,1,8500,0,,0,
4,1,115,1,670,1309,10001,15,1,2.5,1,2.5,1,750,0,,0,
4,1,115,1,670,1309,10001,31,1,16,1,16,1,1500,0,,0,
4,1,115,1,670,1309,10001,32,1,10.5,1,10.5,1,800,0,,0,
4,1,115,1,670,1309,10001,35,1,5.2,1,5.2,1,850,0,,0,
4,1,115,1,670,1309,10001,36,1,1.5,1,1.5,1,150,0,,0,
4,1,115,1,670,1309,10001,42,1,3,1,3,1,600,0,,0,
4,1,115,1,670,1309,10001,50,1,0.75,3,0.75,3,230,0,,0,
4,1,115,1,670,1309,10001,52,1,0.01,3,3,3,220,0,,0,
4,1,115,1,670,1309,10001,60,1,1.3,1,1.3,1,200,0,,0,
4,1,115,1,670,1309,10001,64,1,2.2,1,2.2,1,250,0,,0,
4,1,115,1,670,1309,10001,66,1,0.3,1,0.3,1,100,0,,0,
4,1,115,1,670,1309,10001,70,1,1,1,1,1,150,0,,0,
4,1,115,1,670,1309,10001,71,1,0.42,1,0.42,1,150,0,,0,
4,1,115,1,670,1309,10001,72,1,0.45,1,0.45,1,100,0,,0,
4,1,115,1,670,1309,10001,73,1,0.4,1,0.4,1,100,0,,0,
4,1,115,1,670,1309,10001,74,1,0.06,1,0.06,1,50,0,,0,
4,1,115,1,670,1309,10001,76,1,0.02,1,0.02,1,40,0,,0,
4,1,115,1,670,1309,10001,78,1,0.2,1,0.2,1,80,0,,0,
4,1,115,1,670,1309,10001,80,1,2,1,2,1,1400,0,,0,
4,1,115,1,670,1309,10001,83,1,0.89,1,0.89,1,280,0,,0,
4,1,115,1,670,1309,10001,90,1,1,1,1,1,500,0,,0,
4,1,115,1,670,1309,10001,103,1,0.6,1,0.6,1,350,0,,0,
4,1,115,1,670,1309,10001,104,1,1,1,1,1,300,0,,0,
4,1,115,1,670,1309,10001,111,1,0.45,1,0.45,1,500,0,,0,
4,1,115,1,670,1309,10001,121,1,0.5,1,0.5,1,550,0,,0,
4,1,115,1,670,1309,10001,130,1,0.5,1,0.5,1,200,0,,0,
4,1,115,1,670,1309,10001,140,1,0.5,1,0.5,1,50,0,,0,
4,1,115,1,670,1309,10001,150,1,4.5,3,4.5,3,360,0,,0,
4,1,115,1,670,1309,10001,151,1,3,3,3,3,25,0,,0,
4,1,115,1,670,1309,10001,152,1,0.66,3,0.66,3,200,0,,0,
4,1,115,1,670,1309,10001,153,1,1.05,3,1.05,3,150,0,,0,
4,1,115,1,670,1309,10001,160,1,2.25,3,2.25,3,540,0,,0,
4,1,115,1,670,1309,10002,14,1,5.5,1,5.5,1,1100,0,,0,
4,1,115,1,670,1309,10002,15,1,1.5,1,1.5,1,450,0,,0,
4,1,115,1,670,1309,10002,31,1,13.8,1,13.8,1,1200,0,,0,
4,1,115,1,670,1309,10002,33,1,5.25,1,5.25,1,500,0,,0,
4,1,115,1,670,1309,10002,35,1,5.2,1,5.2,1,800,0,,0,
4,1,115,1,670,1309,10002,36,1,1.8,1,1.8,1,200,0,,0,
4,1,115,1,670,1309,10002,42,1,2,1,2,1,400,0,,0,
4,1,115,1,670,1309,10002,50,1,0.75,3,0.75,3,200,0,,0,
4,1,115,1,670,1309,10002,52,1,0.01,3,3,3,220,0,,0,
4,1,115,1,670,1309,10002,60,1,1.3,1,1.3,1,180,0,,0,
4,1,115,1,670,1309,10002,64,1,1.9,1,1.9,1,200,0,,0,
4,1,115,1,670,1309,10002,70,1,1,1,1,1,120,0,,0,
4,1,115,1,670,1309,10002,71,1,0.56,1,0.56,1,240,0,,0,
4,1,115,1,670,1309,10002,72,1,0.45,1,0.45,1,150,0,,0,
4,1,115,1,670,1309,10002,76,1,0.02,1,0.02,1,50,0,,0,
4,1,115,1,670,1309,10002,78,1,0.2,1,0.2,1,70,0,,0,
4,1,115,1,670,1309,10002,80,1,3,1,3,1,2100,0,,0,
4,1,115,1,670,1309,10002,83,1,0.89,1,0.89,1,280,0,,0,
4,1,115,1,670,1309,10002,90,1,2,1,2,1,1200,0,,0,
4,1,115,1,670,1309,10002,101,1,0.4,1,0.4,1,300,0,,0,
4,1,115,1,670,1309,10002,103,1,0.06,1,0.06,1,150,0,,0,
4,1,115,1,670,1309,10002,104,1,3.8,1,3.8,1,500,0,,0,
4,1,115,1,670,1309,10002,111,1,0.5,1,0.5,1,500,0,,0,
4,1,115,1,670,1309,10002,121,1,0.5,1,0.5,1,350,0,,0,
4,1,115,1,670,1309,10002,122,1,0.12,1,0.12,1,140,0,,0,
4,1,115,1,670,1309,10002,130,1,0.5,1,0.5,1,200,0,,0,
4,1,115,1,670,1309,10002,140,1,0.5,1,0.5,1,50,0,,0,
4,1,115,1,670,1309,10002,150,1,6,3,6,3,480,0,,0,
4,1,115,1,670,1309,10002,151,1,4.2,3,4.2,3,35,0,,0,
4,1,115,1,670,1309,10002,152,1,0.33,3,0.33,3,100,0,,0,
4,1,115,1,670,1309,10002,153,1,8.4,3,8.4,3,900,0,,0,
4,1,115,1,670,1309,10002,160,1,9,3,9,3,2000,0,,0,
4,1,115,1,670,1309,10003,14,1,2.5,1,2.5,1,500,0,,0,
4,1,115,1,670,1309,10003,15,1,0.8,1,0.8,1,200,0,,0,
4,1,115,1,670,1309,10003,31,1,4.6,1,4.6,1,400,0,,0,
4,1,115,1,670,1309,10003,32,1,3.67,1,3.67,1,300,0,,0,
4,1,115,1,670,1309,10003,35,1,1.3,1,1.3,1,200,0,,0,
4,1,115,1,670,1309,10003,36,1,1.4,1,1.4,1,200,0,,0,
4,1,115,1,670,1309,10003,42,1,0.6,1,0.6,1,100,0,,0,
4,1,115,1,670,1309,10003,50,1,0.75,3,0.75,3,200,0,,0,
4,1,115,1,670,1309,10003,52,1,0.75,3,0.75,3,230,0,,0,
4,1,115,1,670,1309,10003,60,1,0.35,1,0.35,1,100,0,,0,
4,1,115,1,670,1309,10003,61,1,1.2,1,1.2,1,100,0,,0,
4,1,115,1,670,1309,10003,70,1,1,1,1,1,100,0,,0,
4,1,115,1,670,1309,10003,71,1,0.21,1,0.21,1,90,0,,0,
4,1,115,1,670,1309,10003,72,1,0.45,1,0.45,1,100,0,,0,
4,1,115,1,670,1309,10003,74,1,0.75,1,0.75,1,100,0,,0,
4,1,115,1,670,1309,10003,76,1,0.05,1,0.05,1,40,0,,0,
4,1,115,1,670,1309,10003,83,1,0.44,1,0.44,1,180,0,,0,
4,1,115,1,670,1309,10003,90,1,0.3,1,0.3,1,500,0,,0,
4,1,115,1,670,1309,10003,102,1,0.8,1,0.8,1,400,0,,0,
4,1,115,1,670,1309,10003,103,1,0.3,1,0.3,1,200,0,,0,
4,1,115,1,670,1309,10003,113,1,0.34,1,0.34,1,200,0,,0,
4,1,115,1,670,1309,10003,122,1,0.3,1,0.3,1,60,0,,0,
4,1,115,1,670,1309,10003,130,1,0.06,1,0.06,1,30,0,,0,
4,1,115,1,670,1309,10003,140,1,0.2,1,0.2,1,40,0,,0,
4,1,115,1,670,1309,10003,151,1,0.6,3,0.6,3,5,0,,0,
4,1,115,1,670,1309,10003,152,1,0.33,3,0.33,3,100,0,,0,
4,1,115,1,670,1309,10004,14,1,2,1,2,1,400,0,,0,
4,1,115,1,670,1309,10004,15,1,0.4,1,0.4,1,120,0,,0,
4,1,115,1,670,1309,10004,31,1,4.6,1,4.6,1,400,0,,0,
4,1,115,1,670,1309,10004,33,1,2.1,1,2.1,1,200,0,,0,
4,1,115,1,670,1309,10004,35,1,1.3,1,1.3,1,200,0,,0,
4,1,115,1,670,1309,10004,37,1,2.2,1,2.2,1,200,0,,0,
4,1,115,1,670,1309,10004,42,1,0.6,1,0.6,1,100,0,,0,
4,1,115,1,670,1309,10004,50,1,0.75,3,0.75,3,150,0,,0,
4,1,115,1,670,1309,10004,52,1,0.75,3,0.75,3,200,0,,0,
4,1,115,1,670,1309,10004,60,1,0.35,1,0.35,1,100,0,,0,
4,1,115,1,670,1309,10004,61,1,1.2,1,1.2,1,100,0,,0,
4,1,115,1,670,1309,10004,64,1,1.9,1,1.9,1,200,0,,0,
4,1,115,1,670,1309,10004,70,1,1,1,1,1,100,0,,0,
4,1,115,1,670,1309,10004,71,1,0.14,1,0.14,1,60,0,,0,
4,1,115,1,670,1309,10004,72,1,0.45,1,0.45,1,100,0,,0,
4,1,115,1,670,1309,10004,74,1,0.75,1,0.75,1,100,0,,0,
4,1,115,1,670,1309,10004,76,1,0.05,1,0.05,1,40,0,,0,
4,1,115,1,670,1309,10004,83,1,0.44,1,0.44,1,180,0,,0,
4,1,115,1,670,1309,10004,90,1,0.3,1,0.3,1,500,0,,0,
4,1,115,1,670,1309,10004,101,1,0.4,1,0.4,1,300,0,,0,
4,1,115,1,670,1309,10004,102,1,0.4,1,0.4,1,200,0,,0,
4,1,115,1,670,1309,10004,103,1,0.3,1,0.3,1,200,0,,0,
4,1,115,1,670,1309,10004,113,1,0.17,1,0.17,1,100,0,,0,
4,1,115,1,670,1309,10004,122,1,0.15,1,0.15,1,30,0,,0,
4,1,115,1,670,1309,10004,130,1,0.06,1,0.06,1,40,0,,0,
4,1,115,1,670,1309,10004,140,1,0.2,1,0.2,1,40,0,,0,
4,1,115,1,670,1309,10004,151,1,0.6,3,0.6,3,5,0,,0,
4,1,115,1,670,1309,10004,152,1,0.33,3,0.33,3,100,0,,0,
4,1,115,1,670,1309,10006,14,1,1.75,1,1.75,1,350,0,,0,
4,1,115,1,670,1309,10006,15,1,0.8,1,0.8,1,150,0,,0,
4,1,115,1,670,1309,10006,31,1,4.6,1,4.6,1,400,0,,0,
4,1,115,1,670,1309,10006,33,1,1.75,1,1.75,1,140,0,,0,
4,1,115,1,670,1309,10006,35,1,2.64,1,2.64,1,500,0,,0,
4,1,115,1,670,1309,10006,41,1,0.6,1,0.6,1,180,0,,0,
4,1,115,1,670,1309,10006,50,1,0.75,3,0.75,3,200,0,,0,
4,1,115,1,670,1309,10006,52,1,1.12,3,1.12,3,345,0,,0,
4,1,115,1,670,1309,10006,60,1,1.05,1,1.05,1,300,0,,0,
4,1,115,1,670,1309,10006,61,1,3.6,1,3.6,1,300,0,,0,
4,1,115,1,670,1309,10006,64,1,1.9,1,1.9,1,150,0,,0,
4,1,115,1,670,1309,10006,70,1,4,1,4,1,400,0,,0,
4,1,115,1,670,1309,10006,72,1,0.48,1,0.48,1,180,0,,0,
4,1,115,1,670,1309,10006,73,1,2.6,1,2.6,1,400,0,,0,
4,1,115,1,670,1309,10006,74,1,1.5,1,1.5,1,200,0,,0,
4,1,115,1,670,1309,10006,76,1,0.16,1,0.16,1,80,0,,0,
4,1,115,1,670,1309,10006,78,1,1.2,1,1.2,1,480,0,,0,
4,1,115,1,670,1309,10006,90,1,0.6,1,0.6,1,300,0,,0,
4,1,115,1,670,1309,10006,101,1,5,1,5,1,1500,0,,0,
4,1,115,1,670,1309,10006,102,1,0.41,1,0.41,1,300,0,,0,
