"zone","state","lga","sector","ea","hhid","item_cd","s10cq7"
4,1,115,1,670,10001,1,4
4,1,115,1,670,10001,2,4
4,1,115,1,670,10001,3,3
4,1,115,1,670,10001,4,4
4,1,115,1,670,10001,5,4
4,1,115,1,670,10001,6,0
4,1,115,1,670,10001,7,2
4,1,115,1,670,10001,8,7
4,1,115,1,670,10001,9,3
4,1,115,1,670,10001,10,4
4,1,115,1,670,10001,11,4
4,1,115,1,670,10002,1,4
4,1,115,1,670,10002,2,5
4,1,115,1,670,10002,3,3
4,1,115,1,670,10002,4,4
4,1,115,1,670,10002,5,4
4,1,115,1,670,10002,6,0
4,1,115,1,670,10002,7,2
4,1,115,1,670,10002,8,4
4,1,115,1,670,10002,9,3
4,1,115,1,670,10002,10,4
4,1,115,1,670,10002,11,4
4,1,115,1,670,10003,1,2
4,1,115,1,670,10003,2,5
4,1,115,1,670,10003,3,2
4,1,115,1,670,10003,4,3
4,1,115,1,670,10003,5,4
4,1,115,1,670,10003,6,0
4,1,115,1,670,10003,7,2
4,1,115,1,670,10003,8,2
4,1,115,1,670,10003,9,3
4,1,115,1,670,10003,10,2
4,1,115,1,670,10003,11,3
4,1,115,1,670,10004,1,2
4,1,115,1,670,10004,2,3
4,1,115,1,670,10004,3,1
4,1,115,1,670,10004,4,3
4,1,115,1,670,10004,5,3
4,1,115,1,670,10004,6,0
4,1,115,1,670,10004,7,1
4,1,115,1,670,10004,8,2
4,1,115,1,670,10004,9,3
4,1,115,1,670,10004,10,2
4,1,115,1,670,10004,11,3
4,1,115,1,670,10006,1,4
4,1,115,1,670,10006,2,3
4,1,115,1,670,10006,3,2
4,1,115,1,670,10006,4,4
4,1,115,1,670,10006,5,7
4,1,115,1,670,10006,6,0
4,1,115,1,670,10006,7,2
4,1,115,1,670,10006,8,0
4,1,115,1,670,10006,9,7
4,1,115,1,670,10006,10,3
4,1,115,1,670,10006,11,4
4,1,115,1,670,10008,1,3
4,1,115,1,670,10008,2,3
4,1,115,1,670,10008,3,3
4,1,115,1,670,10008,4,2
4,1,115,1,670,10008,5,3
4,1,115,1,670,10008,6,3
4,1,115,1,670,10008,7,2
4,1,115,1,670,10008,8,1
4,1,115,1,670,10008,9,3
4,1,115,1,670,10008,10,1
4,1,115,1,670,10008,11,1
4,1,115,1,670,10009,1,3
4,1,115,1,670,10009,2,2
4,1,115,1,670,10009,3,2
4,1,115,1,670,10009,4,3
4,1,115,1,670,10009,5,7
4,1,115,1,670,10009,6,0
4,1,115,1,670,10009,7,1
4,1,115,1,670,10009,8,3
4,1,115,1,670,10009,9,7
4,1,115,1,670,10009,10,3
4,1,115,1,670,10009,11,7
