"zone","state","lga","sector","ea","hhid","item_cd","s10cq9","s10cq10"
4,1,106,2,880,10025,1,1,1
4,1,111,1,1146,10031,1,1,1
4,1,107,2,1044,10063,2,2,4
4,1,117,2,560,10075,1,3,7
4,1,117,2,560,10075,2,4,3
4,1,117,2,560,10075,3,2,2
2,2,209,2,1040,20002,1,3,4
2,2,209,2,1040,20002,2,4,16
2,2,209,2,1040,20002,3,7,20
2,2,209,2,1040,20002,4,1,1
2,2,209,2,1040,20009,2,2,
2,2,221,2,18,20011,2,7,2
2,2,221,2,18,20011,3,7,2
2,2,221,2,18,20013,1,7,7
2,2,221,2,18,20013,2,7,7
2,2,221,2,18,20013,3,3,2
2,2,221,2,18,20018,1,6,3
2,2,221,2,18,20019,2,7,1
2,2,221,2,18,20019,3,7,1
2,2,201,2,60,20022,3,4,8
2,2,201,2,60,20023,1,2,3
2,2,201,2,60,20023,2,7,3
2,2,201,2,60,20024,2,2,1
2,2,201,2,60,20024,3,3,3
2,2,201,2,60,20024,4,3,4
2,2,201,2,60,20028,1,7,1
2,2,201,2,60,20028,2,2,2
2,2,216,2,200,20034,4,7,21
2,2,216,2,200,20036,2,3,4
2,2,216,2,200,20039,1,5,2
2,2,216,2,200,20039,2,7,2
2,2,216,2,200,20039,3,7,2
2,2,216,2,200,20039,4,7,2
2,2,203,2,1224,20044,1,3,6
2,2,203,2,1224,20044,2,2,2
2,2,203,2,1224,20044,3,4,8
2,2,203,2,1224,20044,4,7,7
2,2,203,2,1224,20045,2,3,3
2,2,203,2,1224,20045,3,2,3
2,2,203,2,1224,20046,3,4,6
2,2,203,2,1224,20046,4,1,3
2,2,212,2,956,20053,3,7,2
2,2,212,2,956,20054,1,4,4
2,2,212,2,956,20057,2,2,3
2,2,212,2,956,20060,1,3,3
2,2,212,2,956,20060,2,4,2
2,2,210,2,1300,20061,1,2,3
2,2,210,2,1300,20061,4,2,7
2,2,210,2,1300,20070,1,2,14
2,2,210,2,1300,20070,3,5,8
2,2,214,2,898,20074,2,7,2
2,2,214,2,898,20074,3,7,2
2,2,214,2,898,20077,3,7,1
2,2,215,1,8,20084,3,7,1
2,2,207,2,1302,20092,3,7,2
2,2,207,2,1302,20095,2,3,6
2,2,205,2,712,20102,2,7,1
2,2,205,2,712,20106,2,3,5
2,2,205,2,712,20106,3,4,10
2,2,205,2,712,20109,1,3,5
2,2,205,2,712,20109,2,2,6
2,2,205,2,712,20110,2,2,5
2,2,218,2,1592,20114,2,2,4
2,2,218,2,1592,20114,3,3,3
5,3,331,1,2322,30009,3,1,1
5,3,331,1,516,30018,3,1,1
5,3,331,1,516,30020,2,1,1
5,3,331,1,516,30020,3,1,1
5,3,316,2,874,30025,3,1,1
5,3,329,2,696,30062,2,3,3
5,3,329,2,696,30065,1,2,2
5,3,329,2,696,30065,2,2,2
5,3,329,2,696,30065,3,2,2
5,3,329,2,696,30065,4,2,2
5,3,329,2,696,30066,3,1,1
5,3,323,2,580,30072,2,2,2
5,3,323,2,580,30075,1,6,6
5,3,323,2,580,30075,2,6,6
5,3,323,2,580,30075,3,4,4
5,3,323,2,580,30075,4,4,4
5,3,323,2,580,30076,1,6,6
5,3,323,2,580,30076,2,4,4
5,3,323,2,580,30076,3,4,4
5,3,323,2,580,30076,4,6,6
5,3,313,2,70,30091,1,7,12
5,3,313,2,70,30091,3,7,12
5,3,301,1,1198,30104,3,1,1
5,3,301,1,1198,30105,1,7,1
5,3,301,1,1198,30105,2,7,1
5,3,301,1,1198,30105,3,7,1
5,3,301,1,1198,30108,3,2,3
5,3,326,2,74,30113,1,7,1
5,3,326,2,74,30113,2,7,1
5,3,326,2,74,30113,3,7,1
5,3,326,2,74,30115,2,2,2
5,3,326,2,74,30115,3,1,2
5,3,326,2,74,30115,4,1,1
5,3,305,2,1542,30124,3,3,3
5,3,305,2,1542,30124,4,,3
5,3,305,2,1542,30125,3,1,1
5,3,312,2,20,30131,4,7,14
5,3,312,2,20,30132,4,3,6
5,3,312,2,20,30133,1,7,1
5,3,312,2,20,30133,3,7,4
5,3,305,2,4,30143,1,7,3
5,3,305,2,4,30143,2,7,3
5,3,305,2,4,30143,3,7,3
5,3,305,2,4,30144,3,2,2
4,4,418,1,44,40007,1,2,6
4,4,418,1,44,40007,3,2,6
4,4,417,1,678,40014,1,5,2
4,4,417,1,678,40014,3,4,3
4,4,417,1,678,40015,1,1,2
4,4,417,1,678,40015,2,2,1
4,4,417,1,678,40015,3,1,1
4,4,417,1,678,40016,2,1,2
4,4,417,1,678,40016,3,2,2
4,4,414,1,2176,40031,3,6,6
4,4,414,1,2176,40032,1,6,6
4,4,414,1,2176,40032,3,6,6
4,4,414,1,2176,40040,1,1,2
4,4,414,1,2176,40040,2,1,1
4,4,414,1,2176,40040,3,1,1
4,4,413,2,1540,40060,1,3,5
4,4,413,2,1540,40060,2,1,1
4,4,413,2,1540,40060,3,2,1
4,4,405,2,484,40077,2,2,1
