"zone","state","lga","sector","ea","hhid","item_cd","s11bq3","s11bq4"
4,1,115,1,670,10001,301,1,1400
4,1,115,1,670,10001,309,1,10000
4,1,115,1,670,10001,312,1,560
4,1,115,1,670,10001,313,1,300
4,1,115,1,670,10001,314,1,250
4,1,115,1,670,10001,315,1,500
4,1,115,1,670,10001,317,1,600
4,1,115,1,670,10001,319,1,10500
4,1,115,1,670,10001,323,1,2500
4,1,115,1,670,10001,329,1,15000
4,1,115,1,670,10002,301,1,1500
4,1,115,1,670,10002,309,1,20000
4,1,115,1,670,10002,311,1,100
4,1,115,1,670,10002,312,1,1600
4,1,115,1,670,10002,313,1,900
4,1,115,1,670,10002,314,1,500
4,1,115,1,670,10002,315,1,5500
4,1,115,1,670,10002,317,1,1800
4,1,115,1,670,10002,319,1,14000
4,1,115,1,670,10002,323,1,5800
4,1,115,1,670,10002,325,1,8000
4,1,115,1,670,10002,329,1,15000
4,1,115,1,670,10003,301,1,3000
4,1,115,1,670,10003,305,1,1000
4,1,115,1,670,10003,312,1,1500
4,1,115,1,670,10003,313,1,1000
4,1,115,1,670,10003,314,1,150
4,1,115,1,670,10003,315,1,1500
4,1,115,1,670,10003,323,1,3000
4,1,115,1,670,10004,301,1,2000
4,1,115,1,670,10004,312,1,1000
4,1,115,1,670,10004,313,1,500
4,1,115,1,670,10004,314,1,200
4,1,115,1,670,10004,315,1,1000
4,1,115,1,670,10004,319,1,2000
4,1,115,1,670,10004,329,1,20000
4,1,115,1,670,10006,301,1,260
4,1,115,1,670,10006,307,1,300
4,1,115,1,670,10006,312,1,1500
4,1,115,1,670,10006,313,1,300
4,1,115,1,670,10006,314,1,200
4,1,115,1,670,10006,315,1,150
4,1,115,1,670,10006,317,1,350
4,1,115,1,670,10006,319,1,10000
4,1,115,1,670,10006,329,1,8000
4,1,115,1,670,10008,301,1,1500
4,1,115,1,670,10008,309,1,10000
4,1,115,1,670,10008,313,1,200
4,1,115,1,670,10008,314,1,200
4,1,115,1,670,10008,316,1,800
4,1,115,1,670,10008,319,1,2000
4,1,115,1,670,10008,323,1,6000
4,1,115,1,670,10009,301,1,480
4,1,115,1,670,10009,305,1,2150
4,1,115,1,670,10009,310,1,1950
4,1,115,1,670,10009,312,1,150
4,1,115,1,670,10009,313,1,280
4,1,115,1,670,10009,314,1,100
4,1,115,1,670,10009,315,1,800
4,1,115,1,670,10009,316,1,250
4,1,115,1,670,10009,317,1,250
4,1,115,1,670,10009,319,1,3000
4,1,115,1,670,10009,323,1,3500
4,1,115,1,670,10009,329,1,8000
4,1,115,1,670,10010,301,1,480
4,1,115,1,670,10010,305,1,1400
4,1,115,1,670,10010,309,1,1300
4,1,115,1,670,10010,313,1,250
4,1,115,1,670,10010,314,1,100
4,1,115,1,670,10010,315,1,480
4,1,115,1,670,10010,317,1,250
4,1,115,1,670,10010,319,1,4800
4,1,115,1,670,10010,323,1,8000
4,1,104,2,1364,10011,301,1,180
4,1,104,2,1364,10011,312,1,540
4,1,104,2,1364,10011,313,1,380
4,1,104,2,1364,10011,315,1,450
4,1,104,2,1364,10011,319,1,4000
4,1,104,2,1364,10011,329,1,1000
4,1,104,2,1364,10012,301,1,150
4,1,104,2,1364,10012,312,1,500
4,1,104,2,1364,10012,313,1,850
4,1,104,2,1364,10012,314,1,200
4,1,104,2,1364,10012,319,1,5000
4,1,104,2,1364,10012,329,1,1000
4,1,104,2,1364,10013,301,1,2700
4,1,104,2,1364,10013,305,1,700
4,1,104,2,1364,10013,307,1,3000
4,1,104,2,1364,10013,312,1,1300
4,1,104,2,1364,10013,313,1,400
4,1,104,2,1364,10013,314,1,150
4,1,104,2,1364,10013,315,1,400
4,1,104,2,1364,10013,319,1,1500
4,1,104,2,1364,10014,301,1,1200
4,1,104,2,1364,10014,307,1,500
4,1,104,2,1364,10014,312,1,1200
4,1,104,2,1364,10014,313,1,500
4,1,104,2,1364,10014,314,1,150
4,1,104,2,1364,10014,315,1,500
4,1,104,2,1364,10014,319,1,1000
4,1,104,2,1364,10015,301,1,100
4,1,104,2,1364,10015,312,1,300
4,1,104,2,1364,10015,313,1,200
4,1,104,2,1364,10015,315,1,80
4,1,104,2,1364,10015,329,1,1000
4,1,104,2,1364,10016,301,1,390
4,1,104,2,1364,10016,305,1,2000
4,1,104,2,1364,10016,307,1,500
4,1,104,2,1364,10016,312,1,200
4,1,104,2,1364,10016,313,1,250
4,1,104,2,1364,10016,314,1,200
4,1,104,2,1364,10016,315,1,100
4,1,104,2,1364,10016,317,1,250
4,1,104,2,1364,10016,319,1,4500
4,1,104,2,1364,10016,321,1,1000
4,1,104,2,1364,10017,301,1,240
4,1,104,2,1364,10017,305,1,2350
4,1,104,2,1364,10017,312,1,200
4,1,104,2,1364,10017,313,1,250
4,1,104,2,1364,10017,314,1,100
4,1,104,2,1364,10017,315,1,100
4,1,104,2,1364,10017,317,1,350
4,1,104,2,1364,10017,319,1,6000
4,1,104,2,1364,10017,321,1,1000
4,1,104,2,1364,10018,301,1,120
4,1,104,2,1364,10018,312,1,1000
4,1,104,2,1364,10018,313,1,300
4,1,104,2,1364,10019,313,1,200
4,1,104,2,1364,10019,319,1,200
4,1,104,2,1364,10020,301,1,800
4,1,104,2,1364,10020,312,1,1000
4,1,104,2,1364,10020,313,1,500
