"zone","state","lga","sector","ea","hhid","item_cd","s11cq5","s11cq6"
4,1,115,1,670,10001,406,1,1800
4,1,115,1,670,10001,408,1,2500
4,1,115,1,670,10001,410,1,1800
4,1,115,1,670,10001,412,1,2450
4,1,115,1,670,10001,416,1,2000
4,1,115,1,670,10001,418,1,4500
4,1,115,1,670,10001,421,1,100
4,1,115,1,670,10001,429,1,3500
4,1,115,1,670,10001,430,1,500
4,1,115,1,670,10002,404,1,1500
4,1,115,1,670,10002,408,1,4500
4,1,115,1,670,10002,410,1,2500
4,1,115,1,670,10002,412,1,2000
4,1,115,1,670,10002,413,1,3000
4,1,115,1,670,10002,418,1,2000
4,1,115,1,670,10002,429,1,12000
4,1,115,1,670,10002,430,1,2000
4,1,115,1,670,10003,407,1,2000
4,1,115,1,670,10003,423,1,400
4,1,115,1,670,10004,430,1,500
4,1,115,1,670,10006,407,1,12000
4,1,115,1,670,10006,408,1,3000
4,1,115,1,670,10006,409,1,20000
4,1,115,1,670,10006,410,1,25000
4,1,115,1,670,10006,413,1,12000
4,1,115,1,670,10006,414,1,12000
4,1,115,1,670,10006,416,1,15000
4,1,115,1,670,10006,418,1,2000
4,1,115,1,670,10006,419,1,4000
4,1,115,1,670,10006,420,1,10000
4,1,115,1,670,10006,421,1,500
4,1,115,1,670,10006,427,1,1500
4,1,115,1,670,10006,429,1,5000
4,1,115,1,670,10008,410,1,2500
4,1,115,1,670,10008,418,1,1000
4,1,115,1,670,10008,429,1,500
4,1,115,1,670,10008,430,1,5000
4,1,115,1,670,10009,401,1,820
4,1,115,1,670,10009,402,1,500
4,1,115,1,670,10009,410,1,2500
4,1,115,1,670,10009,421,1,450
4,1,115,1,670,10009,429,1,800
4,1,115,1,670,10009,430,1,8250
4,1,115,1,670,10010,406,1,1600
4,1,115,1,670,10010,410,1,4250
4,1,115,1,670,10010,421,1,150
4,1,115,1,670,10010,429,1,10200
4,1,115,1,670,10010,430,1,7900
4,1,104,2,1364,10011,406,1,1450
4,1,104,2,1364,10011,408,1,1200
4,1,104,2,1364,10011,412,1,1400
4,1,104,2,1364,10011,415,1,1500
4,1,104,2,1364,10011,429,1,2600
4,1,104,2,1364,10011,430,1,250
4,1,104,2,1364,10012,401,1,1800
4,1,104,2,1364,10012,402,1,1200
4,1,104,2,1364,10012,404,1,1000
4,1,104,2,1364,10012,408,1,1700
4,1,104,2,1364,10012,410,1,1600
4,1,104,2,1364,10012,412,1,1400
4,1,104,2,1364,10012,423,1,400
4,1,104,2,1364,10012,429,1,2500
4,1,104,2,1364,10012,430,1,5000
4,1,104,2,1364,10013,406,1,1500
4,1,104,2,1364,10013,409,1,800
4,1,104,2,1364,10013,430,1,500
4,1,104,2,1364,10014,416,1,2000
4,1,104,2,1364,10014,430,1,500
4,1,104,2,1364,10015,412,1,1400
4,1,104,2,1364,10015,429,1,1500
4,1,104,2,1364,10016,406,1,2800
4,1,104,2,1364,10016,409,1,1700
4,1,104,2,1364,10016,410,1,2500
4,1,104,2,1364,10016,413,1,760
4,1,104,2,1364,10016,415,1,3450
4,1,104,2,1364,10016,429,1,1400
4,1,104,2,1364,10016,430,1,12000
4,1,104,2,1364,10017,408,1,2500
4,1,104,2,1364,10017,409,1,700
4,1,104,2,1364,10017,410,1,2400
4,1,104,2,1364,10017,414,1,2500
4,1,104,2,1364,10017,429,1,5850
4,1,104,2,1364,10017,430,1,11220
4,1,104,2,1364,10020,410,1,1500
4,1,104,2,1364,10020,417,1,1000
4,1,104,2,1364,10020,430,1,300
4,1,106,2,880,10021,404,1,1400
4,1,106,2,880,10021,406,1,1300
4,1,106,2,880,10021,409,1,600
4,1,106,2,880,10021,412,1,2350
4,1,106,2,880,10021,413,1,1400
4,1,106,2,880,10021,415,1,2700
4,1,106,2,880,10021,429,1,2700
4,1,106,2,880,10021,430,1,800
4,1,106,2,880,10022,403,1,300
4,1,106,2,880,10022,404,1,1500
4,1,106,2,880,10022,405,1,250
4,1,106,2,880,10022,406,1,1350
4,1,106,2,880,10022,412,1,1500
4,1,106,2,880,10022,413,1,700
4,1,106,2,880,10022,415,1,500
4,1,106,2,880,10022,429,1,2000
4,1,106,2,880,10023,409,1,650
4,1,106,2,880,10023,412,1,3500
4,1,106,2,880,10023,429,1,3000
4,1,106,2,880,10023,430,1,1500
4,1,106,2,880,10025,409,1,600
4,1,106,2,880,10025,421,1,100
4,1,106,2,880,10025,430,1,3000
4,1,106,2,880,10027,408,1,2700
4,1,106,2,880,10027,410,1,750
4,1,106,2,880,10027,413,1,1800
4,1,106,2,880,10027,414,1,2100
4,1,106,2,880,10027,429,1,500
4,1,106,2,880,10027,430,1,11350
4,1,106,2,880,10028,430,1,300
4,1,106,2,880,10029,401,1,700
4,1,106,2,880,10029,403,1,500
4,1,106,2,880,10029,404,1,800
4,1,106,2,880,10029,407,1,850
4,1,106,2,880,10029,409,1,750
4,1,106,2,880,10029,429,1,600
4,1,106,2,880,10029,430,1,2000
4,1,106,2,880,10030,429,1,1000
4,1,106,2,880,10030,430,1,1500
4,1,111,1,1146,10031,401,1,1500
4,1,111,1,1146,10031,407,1,1800
4,1,111,1,1146,10031,410,1,2500
4,1,111,1,1146,10032,414,1,2000
4,1,111,1,1146,10032,417,1,1800
4,1,111,1,1146,10032,430,1,1300
4,1,111,1,1146,10033,409,1,1500
4,1,111,1,1146,10033,410,1,2000
4,1,111,1,1146,10033,411,1,2500
4,1,111,1,1146,10033,412,1,1600
4,1,111,1,1146,10033,414,1,2400
4,1,111,1,1146,10033,429,1,4500
4,1,111,1,1146,10033,430,1,31500
4,1,111,1,1146,10034,404,1,1000
4,1,111,1,1146,10034,406,1,2000
4,1,111,1,1146,10034,408,1,4200
4,1,111,1,1146,10034,413,1,1400
4,1,111,1,1146,10034,414,1,2500
4,1,111,1,1146,10034,415,1,1200
4,1,111,1,1146,10034,429,1,10000
4,1,111,1,1146,10034,430,1,12000
4,1,111,1,1146,10035,430,1,3000
4,1,111,1,1146,10036,410,1,2000
4,1,111,1,1146,10038,404,1,10200
4,1,111,1,1146,10038,406,1,1250
4,1,111,1,1146,10038,410,1,800
4,1,111,1,1146,10038,413,1,6500
4,1,111,1,1146,10038,415,1,1450
4,1,111,1,1146,10038,429,1,2200
4,1,111,1,1146,10038,430,1,5290
4,1,111,1,1146,10039,404,1,1100
4,1,111,1,1146,10039,410,1,1200
4,1,111,1,1146,10039,413,1,800
4,1,111,1,1146,10039,416,1,2500
4,1,111,1,1146,10040,414,1,3500
4,1,111,1,1146,10040,418,1,2200
4,1,111,1,1146,10040,429,1,4500
4,1,102,1,536,10041,404,1,1300
4,1,102,1,536,10041,405,1,700
4,1,102,1,536,10041,406,1,1600
4,1,102,1,536,10041,407,1,1800
4,1,102,1,536,10041,409,1,600
4,1,102,1,536,10041,410,1,500
4,1,102,1,536,10041,411,1,1800
4,1,102,1,536,10041,414,1,2000
4,1,102,1,536,10041,415,1,1800
4,1,102,1,536,10041,421,1,50
4,1,102,1,536,10041,422,1,300
4,1,102,1,536,10041,424,1,1200
4,1,102,1,536,10041,429,1,5000
4,1,102,1,536,10041,430,1,1200
4,1,102,1,536,10042,408,1,2500
4,1,102,1,536,10042,414,1,2000
4,1,102,1,536,10042,422,1,250
4,1,102,1,536,10042,429,1,650
4,1,102,1,536,10042,430,1,1500
4,1,102,1,536,10043,404,1,1500
4,1,102,1,536,10043,405,1,450
4,1,102,1,536,10043,406,1,2000
4,1,102,1,536,10043,407,1,1800
4,1,102,1,536,10043,409,1,600
4,1,102,1,536,10043,410,1,2500
4,1,102,1,536,10043,412,1,1500
4,1,102,1,536,10043,413,1,1450
4,1,102,1,536,10043,415,1,1200
4,1,102,1,536,10043,421,1,50
4,1,102,1,536,10043,429,1,5750
4,1,102,1,536,10043,430,1,4330
4,1,102,1,536,10044,401,1,800
4,1,102,1,536,10044,402,1,500
4,1,102,1,536,10044,406,1,1000
4,1,102,1,536,10045,410,1,5000
4,1,102,1,536,10045,422,1,250
4,1,102,1,536,10046,408,1,600
4,1,102,1,536,10046,410,1,550
4,1,102,1,536,10046,421,1,100
4,1,102,1,536,10046,429,1,850
4,1,102,1,536,10046,430,1,21600
4,1,102,1,536,10047,408,1,750
4,1,102,1,536,10047,414,1,2400
4,1,102,1,536,10047,415,1,1200
4,1,102,1,536,10047,429,1,2200
4,1,102,1,536,10047,430,1,1880
4,1,102,1,536,10048,407,1,700
4,1,102,1,536,10048,430,1,2000
4,1,102,1,536,10049,427,1,1100
4,1,102,1,536,10049,430,1,2000
4,1,102,1,536,10050,410,1,1800
4,1,102,1,536,10050,430,1,13000
4,1,102,1,1690,10051,408,1,2500
4,1,102,1,1690,10051,429,1,2000
4,1,102,1,1690,10051,430,1,1350
4,1,102,1,1690,10052,401,1,2000
4,1,102,1,1690,10052,402,1,1500
4,1,102,1,1690,10052,404,1,2400
4,1,102,1,1690,10052,406,1,1200
4,1,102,1,1690,10052,413,1,3000
4,1,102,1,1690,10052,415,1,1400
4,1,102,1,1690,10052,421,1,50
4,1,102,1,1690,10052,429,1,3500
4,1,102,1,1690,10053,410,1,2000
4,1,102,1,1690,10054,406,1,2000
4,1,102,1,1690,10054,409,1,800
4,1,102,1,1690,10055,407,1,1400
4,1,102,1,1690,10055,410,1,2500
4,1,102,1,1690,10055,414,1,2200
4,1,102,1,1690,10055,416,1,1400
4,1,102,1,1690,10055,421,1,50
4,1,102,1,1690,10055,429,1,1200
4,1,102,1,1690,10056,410,1,650
4,1,102,1,1690,10056,416,1,1200
4,1,102,1,1690,10056,429,1,500
4,1,102,1,1690,10056,430,1,2150
4,1,102,1,1690,10057,411,1,620
4,1,102,1,1690,10058,430,1,5000
4,1,102,1,1690,10059,414,1,2500
4,1,102,1,1690,10059,430,1,500
4,1,102,1,1690,10060,401,1,600
4,1,102,1,1690,10060,410,1,1500
4,1,107,2,1044,10061,404,1,700
4,1,107,2,1044,10061,406,1,1200
4,1,107,2,1044,10062,410,1,3000
4,1,107,2,1044,10062,417,1,1000
4,1,107,2,1044,10063,414,1,1800
4,1,107,2,1044,10063,429,1,1000
4,1,107,2,1044,10063,430,1,12000
4,1,107,2,1044,10064,404,1,1200
4,1,107,2,1044,10064,406,1,450
4,1,107,2,1044,10064,409,1,800
4,1,107,2,1044,10064,415,1,1550
4,1,107,2,1044,10064,430,1,12000
4,1,107,2,1044,10065,405,1,560
4,1,107,2,1044,10065,406,1,1350
4,1,107,2,1044,10065,415,1,2200
4,1,107,2,1044,10065,429,1,1500
4,1,107,2,1044,10065,430,1,12000
4,1,107,2,1044,10066,406,1,250
4,1,107,2,1044,10066,430,1,500
4,1,107,2,1044,10067,403,1,1500
4,1,107,2,1044,10067,417,1,1800
4,1,107,2,1044,10067,430,1,3000
4,1,107,2,1044,10068,409,1,1500
4,1,107,2,1044,10068,417,1,1800
4,1,107,2,1044,10068,430,1,2000
4,1,107,2,1044,10069,430,1,7000
4,1,107,2,1044,10070,410,1,2000
4,1,107,2,1044,10070,430,1,1000
4,1,117,2,560,10071,415,1,900
4,1,117,2,560,10071,430,1,700
4,1,117,2,560,10072,401,1,1000
4,1,117,2,560,10072,409,1,1500
4,1,117,2,560,10072,430,1,1500
4,1,117,2,560,10073,409,1,750
4,1,117,2,560,10073,410,1,1800
4,1,117,2,560,10073,429,1,2500
4,1,117,2,560,10074,409,1,850
4,1,117,2,560,10074,410,1,2000
4,1,117,2,560,10074,411,1,1500
4,1,117,2,560,10074,429,1,1850
4,1,117,2,560,10074,430,1,500
4,1,117,2,560,10076,429,1,500
4,1,117,2,560,10077,408,1,650
4,1,117,2,560,10077,414,1,2400
4,1,117,2,560,10077,429,1,450
4,1,117,2,560,10077,430,1,6800
4,1,110,2,76,10082,429,1,550
4,1,110,2,76,10082,430,1,3700
4,1,110,2,76,10083,405,1,600
4,1,110,2,76,10083,415,1,2400
4,1,110,2,76,10083,429,1,2000
4,1,110,2,76,10083,430,1,150
4,1,110,2,76,10084,404,1,1200
4,1,110,2,76,10084,412,1,2000
4,1,110,2,76,10084,429,1,2000
4,1,110,2,76,10084,430,1,350
4,1,110,2,76,10085,403,1,500
4,1,110,2,76,10085,412,1,1500
4,1,110,2,76,10085,429,1,300
4,1,110,2,76,10085,430,1,300
4,1,110,2,76,10086,411,1,1500
4,1,110,2,76,10088,430,1,200
4,1,105,2,638,10091,411,1,2500
4,1,105,2,638,10092,404,1,1000
4,1,105,2,638,10092,411,1,2500
4,1,105,2,638,10092,429,1,500
4,1,105,2,638,10092,430,1,2000
4,1,105,2,638,10093,422,1,400
4,1,105,2,638,10093,430,1,3000
4,1,105,2,638,10094,401,1,1000
4,1,105,2,638,10094,406,1,2000
4,1,105,2,638,10094,430,1,500
4,1,105,2,638,10095,404,1,1800
4,1,105,2,638,10095,410,1,650
4,1,105,2,638,10095,413,1,800
4,1,105,2,638,10095,416,1,950
4,1,105,2,638,10095,430,1,8000
4,1,105,2,638,10096,408,1,620
4,1,105,2,638,10096,409,1,850
4,1,105,2,638,10096,412,1,650
4,1,105,2,638,10096,429,1,620
4,1,105,2,638,10096,430,1,8500
4,1,105,2,638,10097,404,1,920
4,1,105,2,638,10097,410,1,200
4,1,105,2,638,10097,411,1,850
4,1,105,2,638,10097,429,1,500
4,1,105,2,638,10097,430,1,500
4,1,105,2,638,10098,430,1,15750
4,1,105,2,638,10099,409,1,800
4,1,105,2,638,10099,429,1,650
4,1,105,2,638,10099,430,1,500
4,1,108,2,904,10101,430,1,500
4,1,108,2,904,10102,406,1,1800
4,1,108,2,904,10103,406,1,1800
4,1,108,2,904,10103,407,1,2000
4,1,108,2,904,10103,414,1,2500
4,1,108,2,904,10104,403,1,500
4,1,108,2,904,10104,411,1,1800
4,1,108,2,904,10104,413,1,1200
4,1,108,2,904,10104,429,1,2350
4,1,108,2,904,10104,430,1,1500
4,1,108,2,904,10105,404,1,1750
4,1,108,2,904,10105,409,1,800
4,1,108,2,904,10105,412,1,1500
4,1,108,2,904,10105,429,1,3250
4,1,108,2,904,10105,430,1,1950
4,1,108,2,904,10106,408,1,1200
