"zone","state","lga","sector","ea","hhid","item_cd","s11dq7","s11dq8"
4,1,115,1,670,10006,507,1,5000
4,1,115,1,670,10006,515,1,150000
4,1,115,1,670,10006,516,1,50000
4,1,115,1,670,10009,507,1,350
4,1,115,1,670,10010,507,1,250
4,1,104,2,1364,10012,517,1,150000
4,1,104,2,1364,10016,507,1,400
4,1,104,2,1364,10016,509,1,1000
4,1,106,2,880,10029,508,1,44000
4,1,106,2,880,10029,509,1,2500
4,1,106,2,880,10030,509,1,1500
4,1,111,1,1146,10034,517,1,25000
4,1,111,1,1146,10036,516,1,100000
4,1,102,1,536,10041,517,1,8000
4,1,102,1,536,10045,505,1,12500
4,1,102,1,536,10047,507,1,300
4,1,102,1,1690,10055,507,1,200
4,1,102,1,1690,10056,509,1,2600
4,1,102,1,1690,10057,508,1,4650
4,1,117,2,560,10074,517,1,22000
4,1,105,2,638,10092,505,1,12000
4,1,105,2,638,10096,507,1,200
4,1,108,2,904,10109,509,1,1500
2,2,209,2,1040,20001,503,1,1800
2,2,209,2,1040,20006,503,1,900
2,2,201,2,60,20022,503,1,800
2,2,201,2,60,20022,505,1,12000
2,2,201,2,60,20027,504,1,650
2,2,216,2,200,20033,516,1,20000
2,2,216,2,200,20034,503,1,800
2,2,216,2,200,20040,503,1,400
2,2,214,2,898,20074,502,1,800
2,2,214,2,898,20078,503,1,1600
2,2,214,2,898,20078,508,1,5000
2,2,215,1,8,20090,503,1,800
2,2,207,2,1302,20091,515,1,30000
2,2,207,2,1302,20091,516,1,145000
2,2,205,2,712,20102,503,1,2900
2,2,205,2,712,20107,502,1,800
2,2,205,2,712,20108,503,1,1200
5,3,331,1,2322,30002,517,1,2000
5,3,331,1,2322,30006,502,1,1500
5,3,331,1,2322,30006,506,1,2000
5,3,331,1,2322,30006,509,1,500
5,3,331,1,516,30019,503,1,300
5,3,316,2,874,30022,502,1,500
5,3,316,2,874,30023,509,1,600
5,3,316,2,874,30024,501,1,3000
5,3,316,2,874,30024,508,1,3500
5,3,316,2,874,30028,516,1,1000
5,3,309,2,478,30032,503,1,350
5,3,309,2,478,30033,503,1,700
5,3,307,1,634,30041,509,1,1000
5,3,307,1,634,30043,507,1,1400
5,3,307,1,634,30048,501,1,800
5,3,321,2,364,30051,501,1,23000
5,3,321,2,364,30054,503,1,1200
5,3,329,2,696,30062,501,1,1800
5,3,329,2,696,30070,503,1,350
5,3,323,2,580,30075,503,1,400
5,3,323,2,580,30076,503,1,1500
5,3,318,2,1136,30084,503,1,800
5,3,318,2,1136,30085,501,1,5000
5,3,318,2,1136,30085,502,1,1500
5,3,318,2,1136,30087,503,1,800
5,3,313,2,70,30091,503,1,700
5,3,313,2,70,30094,504,1,20
5,3,313,2,70,30095,503,1,400
5,3,313,2,70,30096,517,1,250000
5,3,313,2,70,30097,517,1,500
5,3,313,2,70,30099,503,1,350
5,3,313,2,70,30100,502,1,350
5,3,301,1,1198,30101,502,1,300
5,3,301,1,1198,30105,503,1,400
5,3,301,1,1198,30108,502,1,350
5,3,301,1,1198,30110,503,1,300
5,3,326,2,74,30111,502,1,500
5,3,326,2,74,30111,503,1,2300
5,3,326,2,74,30111,517,1,300000
5,3,326,2,74,30113,503,1,800
5,3,326,2,74,30114,503,1,400
5,3,326,2,74,30118,508,1,20000
5,3,326,2,74,30118,516,1,5000
5,3,305,2,1542,30122,503,1,2400
5,3,305,2,1542,30123,501,1,3000
5,3,305,2,1542,30123,503,1,300
5,3,312,2,20,30133,503,1,300
5,3,312,2,20,30133,507,1,1200
5,3,312,2,20,30134,503,1,300
5,3,312,2,20,30140,508,1,6000
5,3,305,2,4,30142,503,1,350
5,3,305,2,4,30144,515,1,100000
5,3,305,2,4,30148,503,1,350
5,3,305,2,4,30149,503,1,300
4,4,418,1,44,40003,516,1,5000
4,4,418,1,44,40003,517,1,4000
4,4,418,1,44,40004,502,1,450
4,4,418,1,44,40005,516,1,2300
4,4,418,1,44,40005,517,1,2500
4,4,418,1,44,40006,516,1,5000
4,4,418,1,44,40006,517,1,3000
4,4,418,1,44,40007,502,1,450
4,4,418,1,44,40008,501,1,750
4,4,418,1,44,40008,502,1,450
4,4,417,1,678,40013,516,1,2000
4,4,417,1,678,40013,517,1,3000
4,4,417,1,678,40014,516,1,2800
4,4,417,1,678,40014,517,1,3000
4,4,417,1,678,40015,502,1,400
4,4,417,1,678,40016,509,1,2000
4,4,417,1,678,40017,501,1,1000
4,4,417,1,678,40017,502,1,450
4,4,416,1,616,40021,516,1,2000
4,4,416,1,616,40021,517,1,3000
4,4,416,1,616,40022,516,1,1000
4,4,416,1,616,40022,517,1,1200
4,4,416,1,616,40023,516,1,3000
4,4,416,1,616,40023,517,1,5000
4,4,416,1,616,40024,509,1,2000
4,4,416,1,616,40025,502,1,250
4,4,416,1,616,40030,503,1,650
4,4,414,1,2176,40031,516,1,2000
4,4,414,1,2176,40031,517,1,2500
4,4,414,1,2176,40033,516,1,2500
4,4,414,1,2176,40033,517,1,3000
4,4,414,1,2176,40034,516,1,1500
4,4,414,1,2176,40034,517,1,5000
4,4,415,1,2108,40041,516,1,1200
4,4,415,1,2108,40041,517,1,1500
4,4,415,1,2108,40042,517,1,1000
4,4,415,1,2108,40043,516,1,2000
4,4,415,1,2108,40043,517,1,1500
4,4,415,1,2108,40044,516,1,500
4,4,415,1,2108,40044,517,1,1000
4,4,415,1,2108,40045,516,1,500
4,4,415,1,2108,40045,517,1,500
4,4,415,1,2108,40046,516,1,200
4,4,415,1,2108,40046,517,1,300
4,4,413,2,1540,40057,502,1,500
4,4,413,2,1540,40057,505,1,6000
4,4,413,2,1540,40058,502,1,1200
4,4,413,2,1540,40059,517,1,500
4,4,413,2,1540,40060,502,1,3800
4,4,413,2,1540,40060,509,1,2500
4,4,405,2,722,40062,502,1,400
4,4,405,2,722,40067,502,1,400
4,4,405,2,722,40068,516,1,200
4,4,405,2,722,40068,517,1,200
4,4,405,2,484,40072,516,1,3000
4,4,405,2,484,40072,517,1,3000
4,4,405,2,484,40076,502,1,1400
4,4,405,2,484,40077,501,1,600
4,4,405,2,484,40077,502,1,500
4,4,405,2,484,40078,502,1,1700
4,4,405,2,484,40079,517,1,1400
4,4,419,2,296,40085,502,1,670
4,4,419,2,296,40085,517,1,500000
4,4,419,2,296,40086,502,1,700
4,4,419,2,296,40089,517,1,4000
4,4,419,2,296,40090,517,1,1500
4,4,401,1,1460,40091,502,1,900
4,4,401,1,1460,40096,517,1,4000
4,4,401,1,1460,40097,517,1,5000
4,4,401,1,1460,40099,502,1,300
4,4,401,1,1460,40100,502,1,400
4,4,412,2,2592,40107,516,1,2000
4,4,412,2,2592,40107,517,1,1000
4,4,412,2,2592,40108,516,1,1500
4,4,412,2,2592,40108,517,1,1800
4,4,412,2,2592,40109,509,1,1500
4,4,412,2,2592,40109,516,1,2500
4,4,412,2,2592,40109,517,1,4000
4,4,412,2,2592,40110,516,1,1500
4,4,412,2,2592,40110,517,1,1500
4,4,412,2,1606,40115,516,1,2000
4,4,412,2,1606,40115,517,1,2000
4,4,412,2,1606,40116,516,1,1500
4,4,412,2,1606,40116,517,1,1700
4,4,412,2,1606,40117,516,1,1000
4,4,412,2,1606,40117,517,1,1200
4,4,412,2,1606,40118,516,1,1000
4,4,412,2,1606,40118,517,1,600
4,4,412,2,1606,40120,516,1,2000
4,4,412,2,1606,40120,517,1,6000
4,4,410,2,4036,40122,501,1,2500
4,4,410,2,4036,40122,502,1,3100
