"zone","state","lga","sector","ea","hhid","item_cd","s11eq9","s11eq10","s11eq11"
2,2,209,2,1040,20003,518,1,1000,0
2,2,209,2,1040,20003,519,1,200,0
2,2,209,2,1040,20006,519,1,1600,500
2,2,221,2,18,20011,518,1,1000,1000
2,2,221,2,18,20011,519,1,2400,2400
2,2,221,2,18,20020,518,1,400,200
2,2,221,2,18,20020,519,1,500,800
2,2,201,2,60,20022,519,1,2000,1000
2,2,201,2,60,20023,519,1,300,500
2,2,216,2,200,20034,518,1,1500,500
2,2,216,2,200,20034,519,1,1000,2000
2,2,216,2,200,20038,518,1,1000,1000
2,2,216,2,200,20038,519,1,500,500
2,2,216,2,200,20040,519,1,1500,0
2,2,203,2,1224,20041,518,1,1000,0
2,2,203,2,1224,20041,519,1,500,0
2,2,203,2,1224,20048,519,1,300,1000
2,2,212,2,956,20051,518,1,500,500
2,2,212,2,956,20051,519,1,1000,1500
2,2,212,2,956,20055,518,1,1000,1500
2,2,212,2,956,20055,519,1,400,1000
2,2,212,2,956,20056,518,1,400,300
2,2,212,2,956,20056,519,1,500,500
2,2,210,2,1300,20064,518,1,600,500
2,2,210,2,1300,20064,519,1,1200,1000
2,2,214,2,898,20078,518,1,500,0
2,2,214,2,898,20078,519,1,200,200
5,3,318,2,1136,30089,519,1,15000,15000
4,4,407,2,796,40134,518,1,2500,0
4,4,407,2,796,40134,519,1,1600,0
2,5,506,2,830,50007,519,1,1200,0
2,5,506,2,830,50008,519,1,500,0
2,5,506,2,830,50010,519,1,800,0
2,5,515,2,18,50028,519,1,1500,0
2,5,515,2,18,50029,519,1,2000,0
2,5,515,2,18,50030,519,1,1000,0
2,5,502,2,3878,50036,519,1,120,150
2,5,504,2,708,50041,519,1,1500,0
2,5,504,2,708,50046,518,1,150,0
2,5,504,2,708,50046,519,1,2000,0
2,5,504,2,708,50049,519,1,2050,0
2,5,516,2,942,50081,519,1,2000,2000
2,5,516,2,942,50082,519,1,1750,1750
2,5,516,2,942,50084,519,1,2500,2500
2,5,516,2,942,50088,519,1,1800,0
2,5,508,2,984,50095,519,1,500,500
2,5,510,2,1516,50141,519,1,3000,0
2,5,510,2,1516,50145,519,1,2800,
2,5,510,2,1516,50147,519,1,1800,
2,5,520,2,1756,50166,519,1,2000,0
2,5,520,2,1756,50168,519,1,1200,0
2,5,520,2,1756,50169,519,1,2500,0
2,5,520,2,1756,50170,519,1,1000,0
5,6,608,1,3978,60022,518,1,400,0
5,6,608,1,3978,60029,518,1,500,
5,6,607,2,1892,60039,519,1,,1000
1,7,707,2,560,70009,519,1,1400,0
1,7,705,2,4186,70024,519,1,1000,0
1,7,705,2,4186,70028,519,1,2000,
1,7,722,2,892,70048,519,1,1000,
1,7,711,2,2532,70062,519,1,1600,0
1,7,711,2,2532,70069,519,1,2000,2000
1,7,709,2,1226,70071,519,1,1500,1600
1,7,709,2,1226,70077,519,1,2000,2000
1,7,709,2,1226,70079,519,1,2000,2000
2,8,816,2,1270,80034,519,1,2800,
2,8,816,2,1270,80037,518,1,800,
2,8,816,2,1270,80037,519,1,1000,
2,8,811,2,390,80061,518,1,1200,0
2,8,811,2,390,80061,519,1,1600,500
2,8,811,2,390,80065,518,1,700,0
2,8,811,2,390,80065,519,1,800,0
2,8,802,2,1152,80075,518,1,800,
2,8,802,2,1152,80075,519,1,1500,
2,8,802,2,1152,80076,518,1,100,
2,8,802,2,1152,80076,519,1,1500,
2,8,812,2,866,80083,518,1,1000,
2,8,812,2,866,80083,519,1,1500,
2,8,812,2,866,80090,518,1,2800,2800
2,8,812,2,866,80090,519,1,3600,3600
2,8,827,2,804,80101,519,1,1800,
2,8,827,2,804,80108,519,1,12,1800
2,8,820,2,1030,80144,518,1,2300,0
2,8,820,2,1030,80144,519,1,2200,0
2,8,824,2,768,80156,518,1,,1300
2,8,824,2,768,80156,519,1,1250,
2,8,823,2,548,80171,518,1,,3200
2,8,823,2,548,80171,519,1,0,4600
2,8,823,2,548,80177,518,1,500,
2,8,823,2,548,80177,519,1,700,
2,8,823,2,548,80178,518,1,600,
2,8,823,2,548,80178,519,1,700,
2,8,823,2,548,80179,518,1,2600,
2,8,823,2,548,80179,519,1,3400,
2,8,809,2,1748,80181,518,1,1900,
2,8,809,2,1748,80181,519,1,2700,
2,8,809,2,1748,80184,518,1,1300,
2,8,809,2,1748,80184,519,1,2100,
2,8,809,2,1748,80186,518,1,1000,
2,8,809,2,1748,80186,519,1,800,
2,8,809,2,1748,80188,518,1,800,
2,8,809,2,1748,80188,519,1,500,
2,8,826,2,926,80198,519,1,2500,0
5,9,918,2,834,90100,519,1,8000,
5,9,913,2,2266,90126,519,1,1500,1500
2,15,1508,2,1682,150011,519,1,2800,2800
2,15,1508,2,1682,150016,519,1,3400,3400
2,15,1508,2,1682,150019,519,1,2000,2000
2,15,1511,2,1938,150023,519,1,2500,2500
2,15,1511,2,1938,150028,519,1,4000,4000
2,15,1502,2,590,150033,519,1,4500,4500
2,15,1502,2,590,150035,519,1,1900,1900
2,15,1502,2,590,150037,519,1,3000,3000
2,15,1510,2,616,150041,519,1,8000,8000
2,15,1510,2,616,150042,519,1,1500,1200
2,15,1510,2,616,150045,519,1,5000,5000
2,15,1510,2,616,150048,519,1,4500,4500
2,15,1507,2,458,150053,519,1,6000,6000
2,15,1507,2,458,150055,519,1,6000,6000
2,15,1507,2,458,150057,519,1,7000,7000
2,15,1507,2,458,150060,519,1,3500,3500
4,16,1624,1,286,160029,519,1,300,200
3,20,2018,2,1134,200013,519,1,300,300
3,21,2119,2,2146,210048,519,1,0,5000
1,26,2621,2,100,260077,519,1,1250,1550
1,26,2621,2,100,260078,519,1,600,800
1,26,2605,2,594,260094,519,1,2000,0
6,28,2807,2,1266,280123,518,1,15000,0
6,30,3033,2,554,300187,518,1,3000,0
6,30,3033,2,554,300187,519,1,1000,0
1,31,3111,2,2966,310031,519,1,,1500
1,31,3107,2,1092,310045,519,1,400,200
1,31,3113,2,332,310062,518,1,2000,
1,31,3113,2,332,310062,519,1,500,
1,31,3113,2,332,310063,519,1,600,1000
1,31,3109,2,1026,310072,519,1,3000,
1,31,3109,2,1026,310074,519,1,3000,0
1,31,3109,2,1026,310076,519,1,800,200
1,31,3109,2,1026,310080,519,1,400,200
1,31,3112,2,350,310086,519,1,700,0
1,31,3112,2,350,310087,519,1,700,
1,31,3112,2,350,310089,518,1,1600,
1,31,3112,2,350,310089,519,1,800,
1,31,3103,2,874,310104,519,1,600,0
1,31,3103,2,874,310109,518,1,1200,0
1,31,3103,2,874,310109,519,1,500,0
1,31,3103,2,874,310110,518,1,6300,
5,32,3206,2,276,320080,519,1,10000,60000
2,34,3401,2,526,340001,519,1,5000,7000
2,34,3401,2,526,340002,519,1,3800,
