"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d"
4,1,115,1,670,10001,0,0,0,0,0,0,0,0,0,3,4,2,3,2,1,2,,,,,,,,,,
4,1,115,1,670,10002,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,115,1,670,10003,2,1,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,115,1,670,10004,2,0,1,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,115,1,670,10006,2,2,2,2,0,0,0,0,0,3,,1,,,,1,5,,,7,,,10,,,"WEEDING"
4,1,115,1,670,10008,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
4,1,115,1,670,10009,0,0,0,0,0,0,0,0,0,3,,1,,,,1,4,,,,,,9,,,"LATE PYMT  OF SALARY"
4,1,115,1,670,10010,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10011,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10012,0,0,0,0,0,0,0,0,0,3,4,2,2,3,1,2,,,,,,,,,,
4,1,104,2,1364,10013,2,2,1,3,2,0,1,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10014,1,2,0,2,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10015,0,0,1,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10016,0,0,0,0,0,0,0,0,0,3,3,2,3,2,1,2,,,,,,,,,,
4,1,104,2,1364,10017,0,0,0,0,0,0,0,0,0,3,,2,2,1,,2,,,,,,,,,,
4,1,104,2,1364,10018,0,1,1,2,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10019,0,2,2,2,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
4,1,104,2,1364,10020,2,3,2,3,2,0,2,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,106,2,880,10021,1,1,1,0,1,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,106,2,880,10022,0,0,0,1,1,0,0,0,0,3,4,1,,,,2,,,,,,,,,,
4,1,106,2,880,10023,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,106,2,880,10024,2,2,1,0,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,
4,1,106,2,880,10025,3,2,1,1,0,0,1,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,106,2,880,10026,2,2,3,0,0,0,1,0,0,2,,1,,,,2,,,,,,,,,,
4,1,106,2,880,10027,4,3,4,4,3,4,4,2,0,3,,1,,,,1,6,,,,,,8,,,
4,1,106,2,880,10028,3,2,0,3,0,0,0,0,0,2,,1,,,,1,6,,,11,,,8,9,,
4,1,106,2,880,10029,4,5,3,5,6,0,0,0,0,3,5,1,,,,1,6,,,3,,,4,5,,
4,1,106,2,880,10030,6,5,4,4,3,0,2,2,0,2,0,1,,,,1,7,,,3,,,5,4,,
4,1,111,1,1146,10031,2,2,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10032,3,1,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10033,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10034,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10035,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10036,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10037,0,1,1,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
4,1,111,1,1146,10038,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
