"zone","state","lga","sector","ea","hhid","snet_cd","s14q1","s14q2a","s14q2b","s14q2c","s14q2d","s14q2e","s14q3","s14q4a","s14q4b","s14q4c","s14q4d","s14q4e","s14q5a","s14q5b"
2,2,209,2,1040,20003,113,1,,,,,200,2,2,,,,,91,2010
2,2,209,2,1040,20004,113,1,,,,4000,,,1,2,3,4,,9,2010
2,2,209,2,1040,20006,113,1,,4,,,2400,2,2,,,,,2,2010
2,2,221,2,18,20011,113,1,0,0,,,2000,2,2,,,,,9,2010
2,2,221,2,18,20020,113,1,0,0,,,4000,2,2,7,,,,9,2010
2,2,201,2,60,20022,113,1,,,,,2000,2,2,,,,,9,2010
2,2,201,2,60,20023,113,1,,,,,1200,2,2,3,,,,9,2010
2,2,201,2,60,20028,113,1,,,,,4000,2,2,6,,,,9,2010
2,2,216,2,200,20038,113,1,0,0,,,1200,2,1,2,,,,9,2010
2,2,203,2,1224,20048,113,1,,,,2400,,1,2,8,,,,9,2010
2,2,212,2,956,20055,113,1,,,,200,1,,,,,,2,9,2010
2,2,210,2,1300,20064,113,1,0,,,,2400,2,2,7,,,,9,2010
2,2,210,2,1300,20066,113,1,0,0,,0,1200,2,0,0,0,0,2,9,2010
2,2,210,2,1300,20067,113,1,0,0,,,1200,2,2,,,,,9,2010
2,2,214,2,898,20073,113,1,0,0,,,2400,2,2,4,,,,9,2010
2,2,214,2,898,20078,113,1,0,0,,,1200,2,2,,,,,9,2010
2,2,215,1,8,20089,113,1,,,,,1200,2,2,8,,,,,
2,2,215,1,8,20090,113,1,,,,,1200,2,3,,,,,9,2010
5,3,305,2,1542,30125,101,1,,5,1,1000,0,1,,,,,,,
4,4,413,2,1540,40060,105,1,,,,,,,,,,4,,3,2010
4,4,401,1,738,40166,113,1,500,,,,,1,,,,,,5,2010
4,4,421,1,800,40172,113,1,0,,,,1000,2,,,,,,,
4,4,403,2,836,40214,103,1,45000,,,,,1,,,,,,,
5,6,602,2,1356,60001,101,1,0,1,1,273,0,2,1,,,,,11,2010
5,6,602,2,1356,60005,101,1,0,1,1,273,200,2,1,,,,,12,2010
5,6,602,2,1356,60006,101,1,,1,1,273,,2,1,,,,,12,2010
5,6,602,2,1356,60008,101,1,0,1,1,273,0,2,1,2,,,,12,2010
5,6,602,2,1356,60009,101,1,0,1,1,273,0,2,1,2,,,,12,2010
5,6,602,2,1356,60010,101,1,,1,1,273,,2,1,,,,,12,2010
5,6,602,2,1356,60010,107,1,20000,,,,,2,9,,,,,12,2010
5,6,606,2,1372,60012,101,1,7000,10,1,3000,1200,1,,,,,,12,2010
5,6,608,1,3978,60021,101,1,0,1,1,273,,2,2,,,,,2,2011
5,6,608,1,3978,60026,101,1,0,3,1,900,500,2,1,2,,,,2,2011
5,6,608,1,3978,60027,101,1,0,3,1,900,500,2,1,2,,,,2,2011
5,6,608,1,3978,60030,101,1,0,2,1,600,500,2,1,2,,,,2,2011
5,6,607,2,1892,60033,107,1,12500,,,,,,4,,,,,1,2011
