"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,115,1,670,10001,1,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,0
4,1,115,1,670,10001,2,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,0
4,1,115,1,670,10001,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10001,5,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,0
4,1,115,1,670,10001,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10001,7,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,0
4,1,115,1,670,10002,1,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,0
4,1,115,1,670,10002,2,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,0
4,1,115,1,670,10002,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10002,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10002,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10002,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10002,7,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10003,1,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,0
4,1,115,1,670,10003,2,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,0
4,1,115,1,670,10003,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10003,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10003,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10003,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10004,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10004,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10004,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10006,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,115,1,670,10006,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10008,1,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,0
4,1,115,1,670,10008,2,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,0
4,1,115,1,670,10008,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10008,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10008,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10008,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10008,7,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10009,1,13,,,,13,,,,13,,,,13,,,,13,,,,13,,,,0
4,1,115,1,670,10009,2,15,,,,15,,,,15,,,,15,,,,15,,,,15,,,,0
4,1,115,1,670,10009,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10010,1,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,0
4,1,115,1,670,10010,2,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,0
4,1,115,1,670,10010,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,115,1,670,10010,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10011,1,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10011,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10011,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10011,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10011,5,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10011,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10012,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10012,3,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,104,2,1364,10012,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,104,2,1364,10012,5,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
