"zone","state","lga","sector","ea","hhid","indiv","s4bq1","s4bq2","s4bq3","s4bq4","s4bq4b","s4bq5","s4bq6","s4bq7","s4bq8","s4bq9","s4bq10","s4bq11","s4bq12","s4bq13","s4bq14","s4bq15","s4bq16","s4bq17","s4bq18","s4bq19","s4bq20","s4bq21","s4bq22","s4bq23","s4bq23b","s4bq24","s4bq25","s4bq25b","s4bq26a","s4bq26b","s4bq26c","s4bq26d","s4bq26e","s4bq27","s4bq28"
4,1,115,1,670,10001,3,1,2,1,1,,1,3.59999990463257,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,6,,,,,,,,7,2
4,1,115,1,670,10002,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10009,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10009,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10009,3,1,2,1,1,,1,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,0,,,1,,,,,2,1
4,1,115,1,670,10009,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,6,1,5,1,1,,2,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,3,4,,1,2,6,,,3,2
4,1,104,2,1364,10012,7,1,5,1,1,,2,4.5,1,2,1,2,2,2,1,1,2,2,2,2,1,1,,1,,,0,4,,4,5,2,,,1,1
4,1,104,2,1364,10016,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10019,5,1,3,1,1,,1,99,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,1,,,6,,,1,2,3,,,0,1
4,1,106,2,880,10029,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,536,10044,5,1,2,1,1,,1,,1,1,1,1,2,2,1,1,2,2,2,2,2,1,,1,,,9,,,1,3,5,,,9,2
4,1,102,1,536,10044,6,1,2,1,1,,1,,1,1,1,1,2,2,1,1,2,2,2,2,2,1,,1,,,3,,,1,3,5,,,,1
4,1,102,1,1690,10052,5,1,2,1,1,,2,2.59999990463257,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,0,7,"DONT LIKE IT",1,2,3,4,,8,2
4,1,102,1,1690,10059,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,7,1,2,1,1,,3,99,1,1,1,1,1,2,1,1,2,2,1,2,2,1,,1,,,11,,,8,,,,,5,2
4,1,117,2,560,10071,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,8,1,2,1,1,,2,3.29999995231628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,0,5,,1,2,3,5,,1,1
4,1,117,2,560,10080,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,7,1,2,1,1,,1,99,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,,,3,2,,1,2,,,,0,2
4,1,105,2,638,10092,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10092,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10092,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10098,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10099,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10101,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10101,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20003,4,1,2,1,2,,2,1.79999995231628,1,2,2,1,1,2,2,2,2,2,2,2,2,1,,1,,,,5,,1,2,,,,,2
2,2,209,2,1040,20004,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
