"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,115,1,670,10001,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10001,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10001,4,2,,,,,,,,,,,,,,
4,1,115,1,670,10001,5,2,,,,,,,,,,,,,,
4,1,115,1,670,10001,6,2,,,,,,,,,,,,,,
4,1,115,1,670,10001,7,2,,,,,,,,,,,,,,
4,1,115,1,670,10002,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10002,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10002,4,2,,,,,,,,,,,,,,
4,1,115,1,670,10002,5,2,,,,,,,,,,,,,,
4,1,115,1,670,10002,6,2,,,,,,,,,,,,,,
4,1,115,1,670,10002,7,2,,,,,,,,,,,,,,
4,1,115,1,670,10003,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10003,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10003,3,2,,,,,,,,,,,,,,
4,1,115,1,670,10003,4,2,,,,,,,,,,,,,,
4,1,115,1,670,10003,5,2,,,,,,,,,,,,,,
4,1,115,1,670,10004,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10004,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10004,3,2,,,,,,,,,,,,,,
4,1,115,1,670,10006,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10006,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10008,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10008,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10008,3,2,,,,,,,,,,,,,,
4,1,115,1,670,10008,4,2,,,,,,,,,,,,,,
4,1,115,1,670,10008,5,2,,,,,,,,,,,,,,
4,1,115,1,670,10008,6,2,,,,,,,,,,,,,,
4,1,115,1,670,10009,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10009,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10009,4,2,,,,,,,,,,,,,,
4,1,115,1,670,10010,1,2,,,,,,,,,,,,,,
4,1,115,1,670,10010,2,2,,,,,,,,,,,,,,
4,1,115,1,670,10010,3,2,,,,,,,,,,,,,,
4,1,115,1,670,10010,4,2,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,2,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,2,,,,,,,,,,,,,,
4,1,104,2,1364,10011,3,2,,,,,,,,,,,,,,
4,1,104,2,1364,10011,4,2,,,,,,,,,,,,,,
4,1,104,2,1364,10011,5,2,,,,,,,,,,,,,,
4,1,104,2,1364,10011,6,2,,,,,,,,,,,,,,
4,1,104,2,1364,10012,2,2,,,,,,,,,,,,,,
4,1,104,2,1364,10012,3,2,,,,,,,,,,,,,,
4,1,104,2,1364,10012,4,2,,,,,,,,,,,,,,
4,1,104,2,1364,10012,5,2,,,,,,,,,,,,,,
