"zone","state","lga","sector","ea","hhid","item_cd","s7other","s7x","s7q1","s7q2","s7q3","s7q4a","s7q4b","s7q4c","s7q5","s7q6","s7q7","s7q8a","s7q8b","s7q8c","trackingobs"
4,1,115,1,670,10001,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,302,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,305,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,306,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,313,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10001,328,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,302,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,305,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,306,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,308,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,313,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,325,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10002,330,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,302,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,305,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,307,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,313,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,328,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10003,329,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,302,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,305,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,307,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,308,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,310,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,312,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,313,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,328,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,329,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10004,330,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,308,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,310,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,312,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,313,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,324,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,329,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10006,330,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,302,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,305,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,307,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,312,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,313,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,323,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,324,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,328,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,329,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10008,330,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,302,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,308,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,312,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,324,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,327,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,328,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,329,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10009,332,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,301,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,303,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,304,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,305,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,306,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,308,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,311,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,312,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,319,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,320,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,321,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,322,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,326,,"X",2,,,,,,2,,,,,,0
4,1,115,1,670,10010,327,,"X",2,,,,,,2,,,,,,0
