"zone","state","lga","sector","ea","hhid","plotid","cropid","s11eq1","s11eq2","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq6c","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq10c","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15","s11eq16","s11eq17a","s11eq17b","s11eq17c","s11eq18","s11eq19","s11eq19b","s11eq20","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27","s11eq28a","s11eq28b","s11eq28c","s11eq29","s11eq30","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35"
4,1,115,1,670,10005,1,1,"CASSAVA",1020,1,1,1020,1,3,"BUNDLE",2,,2,,,,,,,,,,1,"N2",1020,5,3,"BUNDLE",400,6,,1800,1,,,,2,,,,,,,,,,,,,
4,1,115,1,670,10005,1,2,"MAIZE",1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10005,1,3,"PUMKIN",2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,1,"CASSAVA",1020,1,1,1020,5,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,2,"MAIZE",1080,1,1,1080,1,3,"CUP",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,3,"MELON",1090,1,1,1090,1,3,"CUP",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,1,"CASSAVA",1020,1,1,1020,6,3,"BUNDLES",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,2,"MAIZE",1080,1,1,1080,1,3,"CUP",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,3,"MELON",1090,1,1,1090,1,3,"CUP",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,1,1,1020,5,3,"BUNDLE",1,,2,,,,,,,,,,1,"N1",1020,6,3,"BUNDLE",100,5,,3000,1,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,2,3,"CUP",0,,,1000,1,,,,2,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,1,1,1020,5,3,"BUNDLES",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,3,3,"CUPS",0,1,,200,1,,,,2,,,,,,,,,,,,,
