"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11fq1a","s11fq1b","s11fq1c","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq4d"
4,1,104,2,1364,10011,1,1,1020,500,3,,4,,4,2010,6,4,"BASIN",
4,1,104,2,1364,10011,1,2,1080,550,3,,4,,4,2010,3,4,"BASIN",2
4,1,104,2,1364,10011,1,3,1090,400,1,,4,,4,2010,12,4,"CUP",2
4,1,104,2,1364,10011,2,1,1020,550,3,,4,,2,2010,7,4,"BASIN",
4,1,104,2,1364,10011,2,2,1080,600,3,,4,,2,2010,3,4,"BASIN",2
4,1,104,2,1364,10011,2,3,1090,450,1,,4,,2,2010,15,4,"CUPS",2
4,1,104,2,1364,10012,1,1,1020,2000,3,,4,,3,2010,20,4,"BASIN",
4,1,104,2,1364,10012,1,2,1080,1900,3,,4,,3,2010,10,4,"BASIN",2
4,1,104,2,1364,10013,1,1,1020,900,1,,4,,4,2010,1200,1,,
4,1,104,2,1364,10013,1,2,1080,400,3,,4,,4,2010,200,4,"BAG",
4,1,104,2,1364,10013,1,3,2190,80,1,,4,,5,2010,15,2,,
4,1,104,2,1364,10013,2,1,1020,1000,1,,4,,4,2010,1500,1,,
4,1,104,2,1364,10013,2,2,1080,500,3,,4,,4,2010,25,4,"BAG",
4,1,104,2,1364,10013,3,1,1020,990,1,,4,,4,2010,1700,1,,
4,1,104,2,1364,10013,3,2,1080,300,3,,4,,4,2010,20,4,"BAG",
4,1,104,2,1364,10015,1,1,1020,500,3,,4,,4,2010,4,4,"BASIN",
4,1,104,2,1364,10015,1,2,1080,450,3,,4,,4,2010,3,4,"CUP",2
4,1,104,2,1364,10015,1,3,2170,200,3,,4,,9,2010,20,4,"BUNCH",
4,1,104,2,1364,10015,2,1,1020,250,3,,1,,2,2010,4,4,"BASIN",
4,1,104,2,1364,10016,1,1,1020,140,1,,4,,3,2010,100,1,,
4,1,104,2,1364,10016,1,2,1080,80,3,,4,,3,2010,80,2,,2
