"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11gq1a","s11gq1b","s11gq1c","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","s11gq8c"
4,1,106,2,880,10022,3,2,3180,80,3,,5,1975,0,4,2010,7,2010,2,,,15,,
4,1,106,2,880,10023,3,2,3180,50,3,,6,1986,0,4,2010,7,2010,2,,,17,2,
4,1,106,2,880,10024,3,1,3180,50,3,,50,1978,0,9,2009,8,2010,1,2,,100,2,
4,1,106,2,880,10025,3,2,3180,30,3,,30,98,0,8,2009,8,2010,1,2,,150,3,
4,1,106,2,880,10026,3,3,3180,5,3,,5,1980,0,10,2009,7,2010,2,,,30,2,
4,1,106,2,880,10029,3,6,3050,2,3,,2,,0,1,2010,12,2010,2,,,,,
4,1,106,2,880,10029,3,7,3180,6,3,,6,,0,2,2010,4,2010,2,,,9,2,
4,1,106,2,880,10029,3,8,3170,5,3,,5,,0,,,,,2,,,,,
4,1,106,2,880,10029,3,9,3090,2,3,,2,,0,,,,,2,,,,,
4,1,111,1,1146,10034,1,4,3160,80,3,,1,1985,0,2,2010,6,2010,2,,,3,4,"BASIN"
4,1,111,1,1146,10034,1,5,3050,80,3,,3,1980,0,1,2010,12,2010,2,,,0,,
4,1,107,2,1044,10063,3,3,3180,60,3,,4,1975,0,4,2010,7,2010,1,10,,20,2,
4,1,107,2,1044,10065,3,2,3180,50,3,,5,1980,0,3,2010,7,2010,2,,,0,,
4,1,117,2,560,10071,4,1,3180,50,3,,50,2010,50,,,,,2,,,0,,
4,1,117,2,560,10073,1,3,3180,40,3,,1,1980,0,4,2009,7,2009,2,,,0,,
4,1,117,2,560,10074,1,3,3180,40,3,,2,1978,0,4,2010,8,2010,2,,,0,,
4,1,117,2,560,10074,1,4,3220,4,3,,1,1980,0,3,2010,7,2010,2,,,5,4,"BASIN"
