"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11hq1","s11hq2a","s11hq2b","s11hq2c","s11hq3","s11hq4","s11hq5a","s11hq5b","s11hq5c","s11hq6","s11hq7a","s11hq7b","s11hq8","s11hq9","s11hq9b","s11hq10","s11hq11","s11hq12a","s11hq12b","s11hq12c","s11hq13","s11hq14a","s11hq14b","s11hq15","s11hq16","s11hq16b","s11hq17a","s11hq17b","s11hq17c","s11hq18a","s11hq18b","s11hq18c","s11hq19a","s11hq19b","s11hq19c","s11hq20a","s11hq20b","s11hq20c","s11hq20d","s11hq21","s11hq21b","s11hq22","s11hq23","s11hq23b","s11hq24a","s11hq24b","s11hq24c","s11hq25a","s11hq25b","s11hq25c","s11hq26a","s11hq26b","s11hq26c"
4,1,115,1,670,10005,1,2,1080,1,300,3,,3500,"N3",300,3,,3500,2,,600,7,"TRICYCLE",2,,,,,,,,,,,30,3,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10011,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10011,1,2,1080,1,1,4,"BASIN",600,"N1",1,4,"BASIN",600,1,,0,1,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,1,1,,1,4,"BASIN",2,,,3,1,
4,1,104,2,1364,10011,1,3,1090,1,9,4,"CUPS",300,"N2",9,4,"CUPS",300,1,,0,1,,2,,,,,,,,,,,1,4,"CUP",0,,,0,,,0,,,,,,1,1,,2,4,"CUPS",4,,,3,1,
4,1,104,2,1364,10011,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10011,2,2,1080,1,2,4,"BASINS",1200,"N1",2,4,"BASINS",1200,1,,,1,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10011,2,3,1090,1,12,4,"CUPS",400,"N2",12,4,"CUPS",400,1,,,1,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10012,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10012,1,2,1080,1,6,4,"BASIN",3000,"N2",6,4,"BASIN",3000,2,,0,1,,2,,,,,,,,,,,1,4,"BASIN",0,,,0,,,0,,,,,,1,1,,1,4,"BASIN",2,4,,3,2,
4,1,104,2,1364,10013,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10013,1,2,1080,1,50,3,,700,"N2",50,3,,700,1,,0,1,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,1,3,,30,3,,2,4,,1,3,
4,1,104,2,1364,10013,1,3,2190,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,"BUNDLE",0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10013,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10013,2,2,1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10013,3,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10013,3,2,1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,0,,,0,,,,,,1,3,,20,3,,2,4,,1,3,
4,1,104,2,1364,10015,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10015,1,2,1080,1,15,3,,750,"N2",15,3,,750,1,2,0,1,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10015,1,3,2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10015,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10016,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10016,1,2,1080,1,50,3,,600,"N1",50,3,,600,2,,100,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,1,2,,30,3,,4,,,1,3,
4,1,104,2,1364,10016,1,3,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10016,2,1,1080,1,30,3,,300,"N1",30,3,,300,2,,100,4,,2,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,1,2,,47,3,,4,,,1,3,
4,1,104,2,1364,10016,2,2,2193,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10017,1,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10017,1,2,1080,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10017,1,3,2193,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10017,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10017,2,2,2193,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,1,1121,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,3,1080,1,900,3,,12600,"N1",800,3,,10000,2,,0,1,,2,,,,,,,,,,,0,,,0,,,70,3,,0,,,,,,1,5,"SMOKING",30,3,,2,,,3,,
4,1,104,2,1364,10018,1,4,2140,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,5,2191,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,1,6,2170,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10018,2,1,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,1,1123,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,3,1080,1,350,3,,7000,"N1",250,3,,5000,1,,0,1,,2,,,,,,,,,,,0,,,0,,,50,3,,0,,,,,,1,5,"SMOKING",50,3,,2,,,3,,
4,1,104,2,1364,10019,1,4,2191,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,1,5,2140,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,2,1,1121,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
4,1,104,2,1364,10019,2,2,1020,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,2,,,,,,,,,,,
