"zone","state","lga","sector","ea","hhid","item_cd","s11ic2","s11iq1","s11iq2","s11iq3","s11iq4a","s11iq4b","s11iq5a","s11iq5b","s11iq6","s11iq7","s11iq8","s11iq9","s11iq10","s11iq11","s11iq12a","s11iq12b","s11iq13","s11iq14","s11iq15","s11iq16","s11iq17","s11iq18a","s11iq18b","s11iq19a","s11iq19b","s11iq20","s11iq21a","s11iq21b","s11iq21c","s11iq21d","s11iq22","s11iq23a","s11iq23b","s11iq24a","s11iq24b","s11iq24c"
4,1,115,1,670,10005,113,,1,1,7500,2,,2,1,3,0,0,0,0,,,,0,0,0,0,,,,0,2,1,9,,,,0,,,,,
4,1,104,2,1364,10013,114,,1,11,1000,1,,1,,10,5,0,0,0,,,,0,0,4,0,,,,0,0,1,4,3,,,0,,,,,
4,1,104,2,1364,10015,110,,1,3,4000,1,2,1,2,3,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,104,2,1364,10019,110,,1,3,5000,1,,1,2,1,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,106,2,880,10021,114,,1,9,700,1,2,1,2,6,4,0,0,0,,,,0,0,1,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10022,110,,1,7,5000,1,,1,,7,2,0,0,0,,,,0,0,0,0,,,,0,2,2,,,,,0,,,,,
4,1,106,2,880,10022,111,,1,2,4000,1,,1,,2,2,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10022,114,,1,13,700,2,,2,,10,3,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10022,115,,1,13,1000,2,,2,,13,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10023,110,,1,8,4000,1,,1,,6,2,0,0,0,,,,0,0,0,0,,,,0,0,1,8,0,8,0,8,"N5",,8,8,8
4,1,106,2,880,10024,114,,1,12,700,1,,1,2,10,7,0,0,0,,,,0,0,3,2,1600,"N1",,0,0,2,,,,,0,,,,,
4,1,106,2,880,10025,114,,1,3,700,2,,1,2,3,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10029,113,,1,3,2500,2,1,2,,3,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10029,114,,1,6,600,2,1,2,,6,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10029,115,,1,3,2500,2,1,2,,3,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10030,110,,1,4,7000,1,,1,2,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,106,2,880,10030,114,,1,10,600,2,,1,2,6,4,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,107,2,1044,10063,114,,1,12,600,2,,2,,6,8,0,0,0,,,,0,0,0,1,600,"N2",,1,0,2,,,,,0,,,,,
4,1,107,2,1044,10066,110,,1,3,5000,2,,2,,7,0,0,0,0,,,,0,0,0,4,20000,"N1",,0,0,2,,,,,0,,,,,
4,1,107,2,1044,10066,114,,1,11,800,2,,2,,12,3,0,0,0,,,,0,0,2,2,1600,"N1",,0,0,2,,,,,0,,,,,
4,1,107,2,1044,10067,114,,1,5,800,2,,1,2,5,6,0,0,0,,,,0,0,4,2,1600,"N1",,0,0,2,,,,,0,,,,,
4,1,107,2,1044,10068,111,,1,2,5000,1,,2,,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,107,2,1044,10068,114,,1,5,800,2,,1,2,5,2,0,0,0,,,,0,0,2,0,,,,0,0,2,,,,,0,,,,,
4,1,107,2,1044,10069,114,,1,10,500,1,,1,,10,3,0,0,0,,,,0,0,3,0,,,,0,,2,,,,,0,,,,,
4,1,117,2,560,10071,114,,1,10,800,2,,2,,10,4,0,0,0,,,,0,0,4,0,,,,0,0,2,,,,,0,,,,,
4,1,117,2,560,10072,110,,1,1,6000,1,,1,,3,0,0,0,0,,,,0,0,0,2,13000,"N1",,0,0,2,,,,,0,,,,,
4,1,117,2,560,10072,114,,1,6,1000,2,,2,,10,2,0,0,0,,,,0,0,5,1,1000,"N1",,0,0,2,,,,,0,,,,,
4,1,117,2,560,10073,110,,1,2,3000,1,,1,,2,0,2,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,117,2,560,10073,114,,1,6,700,1,,1,,7,5,0,0,0,,,,4,0,0,1,300,"N1",,1,0,2,,,,,0,,,,,
4,1,117,2,560,10074,110,,1,2,4000,1,,1,2,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,117,2,560,10074,114,,1,18,700,1,,1,2,12,6,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,117,2,560,10078,110,,1,2,8000,1,,1,,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,117,2,560,10079,110,,1,2,4000,2,,2,,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,117,2,560,10080,110,,1,5,4000,1,,1,,5,0,0,0,0,,,,0,0,0,0,,,,,0,2,,,,,0,,,,,
4,1,117,2,560,10080,114,,1,10,600,1,,1,,6,4,0,0,0,,,,0,0,2,0,,,,,0,2,,,,,0,,,,,
4,1,110,2,76,10084,110,,1,4,6000,1,,1,,3,1,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,110,2,76,10085,110,,1,2,4500,1,,1,,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,110,2,76,10086,110,,1,2,8000,2,,2,,2,0,0,0,0,,,,0,0,0,0,,,,0,,1,4,,,,0,,,,,
4,1,110,2,76,10087,110,,1,2,7000,1,,1,,2,0,0,0,0,,,,0,0,0,0,,,,0,,1,4,,,,0,,,,,
4,1,110,2,76,10088,110,,1,6,6000,2,,2,,4,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,105,2,638,10100,110,,1,5,7000,1,2,1,1,5,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,105,2,638,10100,114,,1,4,600,2,1,2,2,4,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
4,1,108,2,904,10102,110,,1,2,5000,1,,1,,2,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,108,2,904,10102,114,,1,2,700,2,,2,,2,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,108,2,904,10103,114,,1,6,800,2,,2,,4,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,0,,,,,
4,1,108,2,904,10107,110,,1,8,8000,1,,1,2,8,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,8,"N4",,11,,
4,1,108,2,904,10107,111,,1,2,9000,1,,1,2,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,"N4",,11,,
2,2,209,2,1040,20001,110,,1,3,6000,1,,6,,5,4,0,0,0,,,,,,4,2,8500,"N2",,,,1,,,,,,,,,,
2,2,209,2,1040,20001,114,,1,35,600,1,,6,,16,30,0,4,0,,,,,,6,0,,,,,9,2,,,,,,,,,,
2,2,209,2,1040,20002,110,,1,8,4000,,1,4,2,5,3,0,0,0,,,,0,0,0,0,,,,0,0,1,,1,,,,,,,,
2,2,209,2,1040,20002,114,,1,10,500,,1,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,110,,1,3,6000,1,,6,,4,0,0,0,0,,"N1",,,,,1,3000,"N3",,,,2,,,,,,,,,,
2,2,209,2,1040,20005,111,,1,1,8000,1,,6,,1,0,0,0,0,,"N1",,,,,0,,,,,,2,,,,,,,,,,
2,2,209,2,1040,20006,101,,1,8,25000,1,,4,2,5,3,0,0,0,,"N6","N7",0,0,0,0,,,,,,2,,,,,8,"N8",,4,3,8
2,2,209,2,1040,20006,102,,1,7,20000,1,,4,2,3,4,0,0,0,,,,,,0,0,,,,,,2,,,,,7,,,,,
2,2,209,2,1040,20006,103,,1,5,50000,1,,4,2,3,2,0,0,0,,,,,,,,,,,,,2,,,,,7,,,,,
2,2,209,2,1040,20006,105,,1,6,45000,1,,3,4,4,2,0,0,0,,,,,,,0,,,,0,0,,,,,,6,,,,,
2,2,209,2,1040,20006,106,,1,3,65000,1,,3,4,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,110,,1,6,5000,1,,4,4,3,3,0,0,0,,,,0,0,0,0,,,,,,2,,,,,6,,,,,
2,2,209,2,1040,20006,111,,1,9,14000,1,3,4,3,7,2,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,9,,,,,
2,2,209,2,1040,20006,114,,1,26,500,1,3,2,3,18,8,0,0,0,,,,2,0,0,0,,,,0,,1,1,3,,,,,,,,
2,2,209,2,1040,20006,118,,1,4,1000,4,,,2,,,,,,,,,,,1,,,,,0,,2,,,,,,,,,,
2,2,209,2,1040,20006,120,,1,16,650,1,,3,4,9,7,0,0,0,,,,0,0,0,0,,,,,,2,,,,,0,,,,,
2,2,209,2,1040,20007,110,,1,3,1500,1,2,1,2,3,,,,,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,209,2,1040,20007,123,,1,1,200,1,2,1,2,1,,,,,,,,1,,,,,,,,,2,,,,,2,,,,,
2,2,209,2,1040,20008,110,,1,2,6500,2,,1,,3,,,,,,,,,,1,1,5000,"N1",,,1,2,,,,,,,,,,
2,2,209,2,1040,20008,114,,1,3,500,1,,1,,18,15,,,,,,,,,3,15,7000,"N2",,,10,1,3,,,,,,,,,
2,2,209,2,1040,20009,110,,1,6,8000,7,,7,,3,3,0,0,0,,,,0,0,0,0,,,,,0,2,,,,,2,,,,,
2,2,209,2,1040,20010,114,,1,12,200,1,2,1,2,5,7,0,0,0,,,,,,,,,,,,,2,,,,,2,,,,,
2,2,221,2,18,20011,110,,1,4,5000,1,,4,5,2,1,0,0,1,3400,"N3",,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20011,123,,1,1,200,1,,2,3,1,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,221,2,18,20014,106,,1,2,100000,1,,4,5,2,0,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,2,"N6",,4,,
