"zone","state","lga","sector","ea","hhid","item_cd","s11jq1","s11jq2a","s11jq2b","s11jq3a","s11jq3b","s11jq4"
4,1,106,2,880,10027,1,1,4200,0,,,2
2,2,209,2,1040,20006,2,1,1200,0,"N9",,2
2,2,209,2,1040,20006,3,1,4350,0,"N8",,2
2,2,209,2,1040,20006,5,1,500,0,,,2
2,2,209,2,1040,20006,6,1,200,0,,,2
2,2,209,2,1040,20009,5,1,1500,,"N6",,2
2,2,221,2,18,20014,2,1,250,,"N5",,2
2,2,221,2,18,20014,3,1,1000,,"N5",,2
2,2,221,2,18,20015,3,1,800,0,"N5",,2
2,2,221,2,18,20016,2,1,2000,0,"N3","N2",2
2,2,221,2,18,20016,3,1,2200,0,"N3",,2
2,2,221,2,18,20016,7,1,500,0,"N6",,2
2,2,221,2,18,20020,2,1,2000,0,"N6",,2
2,2,221,2,18,20020,3,1,1800,0,"N6",,2
2,2,221,2,18,20020,5,1,1500,0,"N6",,2
2,2,221,2,18,20020,6,1,500,0,"N6",,2
2,2,201,2,60,20022,2,1,10000,,,,2
2,2,201,2,60,20022,3,1,15000,,"N6","N7",2
2,2,201,2,60,20022,6,1,1500,,,,2
2,2,201,2,60,20022,7,1,3000,,,,2
2,2,201,2,60,20022,8,1,8000,,,,2
2,2,201,2,60,20023,7,1,200,,"N1","N3",2
2,2,201,2,60,20028,2,1,8000,0,"N4",,2
2,2,201,2,60,20028,6,1,1200,0,"N3",,2
2,2,216,2,200,20034,2,1,4000,,,,2
2,2,216,2,200,20034,3,1,10000,,,,2
2,2,216,2,200,20034,6,1,350,,,,2
2,2,203,2,1224,20044,1,1,60000,0,"N5",,2
2,2,203,2,1224,20044,2,1,3900,0,"N6",,2
2,2,203,2,1224,20044,3,1,5000,0,"N7",,2
2,2,203,2,1224,20045,2,1,10000,0,,,2
2,2,203,2,1224,20045,3,1,6500,0,,,2
2,2,203,2,1224,20045,4,1,15000,0,,,2
2,2,203,2,1224,20047,2,1,10000,0,"N3",,2
2,2,203,2,1224,20047,3,1,2000,0,"N3",,2
2,2,203,2,1224,20047,6,1,4000,0,"N1",,2
2,2,203,2,1224,20047,7,1,2000,0,"N4",,2
2,2,203,2,1224,20048,3,1,300,0,"N3",,2
2,2,203,2,1224,20049,2,1,100,,"N5",,2
2,2,203,2,1224,20049,3,1,800,,"N4",,2
2,2,212,2,956,20051,2,1,1500,,"N3",,2
2,2,212,2,956,20051,6,1,12000,,"N3",,2
2,2,212,2,956,20052,2,1,6600,,,,
2,2,212,2,956,20053,2,1,30000,,"N1",,2
2,2,212,2,956,20053,3,1,25000,,"N4",,2
2,2,212,2,956,20053,6,1,1500,,"N3",,2
2,2,212,2,956,20053,7,1,1750,,"N5",,2
2,2,212,2,956,20054,1,1,9000,0,"N3",,2
2,2,212,2,956,20054,2,1,2000,0,"N3",,2
2,2,212,2,956,20054,3,1,4000,0,"N3",,2
2,2,212,2,956,20054,6,1,600,0,"N3",,2
2,2,212,2,956,20055,2,1,2300,0,"N6",,2
2,2,212,2,956,20055,3,1,1500,0,"N7",,2
2,2,212,2,956,20055,5,1,500,0,"N7",,2
2,2,212,2,956,20055,6,1,200,0,,,2
2,2,212,2,956,20055,7,1,150,0,,,2
2,2,212,2,956,20057,2,1,34000,0,"N4",,2
2,2,212,2,956,20057,3,1,130000,0,"N3",,2
2,2,212,2,956,20058,2,1,30000,,"N1",,2
2,2,212,2,956,20058,3,1,10000,,"N3",,2
2,2,212,2,956,20060,2,1,35000,,"N2",,2
2,2,212,2,956,20060,3,1,140000,,"N1",,2
2,2,210,2,1300,20063,2,1,16000,0,"N8",,2
2,2,210,2,1300,20063,3,1,8000,,"N8",,2
2,2,210,2,1300,20064,2,1,2500,,"N2",,2
2,2,210,2,1300,20064,3,1,1500,,"N2",,2
2,2,210,2,1300,20064,5,1,1000,,,,
2,2,210,2,1300,20064,6,1,500,,,,2
2,2,210,2,1300,20068,2,1,800,2,,,2
2,2,210,2,1300,20070,2,1,4000,,"N7",,2
2,2,210,2,1300,20070,3,1,7800,,"N6",,2
2,2,210,2,1300,20070,6,1,1000,,,,2
2,2,214,2,898,20072,2,1,5000,0,"N6",,2
2,2,214,2,898,20072,3,1,10000,2500,"N6",,2
2,2,214,2,898,20072,7,1,5000,0,"N6",,2
2,2,214,2,898,20073,2,1,1000,1,"N3",,2
2,2,214,2,898,20073,3,1,500,1,"N3",,2
2,2,214,2,898,20073,6,1,300,1,"N3",,2
2,2,214,2,898,20074,2,1,25000,5000,"N5","N4",2
2,2,214,2,898,20074,3,1,2000,,"N3",,2
2,2,214,2,898,20074,6,1,,3000,"N4",,2
2,2,214,2,898,20075,2,1,24000,0,"N3",,2
2,2,214,2,898,20075,3,1,20000,0,"N6",,2
2,2,214,2,898,20075,4,1,60000,0,"N7",,2
2,2,214,2,898,20078,2,1,21600,0,"N2",,2
2,2,214,2,898,20078,3,1,600,0,"N1",,2
2,2,214,2,898,20078,5,1,500,0,"N2",,2
2,2,214,2,898,20078,6,1,960,0,"N1",,2
2,2,214,2,898,20078,9,1,1000,0,"N2",,2
2,2,215,1,8,20085,2,1,3000,,"N3",,2
2,2,215,1,8,20085,3,1,2000,,"N1",,2
2,2,215,1,8,20085,5,1,1000,,,,
2,2,215,1,8,20085,6,1,200,,,,
2,2,215,1,8,20090,2,1,5000,,"N3",,2
2,2,215,1,8,20090,6,1,400,,,,
2,2,215,1,8,20090,9,1,500,,,,
2,2,207,2,1302,20091,2,1,1200,,"N5",,2
2,2,207,2,1302,20091,3,1,1800,,"N5",,2
2,2,207,2,1302,20093,3,1,400,,"N4",,2
2,2,207,2,1302,20095,2,1,2000,,"N4",,
2,2,207,2,1302,20095,6,1,300,,,,
2,2,205,2,712,20106,3,1,2000,0,"N1",,2
2,2,218,2,1592,20111,1,1,,,,,
2,2,218,2,1592,20111,2,1,2000,,"N5",,2
2,2,218,2,1592,20111,3,1,3000,,"N4",,2
2,2,218,2,1592,20113,2,1,5000,,"N1",,2
2,2,218,2,1592,20113,3,1,300,,"N1",,2
2,2,218,2,1592,20113,5,1,2000,,,,2
2,2,218,2,1592,20113,6,1,800,,,,2
2,2,218,2,1592,20113,7,1,1000,,,,2
2,2,218,2,1592,20114,2,1,10000,,"N7",,2
2,2,218,2,1592,20114,3,1,14000,,"N7",,2
2,2,218,2,1592,20116,2,1,,4500,"N8",,2
2,2,218,2,1592,20116,3,1,,3000,"N9",,2
2,2,218,2,1592,20117,2,1,5000,,"N1",,2
2,2,218,2,1592,20117,6,1,1200,,"N1",,2
2,2,218,2,1592,20118,2,1,4000,,,,2
2,2,218,2,1592,20118,3,1,5000,,"N1",,2
2,2,218,2,1592,20118,5,1,2000,,,,2
2,2,218,2,1592,20118,6,1,500,,,,2
2,2,218,2,1592,20118,9,1,1500,,,,2
2,2,218,2,1592,20119,1,1,30000,,"N3",,2
5,3,331,1,516,30011,2,1,30000,,"N4",,2
5,3,331,1,516,30011,3,1,5000,,"N5",,2
5,3,309,2,478,30033,1,1,1800,2000,,,2
5,3,309,2,478,30033,2,1,168000,0,"N2",,2
5,3,309,2,478,30033,3,1,15000,0,"N2",,2
5,3,309,2,478,30033,5,1,12000,0,"N1",,2
5,3,309,2,478,30033,6,1,8000,0,"N5",,2
5,3,307,1,634,30049,2,1,15000,3000,"N3",,1
5,3,321,2,364,30056,2,1,236000,0,"N8",,2
5,3,321,2,364,30056,6,1,16800,0,"N9",,2
5,3,301,1,1198,30109,2,1,98000,,"N1",,2
5,3,326,2,74,30113,2,1,3200,0,"N6",,2
5,3,326,2,74,30113,3,1,200,0,"N6",,2
5,3,326,2,74,30113,6,1,200,0,"N7",,2
5,3,326,2,74,30120,2,1,10000,0,"N1",,2
4,4,415,1,2108,40043,2,1,5000,,"N2",,2
4,4,415,1,2108,40046,2,1,1500,3000,"N3",,2
4,4,405,2,484,40077,5,1,1200,,"N2",,2
4,4,419,2,296,40086,2,1,70000,,"N2",,2
4,4,419,2,296,40086,3,1,2500,,"N2",,2
4,4,419,2,296,40086,6,1,3000,,"N5","N6",2
4,4,419,2,296,40086,9,1,4500,,"N7",,1
4,4,401,1,1460,40095,2,1,105000,,"N4",,2
4,4,401,1,1460,40095,3,1,12000,,"N4",,2
4,4,401,1,1460,40095,6,1,1000,,"N5","N6",2
4,4,401,1,1460,40099,5,1,400,0,"N4",,2
4,4,412,2,2592,40104,2,1,450,0,"N1",,2
4,4,412,2,2592,40104,3,1,1500,0,"N2",,2
4,4,412,2,2592,40104,6,1,200,0,"N1",,2
4,4,410,1,3192,40144,2,1,10000,0,"N2",,2
4,4,401,2,2106,40191,5,1,600,0,"N1",,2
4,4,401,2,2106,40197,2,1,200000,,"N4",,2
4,4,401,2,2106,40197,3,1,15000,,"N5",,2
4,4,401,2,2106,40197,6,1,10000,,"N1",,2
2,5,506,2,830,50001,2,1,2000,,"N5",,2
2,5,506,2,830,50001,6,1,500,,,,2
2,5,506,2,830,50004,2,1,60,,"N10",,
2,5,506,2,830,50004,3,1,400,,"N11",,
2,5,506,2,830,50004,7,1,150,,,,
2,5,506,2,830,50006,3,1,500,,"N5",,2
2,5,506,2,830,50008,2,1,10000,,"N5",,
2,5,506,2,830,50008,3,1,5000,,"N4",,
2,5,506,2,830,50009,2,1,500,0,"N3",,2
2,5,506,2,830,50009,3,1,600,0,"N7",,2
2,5,506,2,830,50009,6,1,200,0,"N3",,2
2,5,502,1,2194,50013,2,1,2000,,"N1",,
2,5,502,1,2194,50013,3,1,700,,"N2",,
2,5,515,2,18,50021,3,1,1500,,"N3",,2
2,5,515,2,18,50022,3,1,300,,,,
2,5,515,2,18,50023,2,1,5000,,"N1",,2
2,5,515,2,18,50023,3,1,500,,"N2",,2
2,5,515,2,18,50023,6,1,200,,,,
2,5,515,2,18,50024,2,1,15000,,"N3",,2
2,5,515,2,18,50024,3,1,1000,,"N5",,2
2,5,515,2,18,50024,6,1,500,,"N6",,2
2,5,515,2,18,50024,7,1,1000,,"N7",,2
2,5,515,2,18,50026,2,1,1600,,"N4",,
2,5,515,2,18,50026,3,1,5000,,"N5",,
2,5,515,2,18,50027,2,1,10000,,"N1",,2
2,5,515,2,18,50027,3,1,4000,,"N3",,2
2,5,515,2,18,50029,2,1,1400,0,"N2","N3",2
2,5,515,2,18,50029,3,1,2800,0,"N3",,2
2,5,502,2,3878,50032,7,1,200,0,"N8",,2
2,5,502,2,3878,50033,2,1,500,,"N1",,2
2,5,502,2,3878,50033,6,1,150,,,,
2,5,502,2,3878,50034,2,1,3600,0,"N6",,2
2,5,502,2,3878,50034,3,1,1000,0,"N5",,2
2,5,502,2,3878,50034,7,1,200,,"N4",,2
2,5,502,2,3878,50035,2,1,5000,,"N3",,2
2,5,502,2,3878,50036,2,1,4000,0,"N5",,2
2,5,502,2,3878,50036,5,1,300,0,"N5",,2
2,5,502,2,3878,50036,6,1,,,,,
2,5,502,2,3878,50038,2,1,2000,,"N4",,
2,5,502,2,3878,50040,2,1,8000,,"N8",,2
2,5,502,2,3878,50040,3,1,1500,,"N7",,2
2,5,502,2,3878,50040,7,1,500,,"N9",,2
2,5,504,2,708,50041,2,1,20000,,"N1",,2
2,5,504,2,708,50041,3,1,4000,,"N3",,2
2,5,504,2,708,50041,6,1,700,,"N1",,2
2,5,504,2,708,50042,2,1,850,0,"N15",,2
2,5,504,2,708,50042,3,1,250,0,"N14",,2
2,5,504,2,708,50043,2,1,450,,"N8",,2
2,5,504,2,708,50043,3,1,750,,"N9",,2
2,5,504,2,708,50043,6,1,100,,"N8",,2
2,5,504,2,708,50044,2,1,6000,,"N1",,
2,5,504,2,708,50046,2,1,9000,0,"N1",,2
2,5,504,2,708,50047,2,1,1200,0,"N7",,2
2,5,504,2,708,50048,2,1,2300,,"N6",,2
2,5,504,2,708,50049,2,1,700,0,"N4",,2
2,5,504,2,708,50049,3,1,300,0,"N3",,2
2,5,513,2,348,50051,2,1,12000,,"N1",,2
