"zone","state","lga","sector","ea","hhid","prod_cd","s11kc2","s11kq1","s11kq2","s11kq3a","s11kq3b","s11kq3c","s11kq4","s11kq5a","s11kq5b","s11kq5c","s11kq6"
4,1,104,2,1364,10013,2,,1,2,14,4,,2,,,,
4,1,106,2,880,10024,2,,1,2,7,4,,2,,,,
4,1,107,2,1044,10066,2,,1,2,12,4,,2,,,,
4,1,107,2,1044,10067,2,,1,2,14,,,2,,,,
4,1,107,2,1044,10068,2,,1,2,8,4,,2,,,,
4,1,117,2,560,10071,2,,1,1,8,4,,2,,,,
4,1,117,2,560,10072,2,,1,1,7,4,,2,,,,
2,2,209,2,1040,20006,1,,1,4,20,1,,1,60,1,,6000
2,2,209,2,1040,20006,2,,1,7,1,5,,1,5,5,,2500
2,2,221,2,18,20015,2,,1,3,8,4,,2,,,,
2,2,221,2,18,20018,2,,1,3,1,5,,2,,,,
2,2,201,2,60,20022,1,,1,3,180,1,,1,350,1,,280000
2,2,212,2,956,20051,1,,1,2,15,1,,2,,,,
2,2,212,2,956,20053,1,,1,4,120,1,,1,400,1,,28000
2,2,212,2,956,20055,1,,1,3,450,1,,1,270,1,,16200
2,2,212,2,956,20058,1,,1,4,80,1,,1,64,1,,21600
2,2,212,2,956,20060,1,,1,9,40,1,,2,,,,
2,2,212,2,956,20060,2,,1,2,1,5,,2,,,,
2,2,218,2,1592,20114,1,,1,6,10,1,,2,,,,
2,2,218,2,1592,20114,2,,1,4,6,5,,2,,,,
2,2,218,2,1592,20118,1,,1,3,150,1,,1,90,1,,4500
5,3,331,1,2322,30001,2,"EGGS",1,3,15,4,,2,,,,
5,3,323,2,580,30077,2,"EGG",1,1,5,4,,2,,,,
5,3,318,2,1136,30088,5,"SNAIL",1,4,5,3,,2,,,,
5,3,313,2,70,30099,5,,1,2,250,4,,2,,,,
5,3,326,2,74,30111,2,,1,1,24,4,,2,,,,
5,3,305,2,1542,30121,5,,1,2,6,3,,2,,,,
5,3,305,2,1542,30122,7,,1,3,930,1,,1,900,1,,108000
5,3,305,2,1542,30124,2,"EGGS",1,1,2,5,,2,,,,
5,3,305,2,4,30142,5,"HUNTING&SNAIL",1,12,36,4,,1,30,3,,150000
5,3,305,2,4,30149,7,"PALM WINE,PITO",1,4,150,1,,1,130,1,,4800
4,4,413,2,1540,40053,2,,1,2,20,4,,2,,,,
4,4,410,2,4036,40122,8,,1,12,150,1,,1,1500,1,,140000
4,4,401,2,2106,40197,1,,1,12,40,4,,2,,,,
2,5,506,2,830,50004,2,"50",1,,,,,1,50,4,,600
2,5,506,2,830,50006,2,,1,,20,1,,2,,,,
2,5,506,2,830,50007,2,,1,2,24,4,,2,,,,
2,5,506,2,830,50008,2,,1,3,,,,2,,,,
2,5,515,2,18,50021,2,,1,,50,4,,2,,,,
2,5,515,2,18,50022,2,,1,,40,5,,2,,,,
