"zone","state","lga","sector","ea","hhid","topic_cd","s11lq1","s11lq2","s11lq2b"
2,2,209,2,1040,20004,10,1,5,
2,2,209,2,1040,20006,10,1,1,
2,2,209,2,1040,20006,11,1,2,
2,2,209,2,1040,20007,2,1,4,
2,2,209,2,1040,20007,3,1,2,
2,2,209,2,1040,20007,6,1,2,
2,2,216,2,200,20033,6,1,3,
2,2,216,2,200,20033,10,1,5,
2,2,203,2,1224,20043,6,1,11,
2,2,203,2,1224,20044,10,1,2,
2,2,203,2,1224,20044,11,1,2,
2,2,203,2,1224,20045,11,1,1,
2,2,203,2,1224,20047,6,1,11,
2,2,203,2,1224,20047,10,1,11,
2,2,203,2,1224,20047,11,1,11,
2,2,203,2,1224,20047,12,1,11,
2,2,212,2,956,20054,10,1,11,
2,2,212,2,956,20054,11,1,11,
2,2,212,2,956,20057,10,1,2,
2,2,210,2,1300,20061,10,1,2,
2,2,210,2,1300,20067,6,1,11,
2,2,214,2,898,20072,3,1,2,
2,2,214,2,898,20072,6,1,2,
2,2,214,2,898,20072,10,1,2,
2,2,214,2,898,20072,11,1,2,
2,2,215,1,8,20089,3,1,11,
2,2,215,1,8,20089,6,1,11,
2,2,207,2,1302,20093,3,1,10,
2,2,207,2,1302,20093,6,1,10,
2,2,207,2,1302,20093,10,1,10,
2,2,207,2,1302,20093,11,1,10,
2,2,207,2,1302,20096,3,1,10,
2,2,207,2,1302,20096,6,1,10,
2,2,207,2,1302,20096,10,1,10,
2,2,207,2,1302,20097,1,1,11,
2,2,207,2,1302,20097,2,1,11,
2,2,205,2,712,20109,1,1,2,
2,2,205,2,712,20109,2,1,2,
2,2,205,2,712,20109,3,1,2,
2,2,205,2,712,20109,5,1,2,
2,2,205,2,712,20109,8,1,2,
2,2,205,2,712,20110,1,1,2,
2,2,205,2,712,20110,2,1,2,
2,2,205,2,712,20110,3,1,2,
2,2,205,2,712,20110,4,1,2,
2,2,205,2,712,20110,5,1,2,
2,2,205,2,712,20110,6,1,2,
2,2,205,2,712,20110,10,1,2,
2,2,205,2,712,20110,11,1,2,
2,2,218,2,1592,20114,11,1,2,
2,2,218,2,1592,20116,11,1,2,
5,3,326,2,74,30111,1,1,1,
4,4,414,1,2176,40031,1,1,11,
4,4,414,1,2176,40031,3,1,11,
4,4,415,1,2108,40043,2,1,11,
4,4,415,1,2108,40043,3,1,11,
4,4,405,2,484,40080,1,1,11,
4,4,405,2,484,40080,6,1,11,
4,4,407,2,796,40138,1,1,11,
4,4,407,2,796,40138,2,1,11,
4,4,407,2,796,40138,3,1,11,
4,4,407,2,796,40138,4,1,11,
4,4,407,2,796,40140,1,1,11,
4,4,407,2,796,40140,2,1,11,
4,4,407,2,796,40140,3,1,11,
4,4,407,2,796,40140,4,1,11,
2,5,506,2,830,50007,3,1,4,
2,5,506,2,830,50008,1,1,1,
2,5,506,2,830,50008,2,1,1,
2,5,506,2,830,50008,3,1,1,
2,5,506,2,830,50008,4,1,1,
2,5,506,2,830,50008,5,1,1,
2,5,506,2,830,50008,6,1,1,
2,5,506,2,830,50008,9,1,1,
2,5,506,2,830,50008,10,1,1,
2,5,506,2,830,50008,11,1,1,
2,5,506,2,830,50008,12,1,1,
2,5,506,2,830,50009,11,1,11,
2,5,502,1,2194,50013,11,1,12,
2,5,502,2,3878,50037,1,1,1,
2,5,502,2,3878,50037,2,1,1,
2,5,502,2,3878,50037,3,1,1,
2,5,513,2,348,50051,10,1,11,
2,5,513,2,348,50051,11,1,11,
2,5,513,2,348,50054,10,1,1,
2,5,513,2,348,50054,11,1,1,
2,5,513,2,348,50058,1,1,1,
2,5,513,2,348,50058,2,1,1,
2,5,513,2,348,50060,11,1,1,
2,5,501,2,60,50072,11,1,1,
2,5,508,2,984,50092,1,1,1,
2,5,508,2,984,50092,2,1,1,
2,5,508,2,984,50092,3,1,1,
2,5,508,2,984,50092,10,1,1,
2,5,508,2,984,50092,11,1,1,
2,5,508,2,984,50094,2,1,4,
2,5,508,2,984,50094,3,1,4,
2,5,508,2,984,50094,4,1,4,
2,5,518,2,1588,50135,1,1,11,
2,5,518,2,1588,50135,3,1,11,
2,5,518,2,1588,50135,6,1,2,
2,5,518,2,1588,50135,8,1,11,
2,5,518,2,1588,50135,10,1,14,
