"zone","state","lga","sector","ea","hhid","source_cd","s11lc2","s11l2q1","s11l2q2a","s11l2q2b","s11l2q2c","s11l2q2d","s11l2q3","s11l2q4","s11l2q5","s11l2q6","s11l2q7","s11l2q8","s11l2q9"
2,2,209,2,1040,20004,5,,"X",1,3,,,,1,,,2,,1
2,2,209,2,1040,20006,1,,"X",1,3,4,,1,0,0,0,2,,1
2,2,209,2,1040,20006,2,,"X",1,4,3,,1,1,1,0,2,,1
2,2,209,2,1040,20007,2,,"X",1,,,,0,1,0,,2,,1
2,2,209,2,1040,20007,4,,"X",1,,,,0,1,0,,2,,1
2,2,216,2,200,20033,5,,"X",1,2,,,1,1,2,,,,
2,2,203,2,1224,20043,11,"X","X",1,,,,1,1,1,,2,,1
2,2,203,2,1224,20044,2,"X","X",1,,,,2,,2,,2,,2
2,2,203,2,1224,20045,1,"X","X",1,,,,5,3,2,,1,500,1
2,2,203,2,1224,20047,11,"X","X",1,2,4,9,2,2,0,,2,,1
2,2,212,2,956,20054,11,,"X",1,2,4,,1,1,1,,2,,1
2,2,212,2,956,20057,2,,"X",1,,,,3,3,0,,1,2400,1
2,2,212,2,956,20060,1,,"X",1,,,,5,5,0,,1,4000,1
2,2,210,2,1300,20061,1,,"X",1,,,,,,2,,2,,1
2,2,210,2,1300,20067,11,,"X",1,,,,1,1,,,1,,1
2,2,214,2,898,20072,2,"X","X",1,,,,3,2,2,,1,10000,1
2,2,215,1,8,20089,11,,"X",1,,,,1,1,1,,1,1,1
2,2,207,2,1302,20093,10,,"X",1,,,,2,2,1,,2,,1
2,2,207,2,1302,20096,10,,"X",1,,,,1,1,1,,1,2000,1
2,2,207,2,1302,20097,11,,"X",1,,,,2,,2,,2,,1
2,2,205,2,712,20109,2,"X","X",1,,,,10,4,6,,2,,1
2,2,205,2,712,20110,2,"X","X",1,,,,5,5,5,,2,,1
2,2,218,2,1592,20114,2,,"X",2,,,,6,6,0,,2,,1
2,2,218,2,1592,20116,2,,"X",1,,,,2,2,,,2,,1
5,3,331,1,516,30011,2,,"X",,,,,1,1,1,0,2,,
5,3,326,2,74,30111,1,"X","X",1,,,,1,,0,0,2,,1
4,4,414,1,2176,40031,11,"X","X",1,,,,0,,1,,2,,1
4,4,415,1,2108,40043,11,"X","X",1,,,,2,0,0,0,2,,
4,4,415,1,2108,40049,8,"X","X",1,,,,,,,1,2,,1
4,4,405,2,484,40080,11,"X","X",1,2,,,0,,1,,2,,1
4,4,407,2,796,40138,11,"X","X",1,2,,,0,,6,,2,,2
4,4,407,2,796,40140,11,"X","X",1,2,,,0,,6,,2,,1
2,5,506,2,830,50007,4,,"X",1,,,,1,1,1,,2,,2
2,5,506,2,830,50008,1,,"X",1,,,,3,3,3,,2,,1
2,5,506,2,830,50008,8,,"X",1,,,,,,,,1,100,1
2,5,506,2,830,50009,11,,"X",1,,,,2,2,1,,2,,1
2,5,502,1,2194,50013,12,,"X",1,,,,,,,,,,1
2,5,502,2,3878,50037,1,,"X",1,,,,4,1,0,,2,,4
2,5,513,2,348,50051,11,,"X",1,,,,3,0,0,,,,
2,5,513,2,348,50054,1,,"X",1,,,,2,0,0,,2,,1
2,5,513,2,348,50058,1,,"X",1,3,,,2,1,0,,2,,1
2,5,513,2,348,50060,1,,"X",1,,,,2,0,0,,2,,1
2,5,501,2,60,50072,1,,"X",1,,,,0,,0,,1,800,1
2,5,508,2,984,50092,1,,"X",1,,,,0,,2,,2,,1
2,5,508,2,984,50094,4,,"X",1,,,,1,1,0,,2,,1
2,5,518,2,1588,50135,2,,"X",1,,,,3,2,0,,2,,1
2,5,518,2,1588,50135,11,,"X",1,,,,2,1,0,,2,,1
2,5,518,2,1588,50135,14,,"X",1,,,,4,2,0,0,2,,1
2,5,518,2,1588,50140,10,,"X",1,,,,1,1,0,,2,,
5,6,602,2,1356,60005,1,"X","X",1,,,,1,0,0,0,1,1000,3
1,7,707,2,560,70004,10,"N1","X",,,,,2,2,2,,2,,1
2,8,821,1,5062,80026,1,,"X",1,,,,2,0,5,,2,,1
2,8,811,1,1558,80051,1,"1","X",,,,,1,,1,1,2,,1
2,8,826,2,926,80193,2,,"X",1,,,,2,0,0,1,2,,1
5,10,1001,2,172,100015,11,"X","X",1,0,,,0,,3,,,,
5,10,1001,2,172,100020,11,"X","X",2,,,,3,0,0,0,2,,4
4,11,1112,2,1952,110020,11,"X","X",1,,,,0,,0,0,2,,1
5,12,1208,2,526,120048,10,,"X",1,,,,0,,,,2,,
5,12,1208,2,526,120048,11,,"X",1,,,,0,,,,2,,
5,12,1216,2,618,120052,11,,"X",,1,2,,5,,2,2,2,,1
5,12,1216,2,618,120058,11,,"X",1,2,6,,3,0,0,3,2,,1
5,12,1210,2,462,120066,11,,"X",,1,2,,4,0,0,0,2,,1
4,14,1401,2,1116,140001,1,"X","X",1,3,,,1,0,0,,2,,1
4,14,1401,2,1116,140001,11,"X","X",1,3,,,1,0,0,,2,,2
4,14,1401,2,1116,140002,1,"X","X",1,,,,1,1,0,,2,,1
4,14,1401,2,1116,140002,11,"X","X",2,,,,1,,0,,2,,1
4,14,1401,2,1116,140003,1,"X","X",1,1,,,2,1,0,,2,,1
4,14,1401,2,1116,140003,11,"X","X",1,1,,,1,1,0,,2,,2
4,14,1401,2,1116,140006,12,"X","X",2,1,,,0,,0,0,2,,3
4,14,1401,2,1116,140007,12,"X","X",1,3,2,,0,,0,0,2,,1
4,14,1401,2,1116,140008,12,"X","X",1,3,2,,0,,0,0,2,,1
4,14,1407,2,68,140013,1,"X","X",1,,,,1,,,,2,,1
4,14,1407,2,68,140013,11,"X","X",1,,,,1,,,,2,,1
4,14,1407,2,68,140015,12,"X","X",1,,,,0,,,,2,,3
4,14,1407,2,68,140016,12,"X","X",1,,,,0,,,,2,,2
4,14,1408,2,1996,140027,13,"X","X",1,,,,0,,,,2,,1
4,14,1408,2,1996,140030,11,"X","X",1,,,,1,1,,,2,,1
4,14,1413,1,2578,140035,1,"X","X",1,,,,1,1,,,2,,1
4,14,1413,1,2578,140035,11,"X","X",1,,,,2,1,,,2,,2
4,14,1413,1,2578,140040,12,"X","X",1,,,,0,,,,2,,3
4,14,1415,2,952,140044,12,"X","X",1,2,,,0,,,,2,,1
