"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3"
4,1,115,1,670,10005,"N1",9,,2
4,1,115,1,670,10005,"N2",17,,5
4,1,115,1,670,10005,"N3",12,,3
4,1,104,2,1364,10011,"N1",9,,2
4,1,104,2,1364,10011,"N2",9,,1
4,1,104,2,1364,10012,"N1",9,,2
4,1,104,2,1364,10012,"N2",1,,1
4,1,104,2,1364,10013,"N1",10,,1
4,1,104,2,1364,10013,"N2",9,,1
4,1,104,2,1364,10015,"N1",9,,1
4,1,104,2,1364,10015,"N2",1,,1
4,1,104,2,1364,10016,"N1",10,,1
4,1,104,2,1364,10018,"N1",9,,1
4,1,104,2,1364,10019,"N1",9,,1
4,1,104,2,1364,10019,"N2",1,,1
4,1,106,2,880,10021,"N1",9,,2
4,1,106,2,880,10021,"N2",9,,1
4,1,106,2,880,10021,"N3",1,,2
4,1,106,2,880,10021,"N4",9,,1
4,1,106,2,880,10022,"N1",9,,1
4,1,106,2,880,10022,"N2",9,,1
4,1,106,2,880,10022,"N3",9,,1
4,1,106,2,880,10023,"N1",9,,2
4,1,106,2,880,10023,"N2",9,,1
4,1,106,2,880,10023,"N3",1,,1
4,1,106,2,880,10023,"N4",9,,1
4,1,106,2,880,10023,"N5",10,,1
4,1,106,2,880,10024,"N1",12,,2
4,1,106,2,880,10025,"N1",9,,2
4,1,106,2,880,10025,"N2",1,,1
4,1,106,2,880,10026,"N1",12,,2
4,1,106,2,880,10026,"N2",2,,1
4,1,106,2,880,10026,"N3",1,,1
4,1,106,2,880,10027,"N1",9,,2
4,1,106,2,880,10027,"N2",9,,2
4,1,106,2,880,10027,"N3",13,,2
4,1,106,2,880,10027,"N4",1,,1
4,1,106,2,880,10027,"N5",2,,2
4,1,106,2,880,10029,"N1",12,,1
4,1,106,2,880,10030,"N1",12,,2
4,1,106,2,880,10030,"N2",12,,2
4,1,106,2,880,10030,"N3",2,,1
4,1,111,1,1146,10034,"N1",7,,3
4,1,111,1,1146,10034,"N2",12,,3
4,1,111,1,1146,10039,"N1",2,,3
4,1,111,1,1146,10039,"N2",9,,3
4,1,107,2,1044,10061,"N1",9,,2
4,1,107,2,1044,10061,"N2",10,,2
4,1,107,2,1044,10061,"N3",10,,2
4,1,107,2,1044,10062,"N1",1,,7
4,1,107,2,1044,10062,"N2",11,,7
4,1,107,2,1044,10062,"N3",11,,2
4,1,107,2,1044,10062,"N4",10,,2
4,1,107,2,1044,10063,"N1",1,,1
4,1,107,2,1044,10063,"N2",9,,1
4,1,107,2,1044,10064,"N1",8,,3
4,1,107,2,1044,10064,"N2",8,,3
4,1,107,2,1044,10064,"N3",8,,2
4,1,107,2,1044,10065,"N1",9,,1
4,1,107,2,1044,10065,"N2",9,,2
4,1,107,2,1044,10066,"N1",12,,2
4,1,107,2,1044,10067,"N1",9,,2
4,1,107,2,1044,10067,"N2",1,,1
4,1,107,2,1044,10068,"N1",9,,2
4,1,107,2,1044,10069,"N1",12,,2
4,1,107,2,1044,10069,"N2",2,,1
4,1,107,2,1044,10069,"N3",9,,1
4,1,107,2,1044,10070,"N1",12,,2
4,1,107,2,1044,10070,"N2",9,,2
4,1,117,2,560,10071,"N1",9,,2
4,1,117,2,560,10071,"N2",2,,1
4,1,117,2,560,10072,"N1",12,,2
4,1,117,2,560,10073,"N1",9,,3
4,1,117,2,560,10074,"N1",2,,1
4,1,117,2,560,10074,"N2",9,,2
4,1,117,2,560,10074,"N3",2,,3
4,1,117,2,560,10075,"N1",10,,3
4,1,117,2,560,10076,"N1",9,,3
4,1,117,2,560,10077,"N1",10,,2
4,1,117,2,560,10077,"N2",10,,1
4,1,117,2,560,10078,"N1",9,,1
4,1,117,2,560,10079,"N1",12,,5
4,1,117,2,560,10079,"N2",9,,1
4,1,117,2,560,10080,"N1",9,,1
4,1,110,2,76,10082,"N1",10,,1
4,1,110,2,76,10082,"N2",10,,1
4,1,110,2,76,10084,"N1",9,,2
4,1,110,2,76,10084,"N2",2,,1
4,1,110,2,76,10085,"N1",9,,1
4,1,110,2,76,10087,"N1",9,,1
4,1,110,2,76,10088,"N1",1,,1
4,1,110,2,76,10088,"N2",12,,1
4,1,105,2,638,10091,"N1",12,,5
4,1,105,2,638,10091,"N2",9,,1
4,1,105,2,638,10092,"N1",9,,2
4,1,105,2,638,10092,"N2",9,,1
4,1,105,2,638,10093,"N1",1,,7
4,1,105,2,638,10094,"N1",12,,6
4,1,105,2,638,10094,"N2",9,,2
4,1,105,2,638,10094,"N3",10,,1
4,1,105,2,638,10097,"N1",10,,2
4,1,105,2,638,10097,"N2",10,,2
4,1,105,2,638,10100,"N1",9,,2
4,1,108,2,904,10102,"N1",9,,1
4,1,108,2,904,10103,"N1",1,,1
4,1,108,2,904,10103,"N2",9,,1
4,1,108,2,904,10105,"N1",2,,1
4,1,108,2,904,10105,"N2",9,,1
4,1,108,2,904,10106,"N1",9,,2
4,1,108,2,904,10106,"N2",2,,1
4,1,108,2,904,10107,"N1",25,,3
4,1,108,2,904,10107,"N2",9,,1
4,1,108,2,904,10107,"N3",17,,5
4,1,108,2,904,10107,"N4",2,,3
4,1,108,2,904,10109,"N1",9,,2
4,1,108,2,904,10109,"N2",12,,2
4,1,108,2,904,10110,"N1",12,,1
2,2,209,2,1040,20001,"N1",1,,1
2,2,209,2,1040,20001,"N2",9,,1
2,2,209,2,1040,20001,"N3",10,,1
2,2,209,2,1040,20001,"N4",9,,1
2,2,209,2,1040,20002,"N1",9,,1
2,2,209,2,1040,20002,"N2",9,,1
2,2,209,2,1040,20002,"N3",1,,7
2,2,209,2,1040,20002,"N4",1,,1
2,2,209,2,1040,20002,"N5",9,,2
2,2,209,2,1040,20002,"N6",1,,1
2,2,209,2,1040,20002,"N7",2,,1
2,2,209,2,1040,20002,"N8",2,,1
2,2,209,2,1040,20003,"N1",10,,1
2,2,209,2,1040,20003,"N2",2,,1
2,2,209,2,1040,20004,"N1",2,,1
2,2,209,2,1040,20004,"N2",9,,2
2,2,209,2,1040,20004,"N3",9,,2
2,2,209,2,1040,20004,"N4",2,,1
2,2,209,2,1040,20005,"N1",13,,2
2,2,209,2,1040,20005,"N2",9,,3
2,2,209,2,1040,20005,"N3",2,,1
2,2,209,2,1040,20006,"N1",10,,1
2,2,209,2,1040,20006,"N2",2,,1
2,2,209,2,1040,20006,"N3",2,,1
2,2,209,2,1040,20006,"N4",10,,1
2,2,209,2,1040,20006,"N5",2,,1
2,2,209,2,1040,20006,"N6",9,,6
2,2,209,2,1040,20006,"N7",2,,1
2,2,209,2,1040,20006,"N8",2,,1
2,2,209,2,1040,20006,"N9",10,,2
2,2,209,2,1040,20007,"N1",9,,2
2,2,209,2,1040,20007,"N2",9,,2
2,2,209,2,1040,20007,"N3",1,,1
2,2,209,2,1040,20008,"N1",9,,1
2,2,209,2,1040,20008,"N2",9,,1
2,2,209,2,1040,20009,"N1",8,,7
2,2,209,2,1040,20009,"N2",2,,1
2,2,209,2,1040,20009,"N3",1,,1
2,2,209,2,1040,20009,"N4",9,,2
2,2,209,2,1040,20009,"N5",9,,1
2,2,209,2,1040,20009,"N6",2,,2
2,2,209,2,1040,20010,"N1",9,,1
2,2,209,2,1040,20010,"N2",9,,1
2,2,209,2,1040,20010,"N3",9,,1
2,2,201,2,60,20021,"N1",9,,2
2,2,201,2,60,20021,"N2",1,,1
2,2,201,2,60,20021,"N3",9,,2
2,2,201,2,60,20022,"N1",9,,1
2,2,201,2,60,20022,"N2",2,,1
2,2,201,2,60,20022,"N3",8,,7
2,2,201,2,60,20022,"N4",8,,1
2,2,201,2,60,20022,"N5",7,,1
2,2,201,2,60,20022,"N6",28,,7
2,2,201,2,60,20022,"N7",28,,7
2,2,201,2,60,20022,"N8",9,,6
2,2,201,2,60,20023,"N1",9,,2
2,2,201,2,60,20023,"N2",9,,2
2,2,201,2,60,20023,"N3",9,,2
2,2,201,2,60,20023,"N4",9,,2
2,2,201,2,60,20027,"N1",9,,2
2,2,201,2,60,20027,"N2",2,,1
2,2,201,2,60,20027,"N3",9,,2
2,2,201,2,60,20027,"N4",9,,2
2,2,201,2,60,20028,"N1",7,,1
2,2,201,2,60,20028,"N2",7,,1
2,2,201,2,60,20028,"N3",2,,1
2,2,201,2,60,20028,"N4",9,,6
2,2,201,2,60,20029,"N1",9,,1
2,2,201,2,60,20029,"N2",9,,1
2,2,201,2,60,20029,"N3",2,,1
2,2,201,2,60,20029,"N4",9,,2
2,2,201,2,60,20029,"N5",9,,4
2,2,201,2,60,20029,"N6",9,,4
2,2,216,2,200,20031,"N1",9,,3
2,2,216,2,200,20031,"N2",2,,3
2,2,216,2,200,20031,"N3",1,,1
2,2,216,2,200,20032,"N1",9,,4
2,2,216,2,200,20032,"N2",3,,1
2,2,216,2,200,20032,"N3",9,,4
2,2,216,2,200,20032,"N4",9,,1
2,2,216,2,200,20032,"N5",2,,1
2,2,216,2,200,20033,"N1",9,,2
2,2,216,2,200,20033,"N2",9,,2
2,2,216,2,200,20033,"N3",9,,2
2,2,216,2,200,20033,"N4",9,,2
2,2,216,2,200,20033,"N5",9,,2
2,2,216,2,200,20033,"N6",9,,2
2,2,216,2,200,20034,"N1",8,,2
2,2,216,2,200,20034,"N2",17,,2
2,2,216,2,200,20034,"N3",2,,1
2,2,216,2,200,20035,"N1",9,,2
2,2,216,2,200,20035,"N2",2,,1
2,2,216,2,200,20035,"N3",2,,1
2,2,216,2,200,20035,"N4",2,,1
2,2,216,2,200,20035,"N5",1,,2
2,2,216,2,200,20036,"N1",9,,2
2,2,216,2,200,20037,"N1",9,,2
2,2,216,2,200,20037,"N2",15,,2
2,2,216,2,200,20037,"N3",9,,2
2,2,216,2,200,20037,"N4",9,,2
2,2,216,2,200,20039,"N1",9,,2
2,2,216,2,200,20039,"N2",2,,1
2,2,216,2,200,20039,"N3",2,,1
2,2,216,2,200,20040,"N1",12,,5
2,2,216,2,200,20040,"N2",9,,2
2,2,203,2,1224,20041,"N1",9,,2
2,2,203,2,1224,20041,"N2",2,,1
2,2,203,2,1224,20041,"N3",1,,1
2,2,203,2,1224,20042,"N1",9,,2
2,2,203,2,1224,20042,"N2",2,,1
2,2,203,2,1224,20043,"N1",9,,1
2,2,203,2,1224,20043,"N2",9,,2
2,2,203,2,1224,20043,"N3",9,,2
2,2,203,2,1224,20044,"N1",9,,3
2,2,203,2,1224,20044,"N2",5,,3
2,2,203,2,1224,20044,"N3",9,,3
2,2,203,2,1224,20044,"N4",9,,7
2,2,203,2,1224,20044,"N5",1,,1
2,2,203,2,1224,20044,"N6",1,,1
2,2,203,2,1224,20044,"N7",28,,3
2,2,203,2,1224,20045,"N1",12,,2
2,2,203,2,1224,20045,"N2",12,,2
2,2,203,2,1224,20046,"N1",9,,4
2,2,203,2,1224,20046,"N2",9,,3
2,2,203,2,1224,20047,"N1",9,,2
2,2,203,2,1224,20047,"N2",9,,2
2,2,203,2,1224,20047,"N3",9,,2
2,2,203,2,1224,20047,"N4",15,,2
2,2,203,2,1224,20048,"N1",9,,2
2,2,203,2,1224,20048,"N2",2,,1
2,2,203,2,1224,20048,"N3",9,,2
2,2,203,2,1224,20049,"N1",9,,2
2,2,203,2,1224,20049,"N2",5,,3
2,2,203,2,1224,20049,"N3",9,,2
2,2,203,2,1224,20049,"N4",9,,2
2,2,203,2,1224,20049,"N5",9,,2
2,2,203,2,1224,20050,"N1",2,,1
2,2,203,2,1224,20050,"N2",9,,2
2,2,212,2,956,20051,"N1",9,,2
2,2,212,2,956,20051,"N2",9,,2
2,2,212,2,956,20051,"N3",9,,2
2,2,212,2,956,20051,"N4",1,,1
2,2,212,2,956,20052,"N1",9,,2
2,2,212,2,956,20052,"N2",2,,1
2,2,212,2,956,20052,"N3",9,,2
2,2,212,2,956,20052,"N4",9,,2
2,2,212,2,956,20052,"N5",9,,2
2,2,212,2,956,20053,"N1",9,,2
2,2,212,2,956,20053,"N2",2,,1
2,2,212,2,956,20053,"N3",12,,5
2,2,212,2,956,20053,"N4",13,,5
