"zone","state","lga","sector","ea","item_cd","sc2q2","sc2q3a","sc2q3b","sc2q3c"
1,7,701,2,606,12,1,500,1,31
1,7,701,2,606,13,1,200,1,6
1,7,701,2,606,18,1,120,1,6
1,7,701,2,606,30,1,25000,1,81
1,7,701,2,606,31,1,35000,1,81
1,7,701,2,606,32,1,10,1,2
1,7,701,2,606,33,1,15,1,2
1,7,701,2,606,34,1,25,1,51
1,7,701,2,606,35,1,1500,1,42
1,7,701,2,606,43,1,10,1,2
1,7,701,2,606,50,1,5000,1,93
1,7,701,2,606,60,1,500,1,42
1,7,701,2,606,61,1,1200,1,32
1,7,701,2,606,62,1,600,1,32
1,7,701,2,606,71,1,350,1,31
1,7,701,2,606,74,1,1600,1,32
1,7,701,2,606,75,1,3000,1,32
1,7,701,2,606,80,1,100,1,32
1,7,701,2,606,81,1,1500,1,32
1,7,701,2,606,84,1,30,1,32
1,7,701,2,606,100,1,7500,1,31
1,7,701,2,606,101,1,7000,1,32
1,7,701,2,606,130,1,50,1,32
1,7,701,2,606,132,1,7000,1,32
1,7,701,2,606,140,1,20,1,32
1,7,701,2,606,152,1,70,1,31
1,7,701,2,606,153,1,50,1,31
1,7,701,2,606,160,1,200,1,31
1,7,701,2,606,161,1,100,1,32
1,7,702,2,632,10,1,250,1,6
1,7,702,2,632,12,1,140,1,6
1,7,702,2,632,13,1,150,1,6
1,7,702,2,632,15,1,120,1,6
1,7,702,2,632,17,1,1600,1,32
1,7,702,2,632,18,1,1500,1,32
1,7,702,2,632,30,1,1000,1,71
1,7,702,2,632,31,1,50,1,52
1,7,702,2,632,32,1,100,1,6
1,7,702,2,632,33,1,100,1,6
1,7,702,2,632,42,1,350,1,6
1,7,702,2,632,43,1,1600,1,32
1,7,702,2,632,52,1,40,1,2
1,7,702,2,632,61,1,1500,1,32
1,7,702,2,632,73,1,2000,1,32
1,7,702,2,632,74,1,1400,1,32
1,7,702,2,632,75,1,2000,1,32
1,7,702,2,632,76,1,2000,1,32
1,7,702,2,632,80,1,700,1,31
1,7,702,2,632,81,1,600,1,31
1,7,702,2,632,100,1,600,1,32
1,7,702,2,632,130,1,1200,1,31
1,7,702,2,632,132,1,2000,1,101
1,7,702,2,632,140,1,10,1,2
1,7,702,2,632,160,1,160,1,2
1,7,702,2,632,161,1,100,1,2
1,7,705,2,4186,10,1,5000,1,13
1,7,705,2,4186,12,1,5000,1,13
1,7,705,2,4186,13,1,6000,1,13
1,7,705,2,4186,15,1,100,300,102
1,7,705,2,4186,18,1,6000,1,24
1,7,705,2,4186,30,1,1000,1,12
1,7,705,2,4186,31,1,200,7,101
1,7,705,2,4186,40,1,600,1,13
1,7,705,2,4186,42,1,200,1,6
1,7,705,2,4186,43,1,3000,1,13
1,7,705,2,4186,50,1,200,750,104
1,7,705,2,4186,61,1,5000,1,14
1,7,705,2,4186,70,1,200,19,101
1,7,705,2,4186,72,1,50,450,102
1,7,705,2,4186,73,1,20,400,102
1,7,705,2,4186,74,1,500,1,31
1,7,705,2,4186,75,1,20,50,102
1,7,705,2,4186,76,1,1000,1,21
1,7,705,2,4186,80,1,1600,3,101
1,7,705,2,4186,83,1,30,50,102
1,7,705,2,4186,90,1,700,1,101
1,7,705,2,4186,92,1,600,1,101
1,7,705,2,4186,93,1,700,1,101
1,7,705,2,4186,101,1,200,200,102
1,7,705,2,4186,103,1,200,200,102
1,7,705,2,4186,130,1,50,200,102
1,7,705,2,4186,132,1,500,750,104
1,7,705,2,4186,140,1,40,500,104
1,7,705,2,4186,151,1,5,300,104
1,7,705,2,4186,160,1,130,600,104
1,7,707,2,560,10,1,60,1,6
1,7,707,2,560,12,1,80,1,6
1,7,707,2,560,13,1,200,1,6
1,7,707,2,560,15,1,100,150,102
1,7,707,2,560,31,1,80,1,105
1,7,707,2,560,32,1,200,900,102
1,7,707,2,560,40,1,70,1,6
1,7,707,2,560,41,1,150,1,6
1,7,707,2,560,43,1,4500,1,13
1,7,707,2,560,50,1,200,1,103
1,7,707,2,560,52,1,220,1,103
1,7,707,2,560,60,1,20,3,105
1,7,707,2,560,72,1,20,1,105
1,7,707,2,560,74,1,10,4,105
1,7,707,2,560,75,1,20,1,1
1,7,707,2,560,76,1,20,1,1
1,7,707,2,560,77,1,40,1,101
1,7,707,2,560,80,1,1000,2,101
1,7,707,2,560,84,1,30,1,105
1,7,707,2,560,90,1,1000,1,105
1,7,707,2,560,92,1,800,1,105
1,7,707,2,560,93,1,800,1,105
1,7,707,2,560,101,1,50,100,102
1,7,707,2,560,103,1,200,200,102
1,7,707,2,560,130,1,20,100,102
1,7,707,2,560,132,1,500,1,103
1,7,707,2,560,140,1,20,150,102
1,7,707,2,560,152,1,100,33,106
1,7,707,2,560,153,1,70,30,106
1,7,707,2,560,160,1,150,60,106
1,7,708,2,754,10,1,3000,1,33
1,7,708,2,754,12,1,2500,1,33
1,7,708,2,754,13,1,8000,1,13
1,7,708,2,754,18,1,1500,1,33
1,7,708,2,754,31,1,100,1,52
1,7,708,2,754,36,1,2000,1,32
1,7,708,2,754,40,1,1500,1,33
1,7,708,2,754,42,1,180,1,6
1,7,708,2,754,43,1,1500,1,33
1,7,708,2,754,50,1,266,1,103
1,7,708,2,754,72,1,50,450,102
1,7,708,2,754,73,1,100,2,101
1,7,708,2,754,74,1,30,200,102
1,7,708,2,754,75,1,20,50,102
1,7,708,2,754,76,1,10,150,102
1,7,708,2,754,78,1,50,600,102
1,7,708,2,754,80,1,1000,2,101
1,7,708,2,754,81,1,1500,3,101
1,7,708,2,754,92,1,600,1,101
1,7,708,2,754,93,1,500,1,101
1,7,708,2,754,101,1,200,300,102
1,7,708,2,754,103,1,200,200,102
1,7,708,2,754,130,1,50,150,102
1,7,708,2,754,132,1,300,800,104
1,7,708,2,754,140,1,30,500,102
1,7,708,2,754,152,1,80,330,104
1,7,708,2,754,153,1,50,350,104
1,7,708,2,754,160,1,120,600,104
1,7,709,2,1226,10,1,150,1,6
1,7,709,2,1226,12,1,100,1,6
1,7,709,2,1226,13,1,150,1,6
1,7,709,2,1226,15,1,100,200,102
1,7,709,2,1226,18,1,3500,1,13
1,7,709,2,1226,30,1,500,1,33
1,7,709,2,1226,31,1,50,1,101
1,7,709,2,1226,32,1,80,800,102
1,7,709,2,1226,33,1,100,800,102
1,7,709,2,1226,40,1,150,1,6
1,7,709,2,1226,42,1,200,1,6
1,7,709,2,1226,43,1,3500,1,13
1,7,709,2,1226,50,1,200,750,104
1,7,709,2,1226,52,1,200,750,104
1,7,709,2,1226,70,1,150,1,21
1,7,709,2,1226,72,1,50,400,102
1,7,709,2,1226,73,1,20,600,102
1,7,709,2,1226,74,1,20,200,102
1,7,709,2,1226,75,1,20,50,102
1,7,709,2,1226,76,1,20,150,102
1,7,709,2,1226,77,1,40,500,102
1,7,709,2,1226,78,1,50,600,102
1,7,709,2,1226,80,1,1000,2,101
1,7,709,2,1226,81,1,600,2,101
1,7,709,2,1226,84,1,30,1,105
1,7,709,2,1226,92,1,500,1,101
1,7,709,2,1226,93,1,600,1,101
1,7,709,2,1226,101,1,100,250,102
1,7,709,2,1226,103,1,200,225,102
1,7,709,2,1226,111,1,15,20,102
1,7,709,2,1226,130,1,300,800,102
1,7,709,2,1226,132,1,200,750,104
1,7,709,2,1226,140,1,50,500,102
1,7,709,2,1226,151,1,10,300,104
1,7,709,2,1226,152,1,70,330,104
1,7,709,2,1226,153,1,70,350,104
1,7,709,2,1226,160,1,200,600,104
1,7,709,2,1226,163,1,250,750,104
1,7,710,2,2726,10,1,100,1,6
1,7,710,2,2726,11,1,100,1,6
1,7,710,2,2726,12,1,80,1,6
1,7,710,2,2726,13,1,100,1,6
1,7,710,2,2726,15,1,150,250,102
1,7,710,2,2726,18,1,5500,1,13
1,7,710,2,2726,30,1,500,1,33
1,7,710,2,2726,31,1,200,1,52
1,7,710,2,2726,32,1,100,900,102
1,7,710,2,2726,33,1,100,900,102
1,7,710,2,2726,36,1,300,1,32
1,7,710,2,2726,40,1,50,1,6
1,7,710,2,2726,41,1,200,1,6
1,7,710,2,2726,42,1,150,1,6
1,7,710,2,2726,43,1,3500,1,13
1,7,710,2,2726,50,1,250,750,104
1,7,710,2,2726,52,1,240,750,104
1,7,710,2,2726,60,1,20,3,105
1,7,710,2,2726,61,1,6000,1,14
1,7,710,2,2726,64,1,50,1,101
1,7,710,2,2726,70,1,250,19,104
1,7,710,2,2726,72,1,10,100,102
1,7,710,2,2726,73,1,20,2,101
1,7,710,2,2726,74,1,20,200,102
1,7,710,2,2726,75,1,20,50,102
1,7,710,2,2726,76,1,20,250,102
1,7,710,2,2726,77,1,20,300,102
1,7,710,2,2726,78,1,50,700,102
1,7,710,2,2726,80,1,1500,3,101
1,7,710,2,2726,81,1,1000,2,101
1,7,710,2,2726,83,1,30,1,105
1,7,710,2,2726,84,1,20,1,105
1,7,710,2,2726,90,1,500,800,102
1,7,710,2,2726,92,1,500,1,101
1,7,710,2,2726,93,1,500,900,102
1,7,710,2,2726,100,1,500,1,101
1,7,710,2,2726,101,1,100,200,102
1,7,710,2,2726,103,1,200,250,102
1,7,710,2,2726,111,1,15,20,102
1,7,710,2,2726,112,1,800,400,102
1,7,710,2,2726,113,1,100,15,102
1,7,710,2,2726,121,1,20,26,102
1,7,710,2,2726,130,1,10,75,102
1,7,710,2,2726,132,1,500,750,104
1,7,710,2,2726,140,1,50,500,102
1,7,710,2,2726,151,1,10,30,104
1,7,710,2,2726,152,1,80,330,104
1,7,710,2,2726,153,1,50,350,104
1,7,710,2,2726,160,1,180,600,104
1,7,710,2,2726,161,1,150,20,103
1,7,710,2,2726,163,1,250,750,104
1,7,711,2,2532,10,1,100,1,6
1,7,711,2,2532,12,1,150,1,6
1,7,711,2,2532,13,1,150,1,6
1,7,711,2,2532,15,1,100,250,102
1,7,711,2,2532,18,1,4000,1,13
1,7,711,2,2532,30,1,1500,1,33
1,7,711,2,2532,31,1,150,3,101
1,7,711,2,2532,32,1,100,800,102
1,7,711,2,2532,33,1,100,800,102
1,7,711,2,2532,35,1,300,9,105
1,7,711,2,2532,36,1,400,1,32
1,7,711,2,2532,40,1,100,1,101
1,7,711,2,2532,41,1,200,1,101
1,7,711,2,2532,42,1,180,1,101
1,7,711,2,2532,43,1,4000,1,13
1,7,711,2,2532,50,1,200,750,104
1,7,711,2,2532,52,1,200,750,104
1,7,711,2,2532,60,1,50,4,105
1,7,711,2,2532,61,1,10,5,105
1,7,711,2,2532,70,1,300,15,101
1,7,711,2,2532,72,1,50,400,102
1,7,711,2,2532,73,1,20,700,102
1,7,711,2,2532,74,1,20,200,102
1,7,711,2,2532,75,1,20,75,102
1,7,711,2,2532,76,1,20,200,102
1,7,711,2,2532,77,1,40,600,102
1,7,711,2,2532,80,1,1500,3,101
1,7,711,2,2532,81,1,100,2,101
1,7,711,2,2532,83,1,30,1,105
1,7,711,2,2532,84,1,30,1,105
1,7,711,2,2532,90,1,900,1,101
1,7,711,2,2532,92,1,600,1,101
1,7,711,2,2532,93,1,700,1,101
1,7,711,2,2532,101,1,100,200,102
1,7,711,2,2532,103,1,200,250,102
1,7,711,2,2532,111,1,15,20,102
1,7,711,2,2532,112,1,1100,450,102
1,7,711,2,2532,113,1,100,170,104
1,7,711,2,2532,121,1,20,20,102
1,7,711,2,2532,130,1,10,75,104
1,7,711,2,2532,132,1,300,750,104
1,7,711,2,2532,140,1,40,500,102
1,7,711,2,2532,151,1,10,300,104
1,7,711,2,2532,152,1,80,330,104
1,7,711,2,2532,153,1,60,350,104
1,7,711,2,2532,160,1,200,600,104
1,7,711,2,2532,161,1,100,1,103
1,7,711,2,2532,163,1,250,750,103
1,7,713,2,304,10,1,100,1,6
1,7,713,2,304,11,1,100,1,6
1,7,713,2,304,12,1,100,1,6
1,7,713,2,304,17,1,100,1,6
1,7,713,2,304,30,1,1500,1,51
1,7,713,2,304,36,1,2500,1,31
1,7,713,2,304,74,1,800,1,31
1,7,713,2,304,76,1,400,1,31
1,7,713,2,304,77,1,2000,1,61
1,7,713,2,304,100,1,5000,1,31
1,7,713,2,304,103,1,12000,1,31
1,7,715,1,294,10,1,100,1,6
1,7,715,1,294,11,1,100,1,6
1,7,715,1,294,12,1,120,1,6
1,7,715,1,294,13,1,170,1,6
1,7,715,1,294,14,1,250,1,6
1,7,715,1,294,18,1,100,1,6
1,7,715,1,294,30,1,650,1,91
1,7,715,1,294,32,1,70,1,6
1,7,715,1,294,33,1,80,1,6
1,7,715,1,294,40,1,200,1,6
1,7,715,1,294,42,1,200,1,6
1,7,715,1,294,43,1,10,1,2
1,7,715,1,294,50,1,2400,1,91
1,7,715,1,294,60,1,200,1,41
1,7,715,1,294,70,1,500,1,31
1,7,715,1,294,74,1,60,1,6
1,7,715,1,294,75,1,50,1,6
1,7,715,1,294,76,1,30,1,1
1,7,715,1,294,80,1,1000,1,32
1,7,715,1,294,81,1,1000,1,32
1,7,715,1,294,90,1,400,1,1
1,7,715,1,294,151,1,5,1,105
1,7,715,1,294,161,1,400,1,91
1,7,715,2,780,10,1,10250,1,13
1,7,715,2,780,11,1,12000,1,13
1,7,715,2,780,12,1,9000,1,13
1,7,715,2,780,13,1,13000,1,13
1,7,715,2,780,30,1,500,1,61
1,7,715,2,780,31,1,200,1,81
1,7,715,2,780,32,1,100,1,61
1,7,715,2,780,35,1,600,1,71
1,7,715,2,780,41,1,200,1,6
1,7,715,2,780,60,1,200,1,41
1,7,715,2,780,74,1,60,1,6
1,7,715,2,780,75,1,45,1,6
1,7,715,2,780,90,1,400,1,101
1,7,715,2,780,103,1,800,15,32
1,7,715,2,780,151,1,5,1,105
1,7,715,2,780,161,1,400,1,91
1,7,717,2,1248,13,1,20,1,2
1,7,717,2,1248,14,1,40,1,2
1,7,717,2,1248,17,1,500,1,31
1,7,717,2,1248,18,1,700,1,33
1,7,717,2,1248,30,1,500,5,51
1,7,717,2,1248,31,1,1000,5,52
1,7,717,2,1248,44,1,500,1,6
1,7,717,2,1248,50,1,4000,1,93
1,7,717,2,1248,82,1,800,1,31
1,7,717,2,1248,84,1,30,1,
1,7,717,2,1248,94,1,8000,1,23
1,7,718,2,1640,10,1,100,1,6
1,7,718,2,1640,12,1,100,1,6
1,7,718,2,1640,13,1,160,1,6
1,7,718,2,1640,14,1,320,1,6
1,7,718,2,1640,15,1,120,1,5
1,7,718,2,1640,18,1,70,1,6
1,7,718,2,1640,30,1,600,1,12
1,7,718,2,1640,31,1,120,1,51
1,7,718,2,1640,32,1,60,1,6
1,7,718,2,1640,33,1,60,1,6
1,7,718,2,1640,35,1,400,1,41
1,7,718,2,1640,36,1,700,1,31
1,7,718,2,1640,41,1,200,1,6
1,7,718,2,1640,42,1,180,1,6
1,7,718,2,1640,43,1,200,1,6
1,7,718,2,1640,70,1,450,1,31
1,7,718,2,1640,72,1,10,1,31
1,7,718,2,1640,74,1,500,1,31
1,7,718,2,1640,75,1,20,1,2
1,7,718,2,1640,76,1,30,1,2
1,7,718,2,1640,80,1,700,1,1
1,7,718,2,1640,81,1,1200,1,1
1,7,718,2,1640,84,1,50,1,1
1,7,718,2,1640,92,1,600,1,51
1,7,718,2,1640,93,1,400,1,51
1,7,718,2,1640,94,1,400,1,51
1,7,718,2,1640,100,1,200,1,51
1,7,718,2,1640,101,1,250,1,51
1,7,718,2,1640,130,1,120,1,2
1,7,718,2,1640,140,1,40,1,2
1,7,718,2,1640,151,1,10,1,7
1,7,718,2,1640,152,1,100,1,1
1,7,718,2,1640,153,1,50,1,1
1,7,718,2,1640,160,1,160,1,1
1,7,718,2,1640,161,1,100,1,1
1,7,719,1,1612,10,1,100,1,6
1,7,719,1,1612,11,1,100,1,6
1,7,719,1,1612,12,1,100,1,6
1,7,719,1,1612,13,1,160,1,6
1,7,719,1,1612,14,1,300,1,6
1,7,719,1,1612,15,1,120,1,6
1,7,719,1,1612,16,1,180,1,6
1,7,719,1,1612,17,1,100,1,6
1,7,719,1,1612,18,1,80,1,6
1,7,719,1,1612,20,1,100,1,6
1,7,719,1,1612,30,1,500,1,31
1,7,719,1,1612,31,1,400,1,51
1,7,719,1,1612,32,1,70,1,6
1,7,719,1,1612,33,1,120,1,6
1,7,719,1,1612,35,1,300,1,41
1,7,719,1,1612,36,1,1000,1,31
1,7,719,1,1612,40,1,100,1,6
1,7,719,1,1612,41,1,250,1,6
1,7,719,1,1612,42,1,160,1,6
1,7,719,1,1612,43,1,600,1,31
1,7,719,1,1612,50,1,5000,1,92
1,7,719,1,1612,52,1,4500,1,92
1,7,719,1,1612,60,1,300,1,41
1,7,719,1,1612,61,1,800,1,31
