"zone","state","lga","sector","ea","sc3aq1"
1,7,701,2,606,1
1,7,702,2,632,1
1,7,705,2,4186,1
1,7,707,2,560,1
1,7,708,2,754,1
1,7,709,2,1226,1
1,7,710,2,2726,1
1,7,711,2,2532,1
1,7,713,2,304,1
1,7,715,1,294,1
1,7,715,2,780,1
1,7,717,2,1248,1
1,7,718,2,1640,1
1,7,719,1,1612,1
1,7,722,2,234,1
1,7,722,2,892,1
1,22,2201,2,422,1
1,22,2203,2,266,1
1,22,2203,2,530,1
1,22,2205,2,664,1
1,22,2205,2,2432,1
1,22,2209,1,792,1
1,22,2211,2,594,1
1,22,2211,1,806,1
1,22,2214,2,1354,1
1,22,2216,1,428,1
1,22,2218,2,596,1
1,22,2220,1,1296,1
1,23,2302,2,1982,1
1,23,2303,2,2348,2
1,23,2304,2,322,1
1,23,2306,1,970,1
1,23,2307,1,78,1
1,23,2307,1,2316,1
1,23,2308,1,556,1
1,23,2308,1,5180,1
1,23,2309,2,998,2
1,23,2315,2,924,1
1,23,2316,1,140,1
1,25,2502,2,728,1
1,25,2504,2,222,1
1,25,2507,2,814,1
1,25,2508,1,2788,1
1,25,2509,2,248,1
1,25,2511,2,1424,1
1,25,2513,2,128,1
1,26,2601,2,822,1
1,26,2603,1,658,1
1,26,2603,1,1786,1
1,26,2605,2,594,1
1,26,2606,1,516,1
1,26,2608,2,820,1
1,26,2611,2,424,1
1,26,2613,2,1462,1
1,26,2613,2,2248,1
1,26,2615,2,2178,1
1,26,2616,2,254,1
1,26,2618,2,494,1
1,26,2618,2,1276,1
1,26,2621,1,940,1
1,26,2623,2,1688,1
1,26,2625,2,926,1
1,31,3101,2,604,1
1,31,3103,2,874,1
1,31,3105,1,2914,1
1,31,3107,1,724,1
1,31,3107,2,1092,1
1,31,3109,2,1026,1
1,31,3111,2,2966,1
1,31,3112,2,350,1
1,31,3113,2,332,1
1,31,3115,2,680,1
1,31,3116,2,1344,1
1,37,3702,1,972,1
1,37,3706,2,6,1
1,37,3706,1,156,1
1,37,3706,1,4144,1
2,2,201,2,60,1
2,2,203,2,1224,1
2,2,205,2,712,1
2,2,207,2,1302,1
2,2,209,2,1040,1
2,2,210,2,1300,1
2,2,212,2,956,1
2,2,214,2,898,1
2,2,215,1,8,1
2,2,216,2,200,1
2,2,218,2,1592,1
2,2,221,2,18,1
2,5,501,2,60,1
2,5,502,1,2194,1
2,5,502,2,3878,1
2,5,504,2,708,1
2,5,506,2,830,1
2,5,508,2,718,1
2,5,508,2,984,1
2,5,510,1,872,1
2,5,510,2,1516,1
2,5,513,2,348,1
2,5,514,2,710,1
2,5,514,1,2036,1
2,5,515,2,18,1
2,5,516,2,942,1
2,5,518,2,1304,1
2,5,518,2,1588,1
2,5,520,2,1756,1
2,8,802,2,1152,1
2,8,803,1,944,1
2,8,805,2,46,1
2,8,807,2,946,1
2,8,807,2,1438,1
2,8,807,2,2396,1
2,8,809,2,1748,1
2,8,811,2,390,1
2,8,811,1,1558,1
2,8,812,2,866,1
2,8,815,2,362,1
2,8,816,2,1270,1
2,8,817,1,2476,1
2,8,820,2,1030,1
2,8,821,1,1448,1
2,8,821,1,5062,1
2,8,823,2,548,1
2,8,824,2,768,1
2,8,827,2,804,1
2,15,1502,2,590,1
2,15,1503,2,634,1
2,15,1506,1,148,1
2,15,1506,1,398,1
2,15,1507,2,458,1
2,15,1508,2,1682,1
2,15,1510,2,616,1
2,15,1511,2,1938,1
2,34,3401,2,526,1
2,34,3403,2,198,1
2,34,3405,2,456,1
2,34,3405,2,1706,1
2,34,3408,2,870,1
2,34,3410,2,42,1
2,34,3412,2,156,1
2,34,3413,2,262,2
2,34,3415,2,268,1
2,35,3501,1,702,1
2,35,3501,2,1228,1
2,35,3503,1,54,1
2,35,3504,2,1288,1
2,35,3506,2,1040,1
2,35,3509,2,1310,1
2,35,3509,2,2276,1
2,35,3511,2,1646,1
2,35,3513,1,1278,1
2,35,3515,2,316,1
2,35,3516,2,1632,1
3,17,1702,2,510,1
3,17,1704,2,1080,1
3,17,1704,1,2074,1
3,17,1706,2,284,1
3,17,1710,2,546,1
3,17,1712,2,794,1
3,17,1713,1,226,1
3,17,1715,2,2244,1
3,17,1716,2,1452,1
3,17,1719,2,1354,1
3,17,1722,2,96,1
3,17,1724,2,786,1
3,17,1727,2,634,1
3,18,1803,2,840,1
3,18,1804,1,2690,1
3,18,1805,2,534,1
3,18,1808,2,1726,1
3,18,1809,1,1272,1
3,18,1814,2,678,1
3,18,1816,1,378,1
3,18,1817,2,370,1
3,18,1820,2,450,1
