"zone","state","lga","sector","ea","activity_cd","sc3bq2c","sc3bq3","sc3bq4","sc3bq5","sc3bq6","sc3bq7","sc3bq8","sc3bq9","sc3bq10","sc3bq11","sc3bq12"
1,7,701,2,606,3,2040,1,2,1,500,1,500,2,,,
1,7,701,2,606,1,1120,1,2,1,500,1,500,2,,,
1,7,701,2,606,5,1020,1,2,1,1000,2,,2,,,
1,7,701,2,606,6,2040,1,2,1,1000,2,,2,,,
1,7,701,2,606,4,1120,1,2,1,1000,2,,2,,,
1,7,701,2,606,2,1020,1,2,1,500,1,500,2,,,
1,7,702,2,632,1,1120,1,1,1,500,1,500,1,500,2,
1,7,702,2,632,6,1070,1,1,1,400,1,400,2,,,
1,7,702,2,632,5,1110,1,1,1,500,1,500,2,,,
1,7,702,2,632,3,1070,1,1,1,500,1,500,1,500,2,
1,7,702,2,632,2,1110,1,1,1,500,1,500,1,500,2,
1,7,702,2,632,4,1120,1,1,1,400,2,,2,,,
1,7,705,2,4186,2,2220,1,1,1,600,2,,1,600,1,3600
1,7,705,2,4186,7,,1,1,1,200,1,200,1,200,1,4500
1,7,705,2,4186,6,1020,2,,2,,2,,2,,,
1,7,705,2,4186,3,1020,1,1,1,600,2,,1,600,1,3600
1,7,705,2,4186,5,2220,1,1,1,400,1,400,1,400,1,2400
1,7,705,2,4186,1,1120,1,1,1,600,2,,1,600,1,6000
1,7,705,2,4186,4,1120,2,,2,,2,,2,,,
1,7,707,2,560,5,1020,2,,2,,2,,2,,,
1,7,707,2,560,6,1070,2,,2,,2,,2,,,
1,7,707,2,560,2,1020,1,1,1,250,2,,1,250,1,3000
1,7,707,2,560,1,1120,1,1,1,250,2,,1,250,1,3000
1,7,707,2,560,4,1120,2,,2,,2,,2,,,
1,7,707,2,560,8,,1,1,1,200,1,200,1,200,1,2100
1,7,707,2,560,3,1070,1,1,1,200,2,,1,200,1,2500
1,7,708,2,754,2,1110,1,1,1,500,2,,1,500,1,1500
1,7,708,2,754,5,1110,2,,2,,2,,2,,,
1,7,708,2,754,3,1060,1,1,1,500,2,,1,500,1,1500
1,7,708,2,754,4,1120,2,,2,,2,,2,,,
1,7,708,2,754,1,1120,1,1,1,500,2,,1,500,1,5000
1,7,708,2,754,6,1060,2,,2,,2,,2,,,
1,7,709,2,1226,4,1120,2,,2,,2,,2,,,
1,7,709,2,1226,7,,1,,2,,1,500,2,,,
1,7,709,2,1226,5,1070,2,,2,,2,,2,,,
1,7,709,2,1226,3,1060,1,1,1,1000,2,,1,1000,1,6000
1,7,709,2,1226,1,1120,1,3,1,800,2,,1,800,1,7500
1,7,709,2,1226,2,1070,1,1,1,1000,2,,1,1000,1,6000
1,7,709,2,1226,6,1060,2,,2,,2,,2,,,
1,7,710,2,2726,1,1120,1,1,1,500,2,,1,500,1,4500
1,7,710,2,2726,7,,1,,2,,1,250,1,250,1,3000
1,7,710,2,2726,5,1060,2,,2,,2,,2,,,
1,7,710,2,2726,3,1110,1,1,1,600,2,,1,600,1,9000
1,7,710,2,2726,4,1120,2,,2,,2,,2,,,
1,7,710,2,2726,6,1110,2,,2,,2,,2,,,
1,7,710,2,2726,2,1060,1,1,1,500,2,,1,500,1,3000
1,7,711,2,2532,4,1020,2,,2,,2,,2,,,
1,7,711,2,2532,5,1110,2,,2,,2,,2,,,
1,7,711,2,2532,7,,1,,2,,1,200,1,200,1,1800
1,7,711,2,2532,6,2181,2,,2,,2,,2,,,
1,7,711,2,2532,1,1020,1,1,1,500,2,,1,500,1,9000
1,7,711,2,2532,3,2181,1,1,1,400,2,,1,400,1,3600
1,7,711,2,2532,2,1110,1,1,1,600,2,,1,600,1,12000
1,7,713,2,304,6,1100,1,,2,,1,1000,2,,,
1,7,713,2,304,1,1070,1,1,1,500,2,,2,,,
1,7,713,2,304,3,1100,1,1,1,500,2,,2,,,
1,7,713,2,304,5,1080,1,,2,,1,1000,2,,,
1,7,713,2,304,2,1080,1,1,1,500,2,,2,,,
1,7,713,2,304,4,1070,1,,2,,1,1000,2,,,
1,7,715,1,294,6,1120,1,1,1,600,1,600,1,600,1,1200
1,7,715,1,294,3,1120,1,1,1,500,1,500,1,500,1,1000
1,7,715,1,294,5,1070,1,1,1,600,1,600,1,600,1,1200
1,7,715,1,294,2,1070,1,1,1,500,1,500,1,500,1,1000
1,7,715,1,294,4,1080,1,1,1,600,1,600,1,600,1,1200
1,7,715,1,294,1,1080,1,1,1,5000,1,500,1,500,1,1000
1,7,715,2,780,1,1020,1,1,1,500,1,500,1,500,1,1000
1,7,715,2,780,5,1080,1,1,1,300,1,300,1,300,1,800
1,7,715,2,780,6,1120,1,1,1,300,1,300,1,300,1,800
1,7,715,2,780,4,1020,1,1,1,300,1,300,1,300,1,800
1,7,715,2,780,2,1080,1,1,1,500,1,500,1,500,1,1000
1,7,715,2,780,3,1120,1,1,1,500,1,500,1,500,1,1000
1,7,717,2,1248,4,1120,1,1,1,300,2,,1,300,1,400
1,7,717,2,1248,2,1020,1,1,1,250,1,250,1,250,1,300
1,7,717,2,1248,1,1120,1,1,1,250,1,250,1,250,1,300
1,7,717,2,1248,5,1020,1,1,1,300,2,,1,300,1,400
1,7,717,2,1248,3,1060,1,1,1,250,1,250,1,250,1,300
1,7,717,2,1248,6,1060,1,1,1,300,2,,1,300,1,400
1,7,718,2,1640,1,1120,1,1,1,500,1,400,2,,,
1,7,718,2,1640,3,1070,1,1,1,500,1,400,2,,,
1,7,718,2,1640,4,1120,1,1,1,500,1,400,2,,,
1,7,718,2,1640,2,1020,1,1,1,500,1,400,2,,,
1,7,718,2,1640,6,1070,1,1,1,500,1,400,2,,,
1,7,718,2,1640,5,1020,1,1,1,500,1,400,2,,,
1,7,719,1,1612,6,1110,1,3,1,500,1,400,2,,,
1,7,719,1,1612,7,,1,2,1,500,1,500,2,,,
1,7,719,1,1612,2,1020,1,3,1,500,2,,2,,,
1,7,719,1,1612,4,1120,1,3,1,500,2,,2,,,
1,7,719,1,1612,3,1110,1,3,1,500,1,400,2,,,
1,7,719,1,1612,5,1020,1,3,1,500,2,,2,,,
1,7,719,1,1612,1,1120,1,3,1,500,2,,2,,,
1,7,722,2,234,3,2220,1,1,1,300,2,,1,300,1,3700
1,7,722,2,234,6,2220,2,,2,,2,,2,,,
1,7,722,2,234,7,,1,,2,,1,300,2,,,
1,7,722,2,234,1,1120,1,1,1,500,2,,1,500,1,5000
1,7,722,2,234,2,1060,1,1,1,300,2,,1,300,1,3700
1,7,722,2,234,4,1120,2,,2,,2,,2,,,
1,7,722,2,234,5,1060,2,,2,,2,,2,,,
1,7,722,2,892,1,1120,1,1,1,500,2,,1,500,1,6000
1,7,722,2,892,7,,1,,2,,1,200,1,,,
1,7,722,2,892,4,1120,2,,2,,2,,2,,,
1,7,722,2,892,5,1020,2,,2,,2,,2,,,
1,7,722,2,892,2,1020,1,1,1,500,2,,1,500,1,6000
1,7,722,2,892,6,1060,2,,2,,2,,2,,,
1,7,722,2,892,3,1060,1,1,1,400,2,,1,400,1,4500
1,22,2201,2,422,6,1080,2,,,,,,,,,
1,22,2201,2,422,1,1120,1,2,1,500,2,,2,,2,
1,22,2201,2,422,3,1080,1,2,1,500,2,,2,,2,
1,22,2201,2,422,5,1020,2,,,,,,,,,
1,22,2201,2,422,4,1120,2,,,,,,,,,
1,22,2201,2,422,2,1020,1,2,1,500,2,,2,,2,
1,22,2203,2,266,1,2260,1,3,1,500,2,,2,,1,4000
1,22,2203,2,266,5,1020,1,1,1,500,2,,2,,2,
