"zone","state","lga","sector","ea","line_no","sc3cq14","activity_code","sc3cq15","sc3cq16","sc3cq17","sc3cq18","sc3cq19","sc3cq20","sc3cq21","sc3cq22","sc3cq23"
1,7,701,2,606,1,"HARVESTING OF B/SEED",1303,1,400,2,,2,,2,,
1,7,701,2,606,2,"HARVESTING OF B/SEED",1303,1,200,2,,2,,2,,
1,7,701,2,606,3,"HARVESTING OF CASSAVA",1305,1,300,2,,2,,2,,
1,7,701,2,606,4,"HARVESTING OF CASSAVA",1305,1,400,2,,2,,2,,
1,7,701,2,606,5,"HARVESTING OF YAM",1320,1,700,2,,2,,2,,
1,7,701,2,606,6,"HARVESTING OF YAM",1320,1,400,2,,2,,2,,
1,7,702,2,632,1,"HARVESTING OF G/CORN",1310,1,300,1,300,2,,2,4000,2
1,7,702,2,632,2,"HARVESTING OF RICE",1319,1,400,1,400,2,,2,4000,2
1,7,702,2,632,3,"YAM HARVEST",1320,1,500,1,500,2,,2,6000,2
1,7,709,2,1226,7,"NON",9999,1,3000,2,,2,,2,,
1,7,713,2,304,5,"CULTIVATION OF CASSAVA",1502,1,1000,2,,2,,1,2000,100
1,7,713,2,304,6,"CULTIVATION OF OKRO",1506,1,1000,2,,2,,1,2000,100
1,7,715,1,294,6,"HARVESTING",1300,1,600,1,500,1,500,1,1500,50
1,7,715,2,780,6,"HARVESTING",1300,1,250,1,250,1,250,1,700,50
1,7,717,2,1248,6,"TOBACCO LOCAL CULTIVATION",1512,1,250,1,250,1,250,1,400,100
1,7,718,2,1640,1,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,2,"HARVESTING",1300,1,500,2,,2,,2,,
1,7,718,2,1640,3,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,4,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,5,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,6,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,719,1,1612,5,,9999,1,3000,2,,2,,2,,
1,7,719,1,1612,7,"MESSY BRICK LAYER",2002,1,700,2,,2,,2,,
1,7,722,2,234,2,,9999,1,3800,2,,2,,2,,
1,22,2203,2,266,1,"HARVESTING OF CROPS",1300,1,500,1,500,1,500,2,,
1,22,2205,2,664,1,"DIGGING OF TOILET",3004,1,800,2,,2,,1,4000,
1,22,2205,2,664,2,"DIGGING OF WELL",3002,1,800,2,,2,,1,8000,
1,22,2205,2,2432,1,"BUILDING OF HOUSE",2001,1,1500,1,800,1,500,2,,
1,22,2205,2,2432,2,"HARVESTING OF PALM OIL",1316,1,4000,2,,2,,2,,
1,22,2211,2,594,7,"HARVESTING OF RICE",1319,1,500,1,500,2,,1,20000,
1,22,2211,1,806,1,"HARVESTING OF G/NUTS",1309,1,600,1,500,2,,2,,
