"zone","state","lga","sector","ea","tenure_cd","sc4aq1b","sc4aq2","sc4aq3","sc4aq4"
1,7,701,2,606,1,1,1,2,1000000
1,7,701,2,606,2,1,2,2,0
1,7,701,2,606,3,1,1,1,20000
1,7,701,2,606,4,1,2,2,0
1,7,701,2,606,5,1,2,2,0
1,7,702,2,632,1,1,1,1,50000
1,7,702,2,632,2,2,4,2,
1,7,702,2,632,3,1,1,1,50000
1,7,702,2,632,4,1,2,1,50000
1,7,702,2,632,5,2,4,2,
1,7,705,2,4186,1,1,1,2,600000
1,7,705,2,4186,2,1,1,1,2000
1,7,705,2,4186,3,1,2,2,0
1,7,705,2,4186,4,1,2,2,0
1,7,705,2,4186,5,1,1,1,2000
1,7,707,2,560,1,1,1,2,1000000
1,7,707,2,560,2,1,1,1,1000000
1,7,708,2,754,1,1,1,2,300000
1,7,708,2,754,2,1,1,1,1000
1,7,708,2,754,3,1,2,2,
1,7,708,2,754,4,1,2,2,
1,7,708,2,754,5,1,2,2,
1,7,709,2,1226,1,1,1,2,100000
1,7,709,2,1226,2,1,1,1,0
1,7,709,2,1226,3,1,2,2,0
1,7,709,2,1226,4,1,1,1,0
1,7,709,2,1226,5,1,1,1,0
1,7,710,2,2726,1,1,1,2,120000
1,7,710,2,2726,2,1,1,1,3000
1,7,710,2,2726,3,1,2,2,0
1,7,710,2,2726,4,1,1,1,3000
1,7,710,2,2726,5,1,1,1,3000
1,7,711,2,2532,1,1,1,2,60000
1,7,711,2,2532,2,1,1,1,2000
1,7,711,2,2532,3,1,2,2,0
1,7,711,2,2532,4,1,1,1,2000
1,7,711,2,2532,5,1,1,1,2000
1,7,713,2,304,1,1,1,1,500000
1,7,713,2,304,2,1,1,1,4000
1,7,713,2,304,3,2,,2,
1,7,713,2,304,4,1,1,1,2000
1,7,713,2,304,5,1,1,1,2000
1,7,715,1,294,1,1,3,1,15000
1,7,715,2,780,1,1,1,1,100000
1,7,715,2,780,2,1,3,1,18000
1,7,715,2,780,3,1,3,1,10000
1,7,715,2,780,4,1,3,1,5000
1,7,715,2,780,5,1,3,1,8000
1,7,717,2,1248,1,1,1,1,5000
1,7,717,2,1248,2,1,1,1,1000
1,7,717,2,1248,3,1,1,1,1000
1,7,717,2,1248,4,1,1,1,1000
1,7,717,2,1248,5,1,1,1,500
1,7,718,2,1640,1,1,3,1,20000
1,7,719,1,1612,1,1,2,2,2000
1,7,719,1,1612,2,1,4,2,5000
1,7,722,2,234,1,1,1,2,300000
1,7,722,2,234,2,1,1,1,2000
1,7,722,2,234,3,1,2,2,0
1,7,722,2,234,4,1,1,2,2000
1,7,722,2,234,5,1,1,2,2000
1,7,722,2,892,1,1,1,2,200000
1,7,722,2,892,2,1,1,1,1000
1,7,722,2,892,3,1,2,2,0
1,7,722,2,892,4,1,1,2,1000
1,7,722,2,892,5,1,1,1,1000
1,22,2201,2,422,1,1,1,1,1000000
1,22,2201,2,422,2,1,2,2,4000000
1,22,2203,2,266,1,1,2,1,100000
1,22,2203,2,266,2,1,3,2,100000
1,22,2203,2,530,1,1,1,1,60000
1,22,2203,2,530,2,1,1,2,6000
1,22,2205,2,664,1,1,3,2,10000
1,22,2205,2,664,2,1,1,2,10000
1,22,2205,2,2432,1,1,3,1,1000000
1,22,2205,2,2432,2,1,1,2,1000000
1,22,2209,1,792,1,1,1,1,50000
1,22,2209,1,792,2,1,3,2,20000
1,22,2211,2,594,1,1,3,1,30000
1,22,2211,1,806,1,1,3,2,40000
1,22,2211,1,806,2,1,4,2,40000
1,22,2214,2,1354,1,1,3,1,
1,22,2214,2,1354,2,1,4,2,2000000
1,22,2216,1,428,1,1,1,1,480000
1,22,2216,1,428,2,1,3,1,30000
1,22,2218,2,596,1,1,3,2,100000
