"zone","state","lga","sector","ea","csource_cd","sc4bq5b","sc4bq6","sc4bq7","sc4bq8","sc4bq9","sc4bq10","sc4bq11","sc4bq12","sc4bq13","sc4bq14","sc4bq15","sc4bq16"
1,7,701,2,606,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,701,2,606,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,701,2,606,3,1,2,1,10,20,5000,12,2,10000,24,20,20000
1,7,701,2,606,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,702,2,632,3,1,2,1,12,20,12000,12,5000,55000,12,10000,110000
1,7,705,2,4186,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,705,2,4186,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,705,2,4186,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,705,2,4186,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,707,2,560,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,707,2,560,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,707,2,560,3,1,1,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,708,2,754,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,708,2,754,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,708,2,754,3,1,1,1,3,10,11000,3,5000,55000,3,10000,110000
1,7,708,2,754,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,709,2,1226,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,709,2,1226,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,709,2,1226,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,709,2,1226,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,710,2,2726,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,710,2,2726,2,1,1,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,710,2,2726,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,710,2,2726,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,711,2,2532,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,711,2,2532,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,711,2,2532,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,711,2,2532,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,713,2,304,1,1,2,2,,,,,,,,,
1,7,713,2,304,2,1,2,1,,,,,,,,,
1,7,713,2,304,3,1,2,1,,15,1500,,,,,,
1,7,713,2,304,4,1,2,2,,,,,,,,,
1,7,715,1,294,2,1,2,2,0,0,0,0,0,0,,,
1,7,715,1,294,3,1,2,2,,,,,,,,,
1,7,715,1,294,4,1,2,2,,,,,,,,,
1,7,715,2,780,1,1,2,2,,,,,,,,,
1,7,715,2,780,2,1,2,2,,,,,,,,,
1,7,715,2,780,3,1,2,1,12,10,1000,12,10,5000,12,10,10000
1,7,715,2,780,4,1,2,2,,,,,,,,,
