"zone","state","lga","sector","ea","hhid","s10q1","s10q2","s10q3","s10q4","s10q5","s10q6","s10q7","s10q8"
4,1,115,1,670,10001,1,5650,2,,,2,,
4,1,115,1,670,10002,1,20000,2,,,2,,
4,1,115,1,670,10004,2,,2,,,1,,250000
4,1,115,1,670,10009,1,0,1,1,300000,2,,
4,1,115,1,670,10010,2,,2,,,1,,
4,1,104,2,1364,10016,1,70000,1,1,40000,2,,
4,1,106,2,880,10026,2,,2,,,1,,2000
4,1,106,2,880,10027,2,,2,,,1,,3000
4,1,111,1,1146,10038,2,,2,,,1,,52000
4,1,111,1,1146,10039,2,,2,,,1,,360000
4,1,111,1,1146,10040,2,,2,,,1,,60000
4,1,102,1,1690,10053,2,,1,2,80000,2,,
4,1,102,1,1690,10055,2,,2,,,1,,107000
4,1,102,1,1690,10057,2,,2,,,1,,13500
4,1,107,2,1044,10062,2,,2,,,1,,25000
4,1,107,2,1044,10068,2,,2,,,1,,1000
4,1,117,2,560,10077,2,,2,,,1,,12000
4,1,110,2,76,10086,2,,2,,,1,,1000
4,1,110,2,76,10087,2,,2,,,1,,2000
4,1,110,2,76,10088,2,,2,,,1,,2000
4,1,108,2,904,10101,2,,2,,,1,,3000
4,1,108,2,904,10107,2,,2,,,1,,10000
4,1,108,2,904,10108,2,,2,,,1,,5000
4,1,108,2,904,10109,2,,2,,,1,,
2,2,209,2,1040,20005,2,,2,,,1,,50000
2,2,221,2,18,20020,2,,2,,,1,,15000
2,2,216,2,200,20034,2,,2,,,1,,3000
2,2,203,2,1224,20041,2,,2,,,2,,
2,2,214,2,898,20079,2,,1,1,30000,2,,
2,2,215,1,8,20081,1,,2,,,2,,
5,3,331,1,2322,30001,2,,2,,,1,,38000
5,3,331,1,2322,30003,1,1000,2,,,2,,
5,3,331,1,2322,30004,2,,2,,,1,,780000
5,3,331,1,2322,30005,1,10000,2,,,1,,680000
5,3,331,1,2322,30006,1,3000,2,,,2,,
5,3,331,1,2322,30007,2,,1,3,20000,2,,
5,3,331,1,2322,30008,1,120000,2,,,1,,700000
5,3,331,1,2322,30010,2,,2,,,1,,560000
5,3,331,1,516,30016,2,,1,3,1200,2,,
5,3,331,1,516,30017,2,,2,,,1,,76800
5,3,331,1,516,30019,2,,2,,,1,,320000
5,3,331,1,516,30020,2,,2,,,1,,96000
5,3,316,2,874,30022,1,600,2,,,1,,84000
5,3,316,2,874,30023,1,400000,2,,,1,,800000
5,3,316,2,874,30024,2,,2,,,1,,60000
5,3,316,2,874,30027,1,1040000,2,,,1,,704000
5,3,316,2,874,30029,1,32000,2,,,1,,160000
5,3,309,2,478,30031,2,,2,,,1,,60000
5,3,309,2,478,30032,2,,2,,,1,,198000
5,3,309,2,478,30033,1,120000,2,,,1,,32000
5,3,309,2,478,30034,1,13000,2,,,1,,30000
5,3,309,2,478,30039,2,,2,,,1,,100000
5,3,307,1,634,30043,1,40000,1,3,,1,,944000
5,3,307,1,634,30044,2,,2,,,1,,280000
5,3,307,1,634,30045,2,,2,,,1,,152000
5,3,307,1,634,30046,1,,2,,,1,,80000
5,3,307,1,634,30048,2,,2,,,1,,50000
5,3,307,1,634,30049,2,,2,,,1,,420000
5,3,307,1,634,30050,2,,2,,,1,,264000
5,3,321,2,364,30051,2,,2,,,1,,10000
5,3,321,2,364,30052,2,,2,,,1,,10000
5,3,321,2,364,30053,2,,2,,,1,,40000
5,3,321,2,364,30054,1,85000,2,,,1,,102000
5,3,321,2,364,30055,2,,2,,,1,,50000
5,3,321,2,364,30056,1,8000,2,,,1,,84800
5,3,329,2,696,30062,1,,2,,,1,,30000
5,3,329,2,696,30064,2,,1,1,,1,,34000
5,3,329,2,696,30069,1,24000,2,,,1,,183400
5,3,329,2,696,30070,1,34000,2,,,1,,122400
5,3,323,2,580,30072,2,,2,,,1,,792000
5,3,323,2,580,30075,2,,2,,,1,,120000
5,3,323,2,580,30076,2,,2,,,1,,93000
5,3,323,2,580,30077,1,5000,2,,,2,,
5,3,323,2,580,30079,2,,2,,,1,,27000
5,3,318,2,1136,30082,2,,2,,,1,,8000
5,3,318,2,1136,30083,2,,2,,,1,,130000
5,3,318,2,1136,30084,2,,2,,,1,,148000
5,3,318,2,1136,30087,1,80000,2,,,1,,42000
5,3,318,2,1136,30088,2,,2,,,1,,51000
5,3,313,2,70,30091,1,41600,2,,,1,,85000
5,3,313,2,70,30092,2,,2,,,1,,640000
5,3,313,2,70,30094,2,,2,,,1,,40000
5,3,313,2,70,30098,2,,2,,,1,,35000
5,3,313,2,70,30099,1,48000,2,,,1,,102000
5,3,313,2,70,30100,2,,2,,,1,,30000
5,3,301,1,1198,30101,1,576000,1,1,144000,1,,448000
5,3,301,1,1198,30102,1,61200,2,,,1,,70000
5,3,301,1,1198,30103,1,1210,2,,,2,,
5,3,301,1,1198,30105,1,28800,2,,,1,,102000
5,3,301,1,1198,30108,2,,1,1,90000,2,,
5,3,326,2,74,30113,1,102000,2,,,1,,70000
5,3,326,2,74,30114,2,,2,,,1,,35000
5,3,326,2,74,30115,1,1000,2,,,1,,70000
5,3,326,2,74,30117,2,,2,,,1,,100000
5,3,326,2,74,30119,2,,2,,,1,,80000
5,3,305,2,1542,30121,1,35000,2,,,1,,28300
5,3,305,2,1542,30122,1,48450,2,,,1,,70000
5,3,305,2,1542,30123,1,56000,2,,,1,,245000
5,3,305,2,1542,30126,2,,1,3,150000,2,,
5,3,305,2,1542,30128,2,,2,,,1,,120000
5,3,312,2,20,30133,2,,2,,,1,,22500
5,3,312,2,20,30134,1,64800,2,,,1,,14400
5,3,312,2,20,30137,2,,2,,,1,,25000
5,3,312,2,20,30138,2,,2,,,1,,15000
5,3,305,2,4,30145,2,,2,,,1,,225000
5,3,305,2,4,30146,1,500,2,,,2,,
5,3,305,2,4,30148,2,,2,,,1,,18000
5,3,305,2,4,30149,2,,2,,,1,,36000
4,4,417,1,678,40014,2,,1,1,30000,2,,
4,4,414,1,2176,40040,2,,1,1,90000,2,,
4,4,413,2,1540,40057,1,2000,2,,,2,,
4,4,413,2,1540,40060,2,,1,2,72000,2,,
4,4,419,2,296,40084,2,,1,1,12000,2,,
4,4,412,2,2592,40109,2,,1,3,500,2,,
4,4,407,2,796,40135,2,,2,,,1,,40000
2,5,506,2,830,50001,1,2000,2,,,2,,
2,5,502,1,2194,50012,2,,2,,,1,,7000
2,5,502,1,2194,50014,1,5000,2,,,2,,
2,5,502,1,2194,50020,2,,2,,,1,,40000
2,5,502,2,3878,50036,1,30000,2,,,2,,
2,5,504,2,708,50042,2,,2,,,1,,35158
2,5,504,2,708,50049,1,,2,,,2,,
2,5,513,2,348,50054,1,1500,2,,,2,,
2,5,513,2,348,50059,1,10000,2,,,2,,
2,5,513,2,348,50060,1,10000,2,,,2,,
2,5,514,2,710,50065,2,,2,,,1,,96000
2,5,501,2,60,50071,1,11200,2,,,2,,
2,5,501,2,60,50073,1,20000,2,,,2,,
2,5,501,2,60,50076,1,21000,2,,,2,,
2,5,501,2,60,50080,1,4600,2,,,2,,
2,5,516,2,942,50083,2,,2,,,1,,60000
2,5,508,2,984,50092,1,40000,1,,5000,1,,20000
2,5,508,2,984,50093,1,4000,2,,,2,,
2,5,508,2,984,50095,1,1500,2,,,2,,
2,5,508,2,718,50115,2,,2,,,1,,90000
2,5,508,2,718,50118,1,11700,2,,,2,,
2,5,508,2,718,50119,1,12000,2,,,2,,
2,5,510,1,872,50125,1,30000,2,,,1,,36000
2,5,510,1,872,50128,2,,2,,,1,,65000
2,5,510,1,872,50129,2,,1,1,18000,2,,
2,5,518,2,1588,50135,1,20000,2,,,2,,
2,5,518,2,1588,50137,1,4500,2,,,2,,
2,5,518,2,1588,50140,1,25000,2,,,2,,
2,5,510,2,1516,50149,2,,1,3,1000,2,,
2,5,518,2,1304,50153,1,22000,2,,,2,,
2,5,518,2,1304,50154,2,,2,,,1,,18000
2,5,518,2,1304,50155,2,,2,,,1,,10000
2,5,518,2,1304,50159,1,25000,2,,,2,,
2,5,518,2,1304,50160,1,1000,2,,,2,,
2,5,520,2,1756,50163,2,,1,3,46000,2,,
2,5,520,2,1756,50165,2,,1,3,45000,2,,
