"zone","state","lga","sector","ea","hhid","indiv","s3q1","s3q2","s3q3","s3q4","s3q5","s3q6","s3q7","s3q8","s3q9","s3q10","s3q11","s3q12a","s3q12b","s3q13","s3q14","s3q15","s3q16","s3q17","s3q18","s3q19","s3q20","s3q21a","s3q21b","s3q22","s3q23a","s3q23b","s3q24","s3q25","s3q26","s3q27","s3q28","s3q29","s3q30","s3q31","s3q32","s3q33a","s3q33b","s3q34","s3q35a","s3q35b","s3q36","s3q37a","s3q37b","s3q38a","s3q38b"
4,1,115,1,670,10001,1,1,2,2,1,2,2,1,,,,,,,2229,4,1,12,52,40,1,,200000,5,2,,,2,,,,,,,,,,,,,,1,0,,0,
4,1,115,1,670,10001,2,1,1,,1,2,2,1,,,,,,,2320,11,2,12,52,40,1,,40000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10001,4,1,2,2,2,2,2,2,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,5
4,1,115,1,670,10001,5,1,2,2,1,2,2,1,,,,,,,9133,9,10,12,52,48,1,,60000,4,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10001,6,1,2,2,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10001,7,1,2,2,1,2,2,1,,,,,,,3431,13,2,12,52,40,1,,25000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,5
4,1,115,1,670,10002,1,1,1,,1,2,2,1,,,,,,,2421,10,5,12,52,40,1,,200000,6,2,,,2,,,,,,,,,,,,,,2,0,5,0,
4,1,115,1,670,10002,2,1,2,1,1,2,2,1,,,,,,,3431,13,3,12,52,40,1,,35000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10002,3,1,2,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10002,4,1,2,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,
4,1,115,1,670,10002,5,1,2,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5
4,1,115,1,670,10002,6,1,2,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5
4,1,115,1,670,10002,7,1,2,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,5
4,1,115,1,670,10003,1,1,1,,1,2,2,1,,,,,,,1120,13,1,12,52,8,1,,170000,5,2,,,2,,,,,,,,,,,,,,1,0,,0,
4,1,115,1,670,10003,2,1,2,1,1,2,2,1,,,,,,,1223,13,3,12,52,8,1,,28000,5,2,,,2,,,,,,,,,,,,,,2,1,10,0,
4,1,115,1,670,10003,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,10
4,1,115,1,670,10003,4,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,15
4,1,115,1,670,10003,5,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10003,6,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10004,1,1,1,,2,2,2,2,2,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10004,2,1,2,1,2,2,2,2,2,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,15
4,1,115,1,670,10005,1,1,1,,1,2,2,1,,,,,,,3431,13,2,12,52,40,1,,36000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10005,2,1,1,,1,2,2,1,,,,,,,3431,13,1,12,52,40,1,,35000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10005,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10005,4,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10005,6,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10006,1,1,1,,1,2,2,1,,,,,,,2139,4,1,12,52,70,1,,29000,5,1,30000,5,2,,,,,,,,,,,,,,1,0,10,0,10
4,1,115,1,670,10006,2,1,2,1,1,2,2,1,,,,,,,2412,13,2,12,52,56,1,,24000,5,2,,,2,,,,,,,,,,,,,,2,0,10,0,10
4,1,115,1,670,10006,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10007,1,1,1,,1,2,1,1,,,,,,,1226,6,2,7,32,40,1,,300000,8,2,,,1,5220,8,10,4,16,15,1,,10000,5,2,,,2,0,,0,
4,1,115,1,670,10007,2,1,2,1,2,2,2,2,2,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,40
4,1,115,1,670,10008,1,1,1,,1,2,2,1,,,,,,,2310,11,1,12,52,40,1,,220000,5,2,,,2,,,,,,,,,,,,,,1,0,,0,
4,1,115,1,670,10008,2,1,2,1,1,2,2,1,,,,,,,2310,11,2,12,52,40,1,,60000,5,2,,,2,,,,,,,,,,,,,,1,0,,0,
4,1,115,1,670,10008,3,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10008,4,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10008,5,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10008,6,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10008,7,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,115,1,670,10009,1,1,2,2,1,1,2,1,,,,,,,1228,1,1,12,52,70,1,,90000,5,2,,,2,,,,,,,,,,,,,,1,0,20,0,
4,1,115,1,670,10009,2,1,1,,2,2,2,2,1,,1,,2,2010,,13,2,5,20,56,1,,25000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10010,1,1,2,2,1,2,2,1,,,,,,,2310,11,2,12,52,56,1,,150000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10010,2,1,1,,1,2,2,1,,,,,,,2310,11,2,12,52,56,1,,120000,5,2,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,115,1,670,10010,3,1,2,2,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5
4,1,115,1,670,10010,4,1,2,2,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5
4,1,104,2,1364,10011,1,1,1,,2,1,2,1,,,,,,,9211,1,10,11,50,60,2,2,,,,,,2,,,,,,,,,,,,,,2,3,,,
4,1,104,2,1364,10011,2,1,2,1,2,1,2,1,,,,,,,9211,1,10,11,50,60,2,2,,,,,,2,,,,,,,,,,,,,,2,4,,,30
4,1,104,2,1364,10011,3,1,2,1,2,1,2,1,,,,,,,9211,1,10,11,50,60,2,2,,,,,,2,,,,,,,,,,,,,,2,4,,,30
4,1,104,2,1364,10011,4,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,30
4,1,104,2,1364,10011,5,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,30
4,1,104,2,1364,10011,6,1,2,1,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,30
4,1,104,2,1364,10012,1,1,2,4,2,2,2,2,2,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,104,2,1364,10012,2,1,2,,2,1,2,1,,,,,,,9211,1,10,12,50,40,2,2,,,,,,2,,,,,,,,,,,,,,2,2,30,0,5
4,1,104,2,1364,10012,3,1,2,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,104,2,1364,10012,4,1,1,,2,2,2,2,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
4,1,104,2,1364,10012,5,1,2,,2,1,2,1,,,,,,,9211,1,10,12,52,40,1,,10850,5,2,,,1,9211,1,10,9,48,18,2,2,,,,,,2,2,30,0,5
4,1,104,2,1364,10013,1,1,1,,2,1,1,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,1,3416,8,10,12,52,28,1,,7000,3,2,,,2,0,,0,
4,1,104,2,1364,10013,2,1,2,1,2,1,2,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,2,,,,,,,,,,,,,,2,0,,1,15
4,1,104,2,1364,10013,3,1,2,1,2,1,1,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,2,,,,,,,,,,,,,,2,0,,1,
4,1,104,2,1364,10013,4,1,2,1,2,1,2,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,2,,,,,,,,,,,,,,2,2,5,0,
4,1,104,2,1364,10013,6,1,2,1,2,1,2,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,1,7433,3,5,12,52,28,2,3,,,,,,2,0,,0,30
4,1,104,2,1364,10013,7,1,2,1,2,1,1,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,2,,,,,,,,,,,,,,2,0,,0,
4,1,104,2,1364,10013,8,1,2,1,2,1,1,1,,,,,,,3213,1,10,9,36,49,2,2,,,,,,2,,,,,,,,,,,,,,2,2,5,1,20
4,1,104,2,1364,10014,1,1,2,2,2,2,2,2,2,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
4,1,104,2,1364,10014,2,1,1,,1,2,2,1,,,,,,,4131,13,3,12,52,40,1,,18000,5,2,,,2,,,,,,,,,,,,,,2,0,30,1,20
4,1,104,2,1364,10015,1,1,2,2,2,1,2,1,,,,,,,9211,1,10,10,49,18,2,2,,,,,,2,,,,,,,,,,,,,,2,0,,0,
