"zone","state","lga","sector","ea","hhid","item_cd","s5q1"
4,1,115,1,670,10001,301,1
4,1,115,1,670,10001,302,6
4,1,115,1,670,10001,303,2
4,1,115,1,670,10001,304,4
4,1,115,1,670,10001,305,3
4,1,115,1,670,10001,306,1
4,1,115,1,670,10001,311,2
4,1,115,1,670,10001,313,1
4,1,115,1,670,10001,319,1
4,1,115,1,670,10001,321,4
4,1,115,1,670,10001,322,3
4,1,115,1,670,10001,326,2
4,1,115,1,670,10001,327,1
4,1,115,1,670,10001,328,1
4,1,115,1,670,10002,301,1
4,1,115,1,670,10002,302,5
4,1,115,1,670,10002,303,1
4,1,115,1,670,10002,304,3
4,1,115,1,670,10002,305,3
4,1,115,1,670,10002,306,1
4,1,115,1,670,10002,308,1
4,1,115,1,670,10002,311,1
4,1,115,1,670,10002,313,1
4,1,115,1,670,10002,319,1
4,1,115,1,670,10002,320,1
4,1,115,1,670,10002,321,4
4,1,115,1,670,10002,322,1
4,1,115,1,670,10002,325,1
4,1,115,1,670,10002,326,1
4,1,115,1,670,10002,327,1
4,1,115,1,670,10002,330,1
4,1,115,1,670,10003,302,4
4,1,115,1,670,10003,303,1
4,1,115,1,670,10003,304,3
4,1,115,1,670,10003,305,3
4,1,115,1,670,10003,307,1
4,1,115,1,670,10003,311,1
4,1,115,1,670,10003,313,1
4,1,115,1,670,10003,319,2
4,1,115,1,670,10003,320,1
4,1,115,1,670,10003,321,1
4,1,115,1,670,10003,322,1
4,1,115,1,670,10003,326,1
4,1,115,1,670,10003,327,1
4,1,115,1,670,10003,328,1
4,1,115,1,670,10003,329,1
4,1,115,1,670,10004,301,4
4,1,115,1,670,10004,302,4
4,1,115,1,670,10004,303,1
4,1,115,1,670,10004,304,3
4,1,115,1,670,10004,305,3
4,1,115,1,670,10004,307,1
4,1,115,1,670,10004,308,1
4,1,115,1,670,10004,310,2
4,1,115,1,670,10004,311,1
4,1,115,1,670,10004,312,1
4,1,115,1,670,10004,313,1
4,1,115,1,670,10004,319,2
4,1,115,1,670,10004,320,2
4,1,115,1,670,10004,321,3
4,1,115,1,670,10004,322,1
4,1,115,1,670,10004,326,1
4,1,115,1,670,10004,327,1
4,1,115,1,670,10004,328,1
4,1,115,1,670,10004,329,1
4,1,115,1,670,10004,330,1
4,1,115,1,670,10005,301,1
4,1,115,1,670,10005,302,1
4,1,115,1,670,10005,303,1
4,1,115,1,670,10005,304,4
4,1,115,1,670,10005,305,1
4,1,115,1,670,10005,308,1
4,1,115,1,670,10005,311,1
4,1,115,1,670,10005,312,1
4,1,115,1,670,10005,313,1
4,1,115,1,670,10005,319,1
4,1,115,1,670,10005,320,1
4,1,115,1,670,10005,321,4
4,1,115,1,670,10005,322,1
4,1,115,1,670,10005,324,1
4,1,115,1,670,10005,326,1
4,1,115,1,670,10005,327,1
4,1,115,1,670,10005,328,1
4,1,115,1,670,10005,329,1
4,1,115,1,670,10005,330,1
4,1,115,1,670,10006,301,1
4,1,115,1,670,10006,304,2
4,1,115,1,670,10006,308,1
4,1,115,1,670,10006,310,1
4,1,115,1,670,10006,311,1
4,1,115,1,670,10006,312,1
4,1,115,1,670,10006,313,1
4,1,115,1,670,10006,320,1
4,1,115,1,670,10006,321,3
4,1,115,1,670,10006,322,1
4,1,115,1,670,10006,324,1
4,1,115,1,670,10006,326,1
4,1,115,1,670,10006,327,1
4,1,115,1,670,10006,329,1
4,1,115,1,670,10006,330,1
4,1,115,1,670,10007,301,1
4,1,115,1,670,10007,302,1
4,1,115,1,670,10007,303,1
4,1,115,1,670,10007,304,1
4,1,115,1,670,10007,305,1
4,1,115,1,670,10007,306,1
4,1,115,1,670,10007,311,1
4,1,115,1,670,10007,312,1
4,1,115,1,670,10007,317,1
4,1,115,1,670,10007,319,1
4,1,115,1,670,10007,320,1
4,1,115,1,670,10007,321,1
