"zone","state","lga","sector","ea","hhid","item_cd","s7q1","s7q2"
4,1,115,1,670,10001,1,1,2300
4,1,115,1,670,10001,2,1,1500
4,1,115,1,670,10001,4,1,500
4,1,115,1,670,10001,5,1,200
4,1,115,1,670,10001,6,1,100
4,1,115,1,670,10001,7,1,100
4,1,115,1,670,10001,8,1,200
4,1,115,1,670,10002,2,1,1000
4,1,115,1,670,10002,4,1,2100
4,1,115,1,670,10002,5,1,1000
4,1,115,1,670,10002,6,1,400
4,1,115,1,670,10002,7,1,200
4,1,115,1,670,10002,8,1,500
4,1,115,1,670,10002,9,1,1000
4,1,115,1,670,10003,2,1,600
4,1,115,1,670,10003,5,1,800
4,1,115,1,670,10003,6,1,300
4,1,115,1,670,10003,7,1,400
4,1,115,1,670,10003,8,1,500
4,1,115,1,670,10004,4,1,200
4,1,115,1,670,10004,5,1,300
4,1,115,1,670,10004,6,1,100
4,1,115,1,670,10004,7,1,100
4,1,115,1,670,10005,4,1,200
4,1,115,1,670,10005,5,1,100
4,1,115,1,670,10006,2,1,300
4,1,115,1,670,10006,4,1,300
4,1,115,1,670,10006,5,1,100
4,1,115,1,670,10006,8,1,300
4,1,115,1,670,10007,2,1,500
4,1,115,1,670,10007,5,1,200
4,1,115,1,670,10007,8,1,200
4,1,115,1,670,10009,4,1,800
4,1,115,1,670,10009,5,1,200
4,1,115,1,670,10009,6,1,100
4,1,115,1,670,10009,7,1,150
4,1,115,1,670,10009,8,1,500
4,1,115,1,670,10010,2,1,1500
4,1,115,1,670,10010,5,1,200
4,1,115,1,670,10010,7,1,200
4,1,115,1,670,10010,8,1,350
4,1,104,2,1364,10011,8,1,60
4,1,104,2,1364,10012,2,1,200
4,1,104,2,1364,10012,5,1,60
4,1,104,2,1364,10012,8,1,100
4,1,104,2,1364,10013,1,1,500
4,1,104,2,1364,10013,2,1,500
4,1,104,2,1364,10013,5,1,200
4,1,104,2,1364,10013,6,1,100
4,1,104,2,1364,10014,4,1,300
4,1,104,2,1364,10014,5,1,200
4,1,104,2,1364,10014,6,1,100
4,1,104,2,1364,10014,7,1,200
4,1,104,2,1364,10014,8,1,200
4,1,104,2,1364,10015,1,1,10
4,1,104,2,1364,10016,1,1,625
4,1,104,2,1364,10016,2,1,1500
4,1,104,2,1364,10016,3,1,4500
4,1,104,2,1364,10016,4,1,500
4,1,104,2,1364,10016,5,1,200
4,1,104,2,1364,10016,6,1,300
4,1,104,2,1364,10016,7,1,300
4,1,104,2,1364,10016,8,1,500
4,1,104,2,1364,10016,9,1,200
4,1,104,2,1364,10017,1,1,500
4,1,104,2,1364,10017,2,1,1200
4,1,104,2,1364,10017,5,1,100
4,1,104,2,1364,10017,6,1,300
4,1,104,2,1364,10017,7,1,150
4,1,104,2,1364,10017,8,1,400
4,1,104,2,1364,10018,5,1,50
4,1,104,2,1364,10018,6,1,100
4,1,104,2,1364,10018,7,1,100
4,1,104,2,1364,10018,8,1,150
4,1,104,2,1364,10019,6,1,30
4,1,104,2,1364,10019,7,1,150
4,1,104,2,1364,10019,9,1,400
4,1,104,2,1364,10020,5,1,50
4,1,104,2,1364,10020,7,1,100
4,1,106,2,880,10021,5,1,30
4,1,106,2,880,10021,8,1,50
4,1,106,2,880,10023,5,1,150
4,1,106,2,880,10024,5,1,50
4,1,106,2,880,10024,6,1,40
4,1,106,2,880,10025,1,1,150
4,1,106,2,880,10025,2,1,150
4,1,106,2,880,10025,5,1,100
4,1,106,2,880,10025,6,1,100
4,1,106,2,880,10025,8,1,100
4,1,106,2,880,10026,5,1,40
4,1,106,2,880,10027,1,1,150
4,1,106,2,880,10027,2,1,50
4,1,106,2,880,10027,3,1,100
4,1,106,2,880,10029,5,1,200
4,1,106,2,880,10029,6,1,100
4,1,106,2,880,10030,2,1,100
4,1,106,2,880,10030,8,1,70
4,1,111,1,1146,10031,2,1,150
4,1,111,1,1146,10031,5,1,300
4,1,111,1,1146,10031,6,1,200
4,1,111,1,1146,10031,8,1,200
4,1,111,1,1146,10032,2,1,300
4,1,111,1,1146,10032,5,1,100
4,1,111,1,1146,10032,8,1,200
4,1,111,1,1146,10033,1,1,500
4,1,111,1,1146,10033,2,1,400
4,1,111,1,1146,10033,4,1,500
4,1,111,1,1146,10033,6,1,100
4,1,111,1,1146,10033,8,1,200
4,1,111,1,1146,10033,9,1,360
4,1,111,1,1146,10034,1,1,2500
4,1,111,1,1146,10034,2,1,3000
4,1,111,1,1146,10034,4,1,1500
4,1,111,1,1146,10034,5,1,800
4,1,111,1,1146,10034,6,1,500
4,1,111,1,1146,10034,7,1,600
4,1,111,1,1146,10034,8,1,1200
4,1,111,1,1146,10036,4,1,300
4,1,111,1,1146,10036,5,1,200
4,1,111,1,1146,10036,8,1,100
4,1,111,1,1146,10037,5,1,100
4,1,111,1,1146,10037,6,1,200
