"zone","state","lga","sector","ea","hhid","item_cd","s8q1","s8q2"
4,1,115,1,670,10001,102,1,50
4,1,115,1,670,10001,103,1,700
4,1,115,1,670,10001,104,1,2500
4,1,115,1,670,10002,102,1,50
4,1,115,1,670,10002,103,1,2100
4,1,115,1,670,10002,104,1,3000
4,1,115,1,670,10003,102,1,20
4,1,115,1,670,10003,103,1,200
4,1,115,1,670,10003,104,1,300
4,1,115,1,670,10004,102,1,20
4,1,115,1,670,10004,103,1,1100
4,1,115,1,670,10004,104,1,700
4,1,115,1,670,10005,102,1,45
4,1,115,1,670,10005,103,1,400
4,1,115,1,670,10005,104,1,1000
4,1,115,1,670,10006,103,1,500
4,1,115,1,670,10006,104,1,5200
4,1,115,1,670,10007,102,1,40
4,1,115,1,670,10007,103,1,500
4,1,115,1,670,10007,104,1,2000
4,1,115,1,670,10008,102,1,40
4,1,115,1,670,10008,103,1,1000
4,1,115,1,670,10009,102,1,50
4,1,115,1,670,10009,103,1,150
4,1,115,1,670,10009,104,1,200
4,1,115,1,670,10010,102,1,20
4,1,115,1,670,10010,103,1,1000
4,1,115,1,670,10010,104,1,600
4,1,104,2,1364,10011,102,1,30
4,1,104,2,1364,10012,102,1,30
4,1,104,2,1364,10012,104,1,200
4,1,104,2,1364,10013,102,1,20
4,1,104,2,1364,10013,104,1,700
4,1,104,2,1364,10014,102,1,20
4,1,104,2,1364,10014,104,1,300
4,1,104,2,1364,10015,102,1,10
4,1,104,2,1364,10016,102,1,5
4,1,104,2,1364,10016,103,1,1000
4,1,104,2,1364,10016,104,1,600
4,1,104,2,1364,10017,102,1,10
4,1,104,2,1364,10017,104,1,200
4,1,104,2,1364,10018,102,1,10
4,1,104,2,1364,10019,102,1,10
4,1,104,2,1364,10020,102,1,10
4,1,106,2,880,10021,102,1,40
4,1,106,2,880,10021,104,1,100
4,1,106,2,880,10022,102,1,50
4,1,106,2,880,10023,102,1,10
4,1,106,2,880,10024,102,1,20
4,1,106,2,880,10024,104,1,300
4,1,106,2,880,10025,102,1,20
4,1,106,2,880,10025,104,1,400
4,1,106,2,880,10026,102,1,40
4,1,106,2,880,10027,102,1,20
4,1,106,2,880,10027,104,1,1000
4,1,106,2,880,10028,102,1,5
4,1,106,2,880,10029,102,1,40
4,1,106,2,880,10030,102,1,40
4,1,106,2,880,10030,104,1,500
4,1,111,1,1146,10031,102,1,20
4,1,111,1,1146,10031,104,1,300
4,1,111,1,1146,10032,102,1,20
4,1,111,1,1146,10032,104,1,500
4,1,111,1,1146,10033,102,1,50
4,1,111,1,1146,10033,104,1,500
4,1,111,1,1146,10034,102,1,40
4,1,111,1,1146,10034,104,1,500
4,1,111,1,1146,10036,102,1,40
4,1,111,1,1146,10036,104,1,500
4,1,111,1,1146,10037,102,1,40
4,1,111,1,1146,10038,102,1,10
4,1,111,1,1146,10038,104,1,3500
4,1,111,1,1146,10039,102,1,10
4,1,111,1,1146,10039,104,1,2000
4,1,111,1,1146,10040,102,1,10
4,1,111,1,1146,10040,104,1,200
4,1,102,1,536,10041,102,1,50
4,1,102,1,536,10041,104,1,1800
4,1,102,1,536,10042,102,1,40
4,1,102,1,536,10042,104,1,300
4,1,102,1,536,10043,102,1,40
4,1,102,1,536,10043,104,1,200
4,1,102,1,536,10045,102,1,40
4,1,102,1,536,10046,102,1,10
4,1,102,1,536,10046,104,1,1590
4,1,102,1,536,10047,102,1,10
4,1,102,1,536,10047,104,1,675
4,1,102,1,536,10048,102,1,20
4,1,102,1,536,10048,104,1,500
4,1,102,1,536,10049,102,1,20
4,1,102,1,536,10049,104,1,300
4,1,102,1,536,10050,102,1,20
4,1,102,1,536,10050,104,1,300
4,1,102,1,1690,10051,102,1,10
4,1,102,1,1690,10051,104,1,250
4,1,102,1,1690,10052,102,1,40
4,1,102,1,1690,10052,104,1,400
4,1,102,1,1690,10053,102,1,20
4,1,102,1,1690,10053,104,1,400
4,1,102,1,1690,10054,102,1,20
4,1,102,1,1690,10054,104,1,600
4,1,102,1,1690,10055,104,1,
4,1,102,1,1690,10056,102,1,5
4,1,102,1,1690,10057,102,1,10
4,1,102,1,1690,10058,102,1,40
4,1,102,1,1690,10059,102,1,40
4,1,102,1,1690,10060,102,1,40
4,1,107,2,1044,10061,102,1,10
4,1,107,2,1044,10062,102,1,5
4,1,107,2,1044,10063,102,1,10
4,1,107,2,1044,10063,104,1,200
4,1,107,2,1044,10064,102,1,40
4,1,107,2,1044,10064,104,1,300
4,1,107,2,1044,10065,102,1,10
4,1,107,2,1044,10066,102,1,20
4,1,107,2,1044,10066,104,1,300
4,1,107,2,1044,10067,102,1,20
4,1,107,2,1044,10067,104,1,500
4,1,107,2,1044,10068,102,1,20
4,1,107,2,1044,10068,104,1,300
4,1,117,2,560,10071,102,1,10
4,1,117,2,560,10071,104,1,200
4,1,117,2,560,10072,102,1,20
4,1,117,2,560,10072,104,1,300
4,1,117,2,560,10073,102,1,20
4,1,117,2,560,10073,104,1,200
4,1,117,2,560,10074,102,1,10
4,1,117,2,560,10074,104,1,400
4,1,117,2,560,10076,102,1,10
4,1,117,2,560,10077,102,1,10
4,1,117,2,560,10078,102,1,40
4,1,117,2,560,10079,102,1,40
4,1,117,2,560,10080,102,1,40
4,1,110,2,76,10081,102,1,10
4,1,110,2,76,10082,102,1,35
4,1,110,2,76,10083,102,1,10
4,1,110,2,76,10083,104,1,300
4,1,110,2,76,10084,102,1,70
4,1,110,2,76,10084,104,1,300
4,1,110,2,76,10085,102,1,10
4,1,110,2,76,10086,102,1,10
4,1,110,2,76,10087,102,1,10
4,1,110,2,76,10088,102,1,10
4,1,110,2,76,10088,104,1,100
4,1,110,2,76,10089,102,1,40
4,1,105,2,638,10091,102,1,40
4,1,105,2,638,10092,102,1,40
4,1,105,2,638,10093,102,1,20
4,1,105,2,638,10094,102,1,20
4,1,105,2,638,10094,104,1,500
4,1,105,2,638,10095,104,1,240
4,1,105,2,638,10096,102,1,120
4,1,105,2,638,10097,102,1,10
4,1,105,2,638,10098,102,1,10
4,1,105,2,638,10098,104,1,200
4,1,105,2,638,10099,102,1,20
4,1,108,2,904,10101,102,1,10
4,1,108,2,904,10102,102,1,20
4,1,108,2,904,10102,104,1,300
4,1,108,2,904,10103,102,1,20
4,1,108,2,904,10103,104,1,500
4,1,108,2,904,10104,102,1,20
4,1,108,2,904,10104,104,1,200
4,1,108,2,904,10105,102,1,50
4,1,108,2,904,10105,104,1,240
4,1,108,2,904,10106,102,1,10
4,1,108,2,904,10106,104,1,300
4,1,108,2,904,10107,102,1,40
4,1,108,2,904,10108,102,1,10
4,1,108,2,904,10109,102,1,10
4,1,108,2,904,10109,104,1,600
4,1,108,2,904,10110,102,1,40
2,2,209,2,1040,20001,102,1,10
2,2,209,2,1040,20002,101,1,50
2,2,209,2,1040,20002,102,1,10
2,2,209,2,1040,20003,102,1,10
2,2,209,2,1040,20004,102,1,10
2,2,209,2,1040,20005,102,1,20
2,2,209,2,1040,20005,104,1,3000
2,2,209,2,1040,20006,101,1,200
2,2,209,2,1040,20006,102,1,10
2,2,209,2,1040,20007,102,1,10
2,2,209,2,1040,20008,102,1,10
2,2,209,2,1040,20009,101,1,60
2,2,209,2,1040,20009,102,1,10
2,2,221,2,18,20012,102,1,20
2,2,221,2,18,20013,102,1,20
2,2,221,2,18,20013,104,1,700
2,2,221,2,18,20014,102,1,15
2,2,221,2,18,20016,102,1,20
2,2,221,2,18,20017,102,1,20
2,2,221,2,18,20017,104,1,1000
2,2,221,2,18,20018,102,1,20
2,2,221,2,18,20018,104,1,100
2,2,221,2,18,20019,104,1,400
2,2,221,2,18,20020,102,1,10
2,2,201,2,60,20022,101,1,200
2,2,201,2,60,20022,102,1,5
2,2,201,2,60,20022,104,1,700
2,2,201,2,60,20024,102,1,10
2,2,201,2,60,20025,102,1,60
2,2,201,2,60,20025,104,1,1600
2,2,201,2,60,20026,102,1,10
2,2,201,2,60,20028,102,1,5
2,2,201,2,60,20029,102,1,40
2,2,201,2,60,20029,104,1,450
2,2,201,2,60,20030,102,1,150
2,2,201,2,60,20030,104,1,1500
2,2,216,2,200,20031,102,1,20
2,2,216,2,200,20033,102,1,10
2,2,216,2,200,20034,102,1,10
2,2,216,2,200,20035,102,1,5
2,2,216,2,200,20035,104,1,600
2,2,216,2,200,20037,102,1,20
2,2,216,2,200,20038,102,1,10
2,2,216,2,200,20039,102,1,5
2,2,216,2,200,20040,102,1,50
2,2,203,2,1224,20041,102,1,5
2,2,203,2,1224,20041,104,1,600
2,2,203,2,1224,20042,102,1,15
2,2,203,2,1224,20043,102,1,10
2,2,203,2,1224,20044,102,1,20
2,2,203,2,1224,20045,101,1,100
2,2,203,2,1224,20045,102,1,50
2,2,203,2,1224,20045,104,1,1500
2,2,203,2,1224,20046,102,1,10
2,2,203,2,1224,20047,102,1,20
2,2,203,2,1224,20048,102,1,5
