"zone","state","lga","sector","ea","hhid","item_cd","s8q9","s8q10","s8q11"
4,1,106,2,880,10022,518,1,,350
4,1,107,2,1044,10068,519,1,1200,1200
2,2,221,2,18,20013,519,1,0,1500
2,2,221,2,18,20019,519,1,2400,0
2,2,221,2,18,20020,519,1,1500,1000
2,2,201,2,60,20022,518,1,,100
2,2,201,2,60,20022,519,1,,1500
2,2,201,2,60,20028,518,1,,1000
2,2,201,2,60,20028,519,1,,300
2,2,201,2,60,20030,519,1,6000,
2,2,216,2,200,20034,518,1,2000,800
2,2,216,2,200,20034,519,1,1500,1000
2,2,216,2,200,20039,518,1,1500,500
2,2,216,2,200,20039,519,1,1000,600
2,2,216,2,200,20040,519,1,1500,0
2,2,203,2,1224,20041,518,1,500,100
2,2,203,2,1224,20041,519,1,800,100
2,2,203,2,1224,20045,519,1,1000,0
2,2,203,2,1224,20048,518,1,200,100
2,2,203,2,1224,20048,519,1,500,200
2,2,203,2,1224,20050,519,1,800,
2,2,212,2,956,20055,518,1,1000,400
2,2,212,2,956,20055,519,1,500,300
2,2,212,2,956,20058,519,1,1600,0
2,2,210,2,1300,20062,519,1,1000,
2,2,210,2,1300,20064,518,1,100,500
2,2,210,2,1300,20064,519,1,500,500
2,2,210,2,1300,20066,518,1,500,500
2,2,210,2,1300,20066,519,1,500,200
2,2,214,2,898,20073,518,1,1000,500
2,2,214,2,898,20073,519,1,1000,1000
2,2,207,2,1302,20095,518,1,600,400
2,2,207,2,1302,20095,519,1,400,200
2,2,205,2,712,20105,518,1,500,500
2,2,205,2,712,20105,519,1,500,1000
2,2,218,2,1592,20113,518,1,1000,400
2,2,218,2,1592,20113,519,1,500,200
2,2,218,2,1592,20118,518,1,1000,500
2,2,218,2,1592,20118,519,1,500,500
2,2,218,2,1592,20119,519,1,4000,
5,3,329,2,696,30066,519,1,5000,5000
5,3,313,2,70,30096,518,1,,2000
5,3,312,2,20,30140,518,1,2000,400
5,3,312,2,20,30140,519,1,3000,800
