"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
4,1,115,1,670,10001,0,0,0,0,0,0,0,0,0,3,4,2,3,2,1,2,,,,,,,,,
4,1,115,1,670,10002,0,0,0,0,0,0,0,0,0,3,0,2,,,1,2,,,,,,,,,
4,1,115,1,670,10003,2,2,0,2,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,1,115,1,670,10004,1,2,0,0,0,0,0,0,0,2,2,2,2,1,,2,,,,,,,,,
4,1,115,1,670,10005,0,0,2,0,0,0,0,0,0,3,3,1,,,,1,,1,,,7,,3,2,
4,1,115,1,670,10006,2,2,0,0,0,0,0,0,0,3,,2,1,2,,2,,,,,,,,,
4,1,115,1,670,10007,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,1,115,1,670,10008,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
4,1,115,1,670,10009,0,0,0,0,0,0,1,2,0,3,0,1,,,,1,,4,,,,9,,,
4,1,115,1,670,10010,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,
4,1,104,2,1364,10011,0,1,0,0,0,0,0,0,0,3,0,1,,,,1,1,2,3,3,4,,5,8,
4,1,104,2,1364,10012,0,2,0,0,0,0,0,0,0,3,4,1,,,,1,1,2,,,,,,,
4,1,104,2,1364,10013,2,1,2,1,3,0,0,0,0,2,2,1,,,,2,,,,,,,,,
4,1,104,2,1364,10014,2,0,0,2,0,0,0,0,0,2,2,1,,,,1,,,,,3,,9,,
4,1,104,2,1364,10015,1,0,0,0,0,1,0,0,0,3,,1,,,,1,3,7,8,2,3,8,3,,
4,1,104,2,1364,10016,0,0,0,0,0,0,0,0,0,3,3,2,3,2,1,2,,,,,,,,,
4,1,104,2,1364,10017,0,0,0,0,0,0,0,0,0,3,,2,2,1,,2,,,,,,,,,
4,1,104,2,1364,10018,2,0,0,0,1,0,0,0,0,2,3,1,,,,2,,,,,,,,,
4,1,104,2,1364,10019,0,7,0,0,5,4,5,0,0,2,3,2,2,3,1,1,2,,,8,,,4,5,
4,1,104,2,1364,10020,3,2,4,4,4,0,2,0,0,2,2,1,,,,1,,,,5,,,9,,
4,1,106,2,880,10021,2,2,1,3,3,3,0,0,0,3,,1,,,,2,,,,,,,,,
