"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10001,7,973.333374023438,3514.28564453125,0,0,0,2433.33342633929,0,1738.09533691406,4300,9886.0546875,0,0,17380.9520089286,0,5214.28571428571,4345.23800223214,2433.33349609375,0,0,10612.603515625,0,0,0,0,2979.591796875,11173.4698660714,5959.18359375,0,1117.34695870536,7448.97977120536,10428.5714285714,3724.48967633929,4841.83677455357,5810.20396205357,3352.04087611607,4096.93868582589,4990.81637137277,4469.38783482143,1489.7958984375,9571.93877301897,4022.44893973214,46183.6725725446,372.448974609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1011.90478515625,197376.5625,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10002,7,1042.85717773438,2571.42846679688,0,0,0,2607.14285714286,0,1738.09533691406,4428.57142857143,13594.388671875,0,13904.7622767857,34761.9040178571,0,2979.591796875,10080.9520089286,2433.33349609375,0,0,10065.5361328125,0,0,0,0,8193.87779017857,8938.77566964286,3724.48967633929,0,3352.04073660714,7448.9794921875,15642.8571428571,8938.77566964286,7076.53055245536,5810.20396205357,3128.57142857143,2830.61216517857,4692.85724748884,2979.591796875,1489.7958984375,6145.40813337054,2532.65318080357,35010.2035435268,372.448974609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39714.28515625,1440.47631835938,269672,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10003,6,2027.77783203125,2000,0,0,0,6083.33333333333,0,0,800,5112.89697265625,0,0,0,0,0,6083.33333333333,4055.5556640625,0,0,11852.94921875,0,0,0,0,4345.23795572917,3476.1904296875,2607.14290364583,0,1738.09521484375,3476.1904296875,0,4345.23795572917,5214.28564453125,3302.380859375,3736.90478515625,1738.09521484375,3736.90470377604,869.047607421875,260.714294433594,1433.92857869466,0,10428.5715332031,347.619059244792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46666.66796875,3041.66674804688,138780.75,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10004,3,6083.33349609375,4000,0,0,0,8111.111328125,0,0,0,8400.7939453125,0,0,0,0,0,0,12166.6669921875,0,0,60000,0,0,0,0,6952.380859375,6952.380859375,3476.1904296875,0,2085.71435546875,6952.380859375,0,8690.47591145833,12166.6666666667,4866.66650390625,6083.33333333333,6952.380859375,6952.38094075521,1738.09521484375,695.238118489583,2346.42856852214,0,0,695.238118489583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,4388.88916015625,181756.734375,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10006,2,9125,12000,0,1825,0,1581.66662597656,0,1216.66662597656,45958.6110839844,21301.19140625,0,0,0,0,0,0,8516.6669921875,100000,0,48000,0,0,0,0,9125,10428.5712890625,3650,0,3910.71435546875,13035.7138671875,0,7821.4287109375,46928.5732421875,0,14208.9282226563,19553.5717773438,29721.4287109375,4692.85693359375,260.714294433594,1564.28576660156,0,172071.434814453,1303.57141113281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912.5,588714.0625,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10008,7,0,0,0,0,0,2607.14285714286,0,1738.09533691406,1000,769.727905273438,0,0,17380.9520089286,0,0,10428.5714285714,1738.09533691406,0,0,10159.6708984375,0,0,0,0,4469.38783482143,2979.591796875,3352.04073660714,0,1117.34695870536,0,0,7076.53069196429,7821.42857142857,2681.63253348214,3352.04073660714,2905.10205078125,3947.95915876116,2979.591796875,0,1638.7754952567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86285.7109375,2819.04736328125,179248.453125,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10009,4,456.25,6450,0,0,0,1460,0,730,1910,2271.60717773438,0,0,0,5931.25,0,10645.8330078125,9125,0,0,5400,0,0,0,0,10428.5712890625,5214.28564453125,2607.14282226563,0,1564.28576660156,2607.14282226563,0,3910.71435546875,6517.85717773438,11732.1430664063,8864.28570556641,1955.35711669922,14600.0000610352,3519.64282226563,1042.85717773438,7951.78570556641,0,8473.21423339844,651.785705566406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109402.5,7318.75,252742.265625,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,115,670,1,10010,4,0,4200,0,0,0,1460,0,0,2925,9851.7861328125,0,0,3954.16674804688,0,0,24333.333984375,14600,0,0,17008.271484375,0,0,0,0,9385.7138671875,5214.28564453125,7821.4287109375,0,1955.35717773438,3910.71435546875,0,6517.85693359375,11080.3569335938,2607.14282226563,5605.35717773438,5866.07153320313,10037.4999389648,3910.71435546875,521.428588867188,13948.214263916,0,23725.0001220703,130.357147216797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88925,5410,284905.0625,11898.6572265625
"NGA",1,2,"LSMS-ISA2011",2011,4,1,104,1364,0,10011,6,1095,0,0,0,0,365,0,0,1850,1118.17468261719,0,0,0,0,1738.09521484375,0,8111.111328125,0,0,2583.54907226563,0,0,0,0,4171.4287109375,3476.1904296875,0,0,0,6952.380859375,0,4345.23795572917,5040.47615559896,4345.23795572917,1564.28564453125,1303.57145182292,2607.14286295573,1738.09521484375,1738.09521484375,5735.71441650391,0,1738.09521484375,434.523803710938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18916.666015625,995.833312988281,81963.8984375,10198.8486328125
"NGA",1,2,"LSMS-ISA2011",2011,4,1,104,1364,0,10012,7,869.047668457031,0,0,0,0,260.714285714286,0,0,2600,2122.95922851563,0,0,0,0,2234.69391741071,0,8690.4755859375,21428.572265625,0,2064.96606445313,0,0,0,0,4469.38783482143,4469.38783482143,0,0,2234.69391741071,0,0,3724.48967633929,2756.12241908482,12663.2653459821,2681.63253348214,0,3575.51027134487,2234.69391741071,1489.7958984375,6853.06110491071,1489.7958984375,9013.26527622768,372.448974609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14042.857421875,1428.57141113281,113770.4140625,10198.8486328125
