"cropname","agcropid","nscode","conversion"
"beans/cowpea",1010,11,20
"beans/cowpea",1010,12,50
"beans/cowpea",1010,13,100
"beans/cowpea",1010,14,120
"beans/cowpea",1010,21,15
"beans/cowpea",1010,22,30
"beans/cowpea",1010,23,50
"beans/cowpea",1010,24,75
"beans/cowpea",1010,31,10
"beans/cowpea",1010,32,25
"beans/cowpea",1010,33,40
"beans/cowpea",1010,34,75
"beans/cowpea",1010,42,8
"beans/cowpea",1010,52,5
"beans/cowpea",1010,61,15
"beans/cowpea",1010,62,25
"beans/cowpea",1010,63,40
"beans/cowpea",1010,71,60
"beans/cowpea",1010,72,85
"beans/cowpea",1010,73,110
"beans/cowpea",1010,74,150
"cassava old",1020,11,20
"cassava old",1020,12,50
"cassava old",1020,13,100
"cassava old",1020,14,120
"cassava old",1020,21,15
"cassava old",1020,22,30
"cassava old",1020,23,50
"cassava old",1020,24,75
"cassava old",1020,31,10
"cassava old",1020,32,25
"cassava old",1020,33,40
"cassava old",1020,34,75
"cassava old",1020,51,3
"cassava old",1020,52,5
"cassava old",1020,53,8
"cassava old",1020,61,15
"cassava old",1020,62,25
"cassava old",1020,63,40
"cassava old",1020,71,60
"cassava old",1020,72,85
"cassava old",1020,73,110
"cassava old",1020,74,150
"cassava old",1020,81,1500
"cassava old",1020,82,2000
"cassava old",1020,83,2500
"cassava old",1020,92,20
"cocoyam",1040,11,20
"cocoyam",1040,12,50
"cocoyam",1040,13,100
"cocoyam",1040,14,120
"cocoyam",1040,21,15
"cocoyam",1040,22,30
"cocoyam",1040,23,50
"cocoyam",1040,24,75
"cocoyam",1040,31,10
"cocoyam",1040,32,25
"cocoyam",1040,33,40
"cocoyam",1040,34,75
"cocoyam",1040,51,3
"cocoyam",1040,61,15
"cocoyam",1040,62,25
"cocoyam",1040,63,40
"cocoyam",1040,71,60
"cocoyam",1040,72,85
"cocoyam",1040,73,110
"cocoyam",1040,74,150
"cotton",1050,11,20
"cotton",1050,12,50
"cotton",1050,13,100
"cotton",1050,14,120
"cotton",1050,21,15
"cotton",1050,22,30
"cotton",1050,23,50
"cotton",1050,24,75
"cotton",1050,31,10
"cotton",1050,32,25
"cotton",1050,33,40
"cotton",1050,34,75
"cotton",1050,61,15
"cotton",1050,62,25
"cotton",1050,63,40
"seed cotton",1051,11,20
"seed cotton",1051,12,50
"seed cotton",1051,13,100
"seed cotton",1051,14,120
"seed cotton",1051,21,15
"seed cotton",1051,22,30
"seed cotton",1051,23,50
"seed cotton",1051,24,75
"seed cotton",1051,31,10
"seed cotton",1051,32,25
"seed cotton",1051,33,40
"seed cotton",1051,34,75
"seed cotton",1051,61,15
"seed cotton",1051,62,25
"seed cotton",1051,63,40
"cotton lint",1052,11,20
"cotton lint",1052,12,50
"cotton lint",1052,13,100
"cotton lint",1052,14,120
"cotton lint",1052,21,15
"cotton lint",1052,22,30
"cotton lint",1052,23,50
"cotton lint",1052,24,75
"cotton lint",1052,31,10
"cotton lint",1052,32,25
"cotton lint",1052,33,40
"cotton lint",1052,34,75
"cotton lint",1052,61,15
"cotton lint",1052,62,25
"cotton lint",1052,63,40
"cotton seed",1053,11,20
"cotton seed",1053,12,50
"cotton seed",1053,13,100
"cotton seed",1053,14,120
"cotton seed",1053,21,15
"cotton seed",1053,22,30
"cotton seed",1053,23,50
"cotton seed",1053,24,75
"cotton seed",1053,31,10
"cotton seed",1053,32,25
"cotton seed",1053,33,40
"cotton seed",1053,34,75
"cotton seed",1053,61,15
"cotton seed",1053,62,25
"cotton seed",1053,63,40
"cotton seed",1053,71,60
"cotton seed",1053,72,85
"cotton seed",1053,73,110
"cotton seed",1053,74,150
"ground nut/peanuts",1060,11,20
"ground nut/peanuts",1060,12,50
