"zone","state","sector","lga","ea","hhid","plotid","plot_qa_type","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,2,104,1364,10012,1,1,1.6,15.9,92,12
4,1,2,104,1364,10012,2,1,0.67,6.6,120,13
4,1,2,104,1364,10013,2,1,1.11,15.9,110,12
4,1,2,104,1364,10013,1,1,1.5,10,107,12
4,1,2,104,1364,10014,1,1,0.64,6.3,120,13
4,1,2,104,1364,10015,2,1,1.63,15.2,87,13
4,1,2,104,1364,10015,1,1,0.47,4.7,140,12
4,1,2,104,1364,10016,2,1,0.91,8.7,126,12
4,1,2,104,1364,10016,1,1,0.98,13.6,119,12
4,1,2,104,1364,10018,1,1,0.18,9.8,133,12
4,1,2,104,1364,10019,1,1,0.6,2.4,116,13
4,1,2,106,880,10021,3,1,0.08,1.5,113,16
4,1,2,106,880,10021,1,1,0.04,0.8,113,18
4,1,2,106,880,10021,2,1,0.06,0.5,113,17
4,1,2,106,880,10022,1,1,0.39,0.7,113,19
4,1,2,106,880,10022,3,1,0.35,0.1,113,18
4,1,2,106,880,10022,2,1,0.43,0.6,114,17
4,1,2,106,880,10023,2,1,0.07,2.4,114,16
4,1,2,106,880,10023,1,1,0.08,3.1,114,14
4,1,2,106,880,10023,3,1,0.06,1.1,113,17
4,1,2,106,880,10024,1,1,0.02,2.3,115,13
4,1,2,106,880,10025,3,1,0.29,1.7,115,14
4,1,2,106,880,10025,2,1,0.07,0.2,113,17
4,1,2,106,880,10025,1,1,0.29,2.1,115,14
4,1,2,106,880,10026,1,1,0.11,2.9,114,14
4,1,2,106,880,10027,2,1,1.34,2,112,16
4,1,2,106,880,10027,3,1,0.03,1.9,115,13
4,1,2,106,880,10027,1,1,0.01,1.8,114,14
4,1,2,106,880,10029,3,1,0.36,0.7,113,19
4,1,2,106,880,10029,2,1,0.25,1.7,115,15
4,1,2,106,880,10029,1,3,0.02,0.6,113,17
4,1,2,106,880,10030,3,1,0.26,1.6,115,15
4,1,2,106,880,10030,2,1,0.08,0.6,113,18
4,1,2,106,880,10030,1,1,0.33,0.7,113,18
4,1,2,106,880,10030,4,1,0.03,0.3,113,17
4,1,1,111,1146,10034,1,1,0.05,1.2,67,14
4,1,1,102,1690,10057,1,1,0.01,0.7,56,17
4,1,2,107,1044,10061,3,1,0.03,0.8,110,15
4,1,2,107,1044,10061,2,1,0.03,0.9,110,15
4,1,2,107,1044,10061,4,1,0.57,0,105,23
4,1,2,107,1044,10061,1,1,0.07,1,110,17
4,1,2,107,1044,10062,4,1,0.42,1.2,105,14
4,1,2,107,1044,10062,2,1,0.08,1,109,17
4,1,2,107,1044,10062,1,1,1.04,1.6,108,13
4,1,2,107,1044,10062,3,1,0.04,1.5,109,16
4,1,2,107,1044,10063,3,1,0.07,1.2,110,14
4,1,2,107,1044,10063,2,1,0.03,0.8,111,15
4,1,2,107,1044,10063,1,1,0.05,1.3,111,14
4,1,2,107,1044,10064,1,1,0.1,0.8,110,15
4,1,2,107,1044,10064,3,1,0.13,0.8,110,16
4,1,2,107,1044,10064,2,1,0.11,0.8,110,16
4,1,2,107,1044,10065,3,1,0.25,2.2,107,13
4,1,2,107,1044,10065,2,1,0.26,1.3,110,14
4,1,2,107,1044,10065,1,1,0.26,1.2,110,14
4,1,2,107,1044,10066,2,1,0.55,0,105,32
4,1,2,107,1044,10066,1,1,0.38,1.3,105,14
4,1,2,107,1044,10066,3,1,0.07,0.9,109,14
4,1,2,107,1044,10067,4,1,0.05,1.1,111,14
4,1,2,107,1044,10067,2,1,0.07,1,110,15
4,1,2,107,1044,10067,1,1,0.82,1.7,109,14
4,1,2,107,1044,10067,3,1,0.09,1.1,110,16
4,1,2,107,1044,10068,1,1,0.05,1,111,14
4,1,2,107,1044,10068,2,1,0.09,1.1,110,14
4,1,2,107,1044,10069,1,1,0.39,1.8,106,13
4,1,2,107,1044,10069,5,1,0.07,1.6,110,14
4,1,2,107,1044,10069,4,1,0.07,1.7,110,14
4,1,2,107,1044,10069,2,1,0.33,2.3,107,13
4,1,2,107,1044,10069,3,1,0.33,2.4,107,13
4,1,2,107,1044,10070,1,1,0.01,2,114,13
4,1,2,107,1044,10070,2,1,2.8,1.8,104,14
4,1,2,117,560,10071,1,1,0.23,3.6,213,14
4,1,2,117,560,10071,2,1,0.01,10.2,226,12
4,1,2,117,560,10073,2,1,0.05,7.9,232,12
4,1,2,117,560,10073,1,1,0.02,10.3,228,12
4,1,2,117,560,10074,1,1,0.03,9.3,218,12
4,1,2,117,560,10074,2,1,0.03,11,222,12
4,1,2,117,560,10075,5,1,0.13,6.6,234,13
4,1,2,117,560,10075,3,1,0.09,7.1,231,13
4,1,2,117,560,10075,4,1,0.13,8.2,232,12
4,1,2,117,560,10075,2,1,0.02,7.6,229,12
4,1,2,117,560,10075,1,1,0.02,6.6,231,12
4,1,2,117,560,10076,2,1,0.05,9.1,228,12
4,1,2,117,560,10076,1,1,0.05,7.5,219,13
4,1,2,117,560,10077,1,1,0.02,10.1,226,12
4,1,2,117,560,10078,4,1,0.41,1.9,219,14
4,1,2,117,560,10078,1,1,0.03,9.2,221,12
4,1,2,117,560,10078,3,1,0.05,7.5,219,13
4,1,2,117,560,10078,2,1,0.03,10.6,224,12
4,1,2,117,560,10079,2,1,0.15,4.7,214,13
4,1,2,117,560,10079,1,1,0.1,7.6,215,13
4,1,2,117,560,10080,2,1,0.09,11.1,230,12
4,1,2,117,560,10080,1,1,0.07,6.7,216,13
4,1,2,117,560,10080,3,1,0.47,7,253,12
