"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","sa3q3","sa3q4","sa3q4b","sa3q5a","sa3q5b","sa3q6a1","sa3q6a2","sa3q6b1","sa3q6b2","sa3q7","sa3q8a","sa3q8b","sa3q9","sa3q10","sa3q11a","sa3q11b","sa3q12","sa3q12b1","sa3q12b2","sa3q12c1","sa3q12c2","sa3q13","sa3q14","sa3q15a","sa3q15b","sa3q15c","sa3q16a","sa3q16b","sa3q17","sa3q17b1","sa3q17b2","sa3q18","tracked_obs"
4,1,104,2,1364,10012,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10012,1,2,"MAIZE",1080,1,,,1050,3,5,31,1,,2,,,1,"N1",4,31,2000,1,,1,,1,1,"N1",,,4,31,2000,1,,2500,0
4,1,104,2,1364,10012,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,1,1,"CASSAVA",1020,1,,,30,1,2,32,1,,2,,,2,,,,,,,,,,,,,,,,,,,1600,0
4,1,104,2,1364,10013,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10013,2,2,"OIL PALM TREE",3180,1,,,5,3,2,92,1,,2,,,2,,,,,,,,,,,,,,,,,,,4000,0
4,1,104,2,1364,10014,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10014,1,2,"MAIZE",1080,1,,,30,1,1,25,1,,2,,,2,,,,,,,,,,,,,,,,,,,3000,0
4,1,104,2,1364,10015,1,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,1,2,"MAIZE",1080,1,,,270,3,3,31,1,,2,,,1,"N1",2,31,1200,1,2,1,2,1,1,"N1",,,0,,,,,1800,0
4,1,104,2,1364,10015,2,1,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10015,2,2,"MAIZE",1080,1,,,300,3,4,31,1,,2,,,1,"N1",2,31,1200,1,2,1,2,1,1,"N1",,,0,,,,,2400,0
4,1,104,2,1364,10016,2,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10016,2,2,"PUMKIN",2190,1,,,12,1,120,1,2,,2,,,1,"N1",88,1,6800,2,,2,,1,2,,,,,,,,,9200,0
4,1,104,2,1364,10016,2,3,"YAM",1120,1,,,30,1,144,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,11250,0
4,1,104,2,1364,10016,2,4,"MAIZE",1080,1,,,100,4,25,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,2600,0
4,1,104,2,1364,10018,1,1,"CASSAVA",1020,2,11,"NOT MATURED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10018,1,2,"YAM",1120,1,,,20,1,460,1,1,2,2,,,2,,,,,,,,,,,,,,,,,,,30000,0
4,1,104,2,1364,10018,1,3,"PUMKIN",2193,1,,,15,1,46,1,2,,1,35,1,1,"N1",34,1,6800,1,,1,2,1,2,,,,,,,,,40000,0
4,1,104,2,1364,10019,1,1,"PLANTAIN",2170,1,,,50,1,10,42,1,,2,,,1,"N1",7,42,6500,1,,1,,1,2,,,,,,,,,10500,0
4,1,104,2,1364,10019,1,2,"OIL PALM TREE",3180,1,,,6,1,40,92,1,,2,,,1,"N2",2,92,7000,1,,1,,1,2,,,,,,,,,11000,0
4,1,106,2,880,10021,1,1,"MAIZE",1080,1,,,750,3,8,31,1,2,2,,,1,"N1",6,31,3000,1,2,2,,1,1,"N1","N2",,6,31,3000,1,2,4000,0
4,1,106,2,880,10021,1,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,106,2,880,10021,1,3,"PUMKIN",2190,1,,,40,1,9,61,1,2,2,,,2,,,,,,,,,,,,,,,,,,,1350,0
4,1,106,2,880,10021,1,4,"GARDEN EGG",2080,1,,,300,3,10,21,1,2,2,,,1,"N1",8,21,2400,1,2,1,2,1,1,"N1","N2",,8,21,2400,1,2,3000,0
4,1,106,2,880,10021,2,1,"MAIZE",1080,1,,,800,3,10,31,1,2,2,,,1,"N1",7,31,3500,1,2,1,2,1,1,"N1","N2",,7,31,3500,1,2,5000,0
4,1,106,2,880,10021,2,2,"CASSAVA",1020,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
