"hhid","zone","state","lga","sector","ea","item_cd","item_desc","item_other","sa4q1","tracked_obs"
10018,4,1,104,2,1364,320,"Hoe",,3,0
10076,4,1,117,2,560,319,"Cutlass",,1,0
10109,4,1,108,2,904,320,"Hoe",,3,0
20034,2,2,216,2,200,316,"Fishing net",,2,0
30077,5,3,323,2,580,322,"Other (Specify)1","MATCHET",6,0
30090,5,3,318,2,1136,320,"Hoe",,1,0
30099,5,3,313,2,70,321,"Sickle",,1,0
30111,5,3,326,2,74,322,"Other (Specify)1","SPADE",4,0
30118,5,3,326,2,74,319,"Cutlass",,1,0
30121,5,3,305,2,1542,318,"Wheelbarrow",,1,0
30121,5,3,305,2,1542,319,"Cutlass",,1,0
30121,5,3,305,2,1542,320,"Hoe",,1,0
30122,5,3,305,2,1542,319,"Cutlass",,1,0
30122,5,3,305,2,1542,320,"Hoe",,1,0
30123,5,3,305,2,1542,319,"Cutlass",,1,0
30123,5,3,305,2,1542,320,"Hoe",,1,0
30147,5,3,305,2,4,320,"Hoe",,1,0
30148,5,3,305,2,4,319,"Cutlass","MATCHET",2,0
30148,5,3,305,2,4,322,"Other (Specify)1","MEDIUM BASIN",3,0
40063,4,4,405,2,722,321,"Sickle",,2,0
40118,4,4,412,2,1606,319,"Cutlass",,2,0
40118,4,4,412,2,1606,320,"Hoe",,2,0
40200,4,4,401,2,2106,320,"Hoe",,4,0
50046,2,5,504,2,708,311,"Other tractor drawn",,1,0
50070,2,5,514,2,710,310,"Other animal drawn e",,1,0
50082,2,5,516,2,942,310,"Other animal drawn e",,1,0
50100,2,5,508,2,984,311,"Other tractor drawn",,1,0
50143,2,5,510,2,1516,302,"Plough",,2,0
50166,2,5,520,2,1756,320,"Hoe",,3,0
60048,5,6,601,2,640,322,"Other (Specify)1",,2,0
70002,1,7,707,2,560,302,"Plough",,1,0
70019,1,7,708,2,754,302,"Plough",,1,0
70035,1,7,722,2,234,320,"Hoe",,1,0
70050,1,7,722,2,892,318,"Wheelbarrow",,1,0
70083,1,7,719,1,1612,320,"Hoe",,1,0
70083,1,7,719,1,1612,321,"Sickle",,1,0
70160,1,7,713,2,304,319,"Cutlass",,1,0
70160,1,7,713,2,304,320,"Hoe",,1,0
80055,2,8,811,1,1558,319,"Cutlass",,4,0
80063,2,8,811,2,390,312,"Sprayer",,1,0
80080,2,8,802,2,1152,320,"Hoe",,2,0
80117,2,8,807,2,946,310,"Other animal drawn e",,1,0
80128,2,8,807,2,2396,311,"Other tractor drawn",,1,0
80130,2,8,807,2,2396,310,"Other animal drawn e",,1,0
80130,2,8,807,2,2396,312,"Sprayer",,1,0
80133,2,8,807,2,1438,320,"Hoe","HOE",8,0
80156,2,8,824,2,768,312,"Sprayer","HOE",1,0
80173,2,8,823,2,548,320,"Hoe",,5,0
80201,2,8,815,2,362,312,"Sprayer",,1,0
90093,5,9,918,2,834,316,"Fishing net",,1,0
100002,5,10,1014,2,80,319,"Cutlass",,1,0
100005,5,10,1014,2,80,310,"Other animal drawn e",,1,0
100080,5,10,1010,2,20,319,"Cutlass","CUTLASS",1,0
100082,5,10,1005,2,1374,319,"Cutlass",,4,0
100082,5,10,1005,2,1374,320,"Hoe",,2,0
100093,5,10,1005,1,662,318,"Wheelbarrow",,1,0
100093,5,10,1005,1,662,319,"Cutlass","ENGLAND CUTLASS",5,0
100094,5,10,1005,1,662,318,"Wheelbarrow",,2,0
100094,5,10,1005,1,662,319,"Cutlass",,6,0
100094,5,10,1005,1,662,320,"Hoe",,3,0
100102,5,10,1018,2,898,316,"Fishing net",,1,0
100102,5,10,1018,2,898,318,"Wheelbarrow",,1,0
100102,5,10,1018,2,898,319,"Cutlass",,3,0
100102,5,10,1018,2,898,320,"Hoe",,2,0
110016,4,11,1112,2,1952,319,"Cutlass",,3,0
110050,4,11,1110,2,2752,320,"Hoe",,3,0
