"zone","state","lga","sector","ea","hhid","topic_cd","topic_desc","topic_other","sa5aq1","sa5aq2","sa5aq2b","tracked_obs"
4,1,104,2,1364,10012,1,"New Seed Varieties",,2,,,0
4,1,104,2,1364,10012,2,"Pest Control",,2,,,0
4,1,104,2,1364,10012,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10012,4,"Irrigation",,2,,,0
4,1,104,2,1364,10012,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10012,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10012,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10012,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10012,9,"Forestry",,2,,,0
4,1,104,2,1364,10012,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10012,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10012,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10012,13,"Other (specify)",,2,,,0
4,1,104,2,1364,10013,1,"New Seed Varieties",,2,,,0
4,1,104,2,1364,10013,2,"Pest Control",,2,,,0
4,1,104,2,1364,10013,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10013,4,"Irrigation",,2,,,0
4,1,104,2,1364,10013,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10013,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10013,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10013,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10013,9,"Forestry",,2,,,0
4,1,104,2,1364,10013,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10013,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10013,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10013,13,"Other (specify)",,2,,,0
4,1,104,2,1364,10014,1,"New Seed Varieties",,2,,,0
4,1,104,2,1364,10014,2,"Pest Control",,2,,,0
4,1,104,2,1364,10014,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10014,4,"Irrigation",,2,,,0
4,1,104,2,1364,10014,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10014,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10014,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10014,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10014,9,"Forestry",,2,,,0
4,1,104,2,1364,10014,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10014,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10014,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10014,13,"Other (specify)",,2,,,0
4,1,104,2,1364,10015,1,"New Seed Varieties",,2,,,0
4,1,104,2,1364,10015,2,"Pest Control",,2,,,0
4,1,104,2,1364,10015,3,"Fertilizer Use",,2,,,0
4,1,104,2,1364,10015,4,"Irrigation",,2,,,0
4,1,104,2,1364,10015,5,"Composting (Manure)",,2,,,0
4,1,104,2,1364,10015,6,"Marketing/Crop Sales",,2,,,0
4,1,104,2,1364,10015,7,"Growing/Selling Toba",,2,,,0
4,1,104,2,1364,10015,8,"Access to Credit",,2,,,0
4,1,104,2,1364,10015,9,"Forestry",,2,,,0
4,1,104,2,1364,10015,10,"General Animal Care",,2,,,0
4,1,104,2,1364,10015,11,"Animal Diseases / Va",,2,,,0
4,1,104,2,1364,10015,12,"Fishery Production",,2,,,0
4,1,104,2,1364,10015,13,"Other (specify)",,2,,,0
4,1,104,2,1364,10016,1,"New Seed Varieties",,2,,,0
