"zone","state","lga","sector","ea","hhid","source_cd","source_other","sa5bq1","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9","tracked_obs"
4,1,106,2,880,10025,1,,"X",2,,,,1,0,0,0,2,,1,0
2,2,209,2,1040,20004,4,,"X",1,2,3,4,1,1,1,,1,200,1,0
2,2,209,2,1040,20007,10,,"X",1,2,,,3,3,3,,1,0,1,0
2,2,221,2,18,20012,10,,"X",1,2,3,4,3,1,2,,1,500,1,0
2,2,221,2,18,20016,11,,"X",1,,,,,,,,2,,2,0
2,2,221,2,18,20018,11,,"X",1,2,3,4,2,2,1,,1,200,1,0
2,2,201,2,60,20023,10,,"X",1,2,,,2,1,1,,1,500,1,0
2,2,201,2,60,20026,10,,"X",1,2,3,4,4,0,2,,1,500,1,0
2,2,203,2,1224,20043,10,,"X",1,2,,,2,2,1,,1,500,1,0
2,2,212,2,956,20051,2,,"X",1,2,3,6,2,2,1,,1,0,1,0
2,2,210,2,1300,20061,10,,"X",1,2,,,1,1,2,,2,,1,0
2,2,210,2,1300,20062,8,,"X",1,2,3,,,,,2,1,2000,1,0
2,2,214,1,898,20075,8,,"X",1,2,7,8,,,,5,1,500,1,0
2,2,207,2,1302,20092,1,,"X",1,2,,,0,,4,,2,,1,0
2,2,207,2,1302,20096,1,,"X",1,2,,,3,2,1,,2,,1,0
5,3,331,1,516,30011,11,,"X",1,2,,,1,0,1,,2,,1,0
5,3,321,2,364,30059,1,,"X",2,,,,0,,4,,1,200,1,0
4,4,405,2,484,40080,1,,"X",1,,,,0,,2,,2,,1,0
2,5,506,2,830,50002,11,,"X",1,,,,2,0,0,0,2,,2,1
2,5,506,2,830,50008,1,,"X",1,,,,1,0,1,,2,,2,0
2,5,514,1,2036,50110,12,,"X",1,,,,,,,,,,1,0
2,8,816,2,1270,80034,1,,"X",1,,,,2,0,2,,1,500,1,0
2,8,827,2,804,80107,11,,"X",1,,,,1,2,1,,1,6000,1,0
5,10,1010,2,20,100080,2,,"X",1,,,,3,1,1,,1,2000,1,0
5,10,1010,2,20,100080,11,,"X",1,,,,,1,1,0,1,0,2,0
5,12,1211,1,2856,120010,11,"PEER FARMER(NEIGHBOR/RELATIVE)","X",1,,,,2,0,2,,2,,1,0
5,12,1208,2,526,120047,11,,"X",2,,,,2,2,1,,2,,1,0
5,12,1216,2,618,120052,11,,"X",1,2,,,3,2,2,,2,,1,0
5,12,1216,2,618,120058,11,,"X",1,2,5,,2,1,2,,2,,1,0
5,12,1210,2,462,120064,10,"LEED FARMER","X",1,2,7,,2,3,2,,2,,1,0
5,12,1210,2,462,120064,11,"NEIGHBOR/RELATIVE","X",1,2,7,,2,2,2,,2,,1,0
5,12,1210,2,462,120066,11,"PEER FAMER,(NEIGHBOR RELATIVE)","X",1,2,,,3,2,0,,1,0,1,0
5,12,1210,2,462,120068,11,"PEER FARMER (NEIGHBOR/RELATIVE","X",1,2,3,,4,2,2,,2,,1,0
5,12,1214,2,452,120098,11,"PEER FARMER (NEIGHBOR/RELATIVE","X",1,,,,2,0,0,,2,,1,0
5,12,1214,2,452,120100,11,"PEER FARMER(NEIGHBOR/RELATIVE","X",1,,,,3,2,1,,2,,1,0
2,15,1506,1,398,150003,1,,"X",1,3,13,,5,2,3,,1,2500,1,0
2,15,1508,2,1682,150016,1,,"X",1,2,,,2,0,1,,2,,1,0
2,15,1508,2,1682,150019,1,,"X",1,,,,1,0,0,,2,,1,0
2,15,1511,2,1938,150028,14,,"X",13,0,,,0,,2,,2,,,0
4,16,1601,2,954,160092,4,,"X",1,,,,0,,1,,2,,1,0
4,16,1612,2,108,160183,11,,"X",3,,,,2,2,2,,2,,1,0
4,16,1612,2,108,160186,1,,"X",1,,,,3,3,1,,1,5000,1,0
4,16,1612,2,108,160186,2,,"X",1,,,,2,2,1,,1,7000,1,0
3,18,1803,2,840,180033,1,,"X",1,,,,0,,1,,2,,2,0
3,18,1803,2,840,180038,1,,"X",1,,,,0,,1,,2,,2,0
3,18,1817,2,370,180063,10,,"X",1,,,,2,0,1,,2,,1,0
3,18,1808,2,1726,180071,1,,"X",1,,,,0,,1,,2,,4,0
3,18,1808,2,1726,180079,2,,"X",1,,,,1,0,1,,2,,1,0
3,18,1808,2,1726,180080,2,,"X",1,,,,1,1,1,,2,,1,0
3,18,1808,2,1726,180080,5,,"X",1,,,,1,1,1,,2,,1,0
3,18,1808,2,1726,180080,8,,"X",1,,,,,,,1,2,,1,0
3,18,1820,2,450,180091,11,,"X",1,,,,0,,1,,2,,1,0
3,18,1820,2,450,180091,12,,"X",1,,,,,,,,2,,1,0
3,18,1820,2,450,180092,11,,"X",1,,,,0,,2,,2,,1,0
3,18,1822,2,1654,180105,11,,"X",1,,,,0,,2,,2,,1,0
3,19,1943,2,668,190026,1,,"X",1,,,,0,,2,,2,,1,0
3,36,3611,2,0,190052,12,,"X",1,3,4,,,,,,2,,2,1
3,19,1914,2,934,190086,2,,"X",2,,,,0,,0,,2,,2,0
3,19,1925,1,2858,190110,10,,"X",1,,,,2,2,2,,2,,1,0
3,19,1928,2,526,190176,11,,"X",1,,,,2,2,1,1,2,,1,0
3,20,2001,2,1354,200097,12,,"X",1,,,,,,,,,,,0
3,20,2009,2,240,200138,8,,"X",1,,,,2,2,3,3,2,,1,0
3,20,2008,2,1474,200148,12,,"X",1,,,,,,,,2,,1,0
3,20,2008,2,1474,200149,12,,"X",1,,,,,,,,2,,1,0
3,21,2106,2,236,210015,11,,"X",1,,,,1,1,0,,2,,1,0
3,21,2109,2,38,210029,11,,"X",1,11,12,2,0,,2,,1,0,1,0
3,21,2119,2,3956,210031,11,,"X",1,2,,,3,2,1,,1,0,1,0
3,21,2119,2,3956,210033,11,,"X",1,2,,,1,1,1,,1,0,1,0
3,21,2119,2,3956,210035,11,,"X",1,,,,2,2,0,,2,,1,0
3,21,2119,2,3956,210040,11,,"X",1,,,,2,2,0,,1,0,1,0
3,21,2119,2,2146,210042,11,,"X",1,2,3,,2,2,2,,1,0,1,0
3,21,2119,2,2146,210050,11,,"X",1,2,,,1,1,2,,1,0,1,0
3,21,2115,2,926,210054,11,,"X",1,2,3,11,2,2,1,,1,0,1,0
3,21,2115,2,926,210058,11,,"X",1,2,3,4,2,0,0,,1,0,1,0
3,21,2117,2,554,210062,11,,"X",1,9,10,,0,,1,,1,,1,0
3,21,2117,2,554,210066,11,,"X",1,3,4,0,,,2,,1,0,1,0
3,21,2117,2,554,210067,1,,"X",1,,,,3,3,3,,2,,1,0
3,21,2108,1,520,210072,11,,"X",1,,,,0,,2,,2,,1,0
3,21,2108,1,520,210076,1,,"X",1,11,,,,,,,1,0,1,0
3,21,2108,1,520,210078,11,,"X",1,,,,0,,1,,2,,1,0
3,21,2102,2,1124,210081,11,,"X",,,,,0,,2,,2,,1,0
3,21,2102,2,1124,210085,11,,"X",1,3,,,0,,2,,2,,1,0
3,21,2102,2,1124,210089,11,,"X",1,4,,,0,,3,,2,,1,0
3,21,2111,2,180,210091,11,,"X",1,3,,,2,1,0,,1,0,1,0
3,21,2111,2,180,210095,11,,"X",1,,,,1,1,0,,1,0,1,0
3,21,2111,2,180,210096,11,,"X",,,,,1,1,0,,1,0,1,0
3,21,2111,2,180,210098,1,,"X",1,,,,2,2,2,,2,,3,0
1,23,2308,1,5180,230003,12,,"X",1,3,,,0,,0,0,2,,1,0
1,23,2308,1,5180,230008,12,,"X",1,2,,,,,,,2,,1,0
1,23,2307,1,2316,230019,12,,"X",1,,,,0,,0,0,2,,1,0
1,23,2307,1,78,230024,12,,"X",1,,,,0,0,0,0,2,,1,0
1,23,2306,1,970,230031,12,,"X",3,4,,,0,,0,0,2,,1,0
1,23,2309,2,998,230069,12,,"X",1,2,,,0,,0,0,2,,1,0
1,23,2304,2,322,230071,12,,"X",1,,,,0,,0,0,2,,2,0
1,23,2304,2,322,230079,12,,"X",1,2,,,0,,0,0,2,,2,0
1,23,2302,2,1982,230091,12,,"X",1,,,,0,,0,0,2,,1,0
1,23,2316,1,140,230106,12,,"X",1,,,,0,,0,0,2,,1,0
1,23,2303,2,2348,230112,12,,"X",1,,,,0,,0,,2,,1,0
1,23,2303,2,2348,230115,12,,"X",1,,,,0,,0,0,2,,1,0
1,23,2303,2,2348,230120,12,,"X",1,2,,,0,,0,0,2,,1,0
6,24,2407,2,396,240163,1,,"X",1,,,,0,,1,,2,,1,0
6,24,2407,2,396,240163,6,,"X",1,,,,1,0,1,,2,,2,0
6,24,2407,2,396,240163,9,,"X",1,,,,,,,,2,,2,0
1,25,2511,2,1424,250061,12,,"X",1,2,3,4,,,,,2,,1,0
1,25,2511,2,1424,250064,1,,"X",1,,,,1,0,0,,2,,1,0
3,33,3304,2,0,250069,11,,"X",1,4,,,4,,,,2,,1,1
1,25,2511,2,1424,250070,11,,"X",1,2,3,4,2,2,2,,2,,1,0
1,25,2511,2,1424,250070,12,,"X",1,2,3,4,,,,,,,1,0
1,26,2605,2,594,260093,1,,"X",1,,,,1,1,1,1,2,,1,0
1,26,2605,2,594,260097,1,,"X",1,,,,2,1,1,,2,,2,0
1,26,2608,2,820,260131,1,,"X",1,,,,1,0,0,1,2,,1,0
1,26,2608,2,820,260137,1,,"X",1,,,,1,1,1,1,2,,1,0
1,26,2601,2,822,260150,1,,"X",1,,,,1,0,0,1,2,,1,0
1,26,2613,2,1462,260152,1,,"X",1,,,,1,1,1,1,2,,1,0
1,26,2613,2,1462,260157,1,,"X",1,,,,1,1,1,1,2,,1,0
1,26,2625,2,926,260172,10,,"X",1,,,,0,,1,,2,,1,0
6,29,2923,2,1126,290117,1,,"X",1,,,,5,0,5,,2,,1,0
6,29,2920,1,1210,290152,1,,"X",1,,,,0,,2,,2,,1,0
6,30,3011,2,0,300030,2,,"X",1,,,,6,6,4,,2,,1,1
6,30,3005,1,2942,300098,2,,"X",2,,,,10,0,0,,2,,1,0
6,30,3005,1,2942,300098,12,,"X",2,1,,,,,,,,,1,0
6,30,3020,1,322,300124,14,,"X",1,,,,0,,0,0,2,,1,1
6,30,3020,1,322,300129,12,,"X",1,,,,1,,2,,2,,1,0
1,31,3111,2,2966,310033,11,,"X",1,,,,2,0,2,0,2,,1,0
1,31,3107,2,1092,310041,11,,"X",1,,,,2,1,2,,1,200,1,0
5,32,3223,2,578,320033,1,,"X",1,2,,,2,0,2,,2,,1,0
5,32,3223,2,578,320033,12,,"X",1,2,,,,,,,2,,1,0
5,32,3223,2,578,320034,1,,"X",1,2,,,3,0,0,,2,,1,0
5,32,3223,2,578,320035,1,,"X",1,,,,1,0,0,,2,,1,0
5,32,3223,2,578,320035,11,,"X",2,,,,2,0,0,,2,,1,0
5,32,3223,2,578,320036,1,,"X",1,6,,,1,0,0,,2,,1,0
5,32,3209,1,1208,320043,11,,"X",1,,,,1,0,1,,2,,1,0
5,32,3215,1,1896,320066,1,,"X",2,,,,0,,,,1,5000,2,0
5,32,3215,1,1896,320066,5,,"X",2,,,,0,,,,1,2500,2,0
5,32,3215,1,1896,320066,7,,"X",2,,,,0,,,,1,10000,2,0
5,32,3203,2,2644,320126,11,,"X",1,2,,,0,,0,,2,,1,0
5,32,3202,2,84,320134,11,,"X",1,2,,,0,,0,,2,,1,0
5,32,3202,2,84,320135,11,,"X",1,2,,,0,,0,,2,,1,0
5,32,3202,2,84,320143,11,,"X",5,6,7,,,,0,0,2,,1,0
5,32,3216,2,1184,320144,11,,"X",1,6,,,0,,0,,2,,1,0
5,32,3223,2,390,320156,1,,"X",1,2,,,1,0,0,,2,,1,0
5,32,3223,2,390,320156,11,,"X",1,2,,,3,0,2,,2,,1,0
5,32,3223,2,390,320159,1,,"X",1,2,,,0,0,0,,2,,1,0
5,32,3223,2,390,320159,11,,"X",1,2,,,0,0,0,,2,,1,0
5,32,3221,2,132,320165,11,,"X",1,,,,2,0,2,,2,,1,0
5,32,3221,2,132,320169,11,,"X",2,,,,2,0,3,,2,,1,0
5,32,3221,2,132,320170,11,,"X",1,2,,,2,0,2,,2,,1,0
5,32,3210,2,1692,320178,11,,"X",1,7,,,3,0,2,,2,,1,0
5,32,3210,2,1692,320179,12,,"X",1,2,,,,,,,,,1,0
5,32,3213,2,128,320181,12,,"X",1,2,,,,,,,,,1,0
5,32,3213,2,128,320182,11,,"X",1,2,,,4,0,3,,2,,1,0
5,32,3213,2,128,320182,12,,"X",1,2,,,,,,,,,1,0
5,32,3216,2,1184,320187,11,,"X",2,9,,,0,,0,,2,,1,0
5,32,3213,2,128,320191,11,,"X",1,,,,2,0,3,,2,,1,0
5,32,3212,2,314,320195,11,,"X",1,,,,2,0,3,,2,,1,0
